Step,Iteration,Score,Number of Genomes Delta,Number of Core Genes Delta,True Positive Edges,Edge Accuracy,Edge Precision,Edge Recall,True Positive Core Genes,Core Gene Accuracy,Core Gene Precision,Core Gene Recall,Strategy,Strategy_Key,Config,kmin,kmax
Phase 2: Base Pangenome,0,-30.25,6,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Phase 3: Refinement,1,-22.0,6,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 2,2,-16.0,7,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 3,3,-10.0,8,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 4,4,-6.0,9,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 5,5,-2.0,10,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 6,6,2.0,11,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 7,7,6.0,12,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 8,8,10.0,13,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 9,9,12.0,14,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 10,10,14.0,15,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 11,11,16.0,16,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 12,12,18.0,17,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 13,13,20.0,18,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 14,14,22.0,19,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
Iteration 15,15,24.0,20,3,11.0,1.0,1.0,1.0,0,0.7857142857142857,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",1,11
