gene size,replicate,genomes gt,genomes inf,runtime_phases_1-3,runtime_phase_4,total_runtime
5,1,29,15,0.010760535999907006,0.0008264600000984501,0.011586996000005456
5,2,22,14,0.008619464000730659,0.0005922959999224986,0.009211760000653157
5,3,28,14,0.014943207000214898,0.0026765800002976903,0.017619787000512588
5,4,44,21,0.026758495000649418,0.0016811689993119217,0.02843966399996134
5,5,17,9,0.002871364999919024,0.000351863000105368,0.003223228000024392
10,1,65,2,0.0032980580008370453,0.03147585899932892,0.034773917000165966
10,2,68,27,0.08497074099977908,0.005796319000182848,0.09076705999996193
10,3,32,16,0.044565306000549754,0.002237360999970406,0.04680266700052016
10,4,58,34,0.1984026010004527,0.004592543999933696,0.2029951450003864
10,5,39,5,0.003489997000542644,0.0010913480000454001,0.004581345000588044
15,1,50,20,0.18119863100037037,0.004232743999637023,0.1854313750000074
15,2,31,15,0.05935567300002731,0.003381636999620241,0.06273730999964755
15,3,65,31,0.4996901340000477,0.010277917999701458,0.5099680519997492
15,4,27,18,0.0756801120005548,0.0036929990001226543,0.07937311100067745
15,5,68,1,0.003992163000475557,0.007059719999233494,0.01105188299970905
