gene size,replicate,genomes gt,genomes inf,runtime_phases_1-3,runtime_phase_4,total_runtime,alpha,gamma
50,1,47,24,0.14438559200061718,0.08049919599943678,0.22488478800005396,0.25,1.0
50,1,11,4,0.020075657997949747,0.01742811000076472,0.037503767998714466,0.5,1.0
50,1,50,34,1.0908972159995756,0.2693245480004407,1.3602217640000163,1.0,1.0
50,1,65,27,0.23448733799887123,0.11360041599982651,0.34808775399869774,1.0,0.5
50,1,25,17,0.16480001200034167,0.09694807000050787,0.26174808200084954,1.0,0.25
50,2,47,22,0.29211507799846004,0.07363675200031139,0.3657518299987714,0.25,1.0
50,2,36,16,0.15402966900001047,0.016092870999273146,0.17012253999928362,0.5,1.0
50,2,37,19,0.1832440329999372,0.02961609900012263,0.21286013200005982,1.0,1.0
50,2,13,8,0.03260721300102887,0.0048831179992703255,0.03749033100029919,1.0,0.5
50,2,63,21,0.28707200099961483,0.1433806969980651,0.43045269799767993,1.0,0.25
50,3,4,4,0.010156357002415461,0.004162945999269141,0.014319303001684602,0.25,1.0
50,3,33,19,0.21893373599959887,0.05648059899976943,0.2754143349993683,0.5,1.0
50,3,26,15,0.1595466420003504,0.03633495100075379,0.1958815930011042,1.0,1.0
50,3,29,10,0.04430206499819178,0.024181832999602193,0.06848389799779397,1.0,0.5
50,3,34,16,0.15073723399837036,0.17787935600063065,0.328616589999001,1.0,0.25
50,4,18,3,0.010636932001943933,0.004680313999415375,0.015317246001359308,0.25,1.0
50,4,41,16,0.08559932499701972,0.056468822000169894,0.14206814699718961,0.5,1.0
50,4,61,4,0.02003961699665524,0.03830164600003627,0.05834126299669151,1.0,1.0
50,4,14,9,0.03530299100020784,0.02366095899924403,0.05896394999945187,1.0,0.5
50,4,12,5,0.01943735100212507,0.018550890999904368,0.03798824200202944,1.0,0.25
50,5,10,8,0.023662592000619043,0.01903985399985686,0.0427024460004759,0.25,1.0
50,5,14,11,0.15994791600314784,0.025452390997088514,0.18540030700023635,0.5,1.0
50,5,20,8,0.028728763998515205,0.009949881001375616,0.03867864499989082,1.0,1.0
50,5,38,20,0.18377989300279296,0.03274144099850673,0.2165213340012997,1.0,0.5
50,5,18,15,0.1927602729992941,0.05605001400181209,0.2488102870011062,1.0,0.25
100,1,41,15,0.20601038200038602,0.15817605800111778,0.3641864400015038,0.25,1.0
100,1,32,21,0.5793807209993247,0.2840969699973357,0.8634776909966604,0.5,1.0
100,1,28,13,0.18595140799880028,0.1391697760009265,0.3251211839997268,1.0,1.0
100,1,32,2,0.020252099002391333,0.7232712990007713,0.7435233980031626,1.0,0.5
100,1,21,12,0.2123478220019024,0.024373309999646153,0.23672113200154854,1.0,0.25
100,2,60,20,0.3293271309994452,0.1312464770016959,0.4605736080011411,0.25,1.0
100,2,57,30,0.461572187999991,0.3019678879973071,0.7635400759972981,0.5,1.0
