gene size,replicate,genomes gt,genomes inf,runtime_phases_1-3,runtime_phase_4,total_runtime,alpha,gamma
50,1,19,6,0.02326880100008566,1.9900471670553088e-07,0.023269000004802365,0.25,1.0
50,1,37,15,0.21240219799801707,3.2500247471034527e-07,0.21240252300049178,0.5,1.0
50,1,7,1,0.006993397997575812,4.0500162867829204e-07,0.00699380299920449,1.0,1.0
50,1,63,1,0.016812333000416402,1.9499566406011581e-07,0.016812527996080462,1.0,0.5
50,1,63,1,0.01389983799890615,1.7699494492262602e-07,0.013900014993851073,1.0,0.25
50,2,51,1,0.007929731997137424,1.6199919627979398e-07,0.007929893996333703,0.25,1.0
50,2,14,5,0.05353363100584829,4.949979484081268e-07,0.0535341260037967,0.5,1.0
50,2,25,16,0.08071020799980033,1.849984982982278e-07,0.08071039299829863,1.0,1.0
50,2,54,7,0.03187874200375518,1.539956429041922e-07,0.03187889599939808,1.0,0.5
50,2,30,20,0.26360958199802553,1.9199796952307224e-07,0.26360977399599506,1.0,0.25
50,3,66,1,0.01206955499947071,1.809967216104269e-07,0.012069735996192321,0.25,1.0
50,3,41,30,0.9040163590034354,2.2099993657320738e-07,0.9040165800033719,0.5,1.0
50,3,15,12,0.1047461909984122,3.57002136297524e-07,0.1047465480005485,1.0,1.0
50,3,23,2,0.009200770000461489,1.590015017427504e-07,0.009200929001963232,1.0,0.5
50,3,28,6,0.028613189002498984,1.9800063455477357e-07,0.02861338700313354,1.0,0.25
50,4,23,15,0.16656784000224434,1.7899583326652646e-07,0.1665680189980776,0.25,1.0
50,4,11,9,0.06494470500183525,1.9100116332992911e-07,0.06494489600299858,0.5,1.0
50,4,70,11,0.07406499000353506,2.2900348994880915e-07,0.07406521900702501,1.0,1.0
50,4,44,37,0.7665959799996926,1.7000274965539575e-07,0.7665961500024423,1.0,0.5
50,4,61,7,0.03829925000172807,1.9599974621087313e-07,0.03829944600147428,1.0,0.25
50,5,45,20,0.3116491029941244,5.320034688338637e-07,0.31164963499759324,0.25,1.0
