gene size,replicate,genomes gt,genomes inf,runtime_phases_1-3,runtime_phase_4,total_runtime,alpha,gamma
50,1,4,101,0.1006462660006946,3.850000211969018e-07,0.10064665100071579,0.25,1.0
50,1,4,85,0.06296029300210648,5.309993866831064e-07,0.06296082400149317,0.5,1.0
50,1,3,96,0.06637730000147712,3.7399877328425646e-07,0.06637767400025041,1.0,1.0
50,1,10,10,0.3439017500022601,3.4600088838487864e-07,0.34390209600314847,1.0,0.5
50,1,4,101,0.07637438999881851,4.7000139602459967e-07,0.07637486000021454,1.0,0.25
50,2,10,10,0.028581324997503543,2.2400126908905804e-07,0.028581548998772632,0.25,1.0
50,2,8,8,0.019708252999407705,8.950009942054749e-07,0.01970914800040191,0.5,1.0
50,2,7,62,0.051454049997119,3.6400160752236843e-07,0.05145441399872652,1.0,1.0
50,2,5,104,0.08866303900140338,4.260000423528254e-07,0.08866346500144573,1.0,0.5
50,2,4,4,0.008863120998285012,3.029999788850546e-07,0.008863423998263897,1.0,0.25
50,3,7,102,0.08886610099943937,2.540000423323363e-07,0.0888663549994817,0.25,1.0
50,3,4,102,0.09368767200066941,3.6900019040331244e-07,0.09368804100085981,0.5,1.0
50,3,4,5,0.004422832000273047,3.040004230570048e-07,0.004423136000696104,1.0,1.0
50,3,5,101,0.07767794499886804,2.3800021153874695e-07,0.07767818299907958,1.0,0.5
50,3,8,18,0.016511232999619097,2.8800059226341546e-07,0.01651152100021136,1.0,0.25
50,4,2,2,0.004111764999834122,1.1399970389902592e-07,0.004111878999538021,0.25,1.0
50,4,5,6,0.0048195860035775695,5.249967216514051e-07,0.004820111000299221,0.5,1.0
50,4,7,14,0.017832858000474516,2.2300082491710782e-07,0.017833081001299433,1.0,1.0
50,4,8,8,0.02042485700076213,2.489978214725852e-07,0.020425105998583604,1.0,0.5
50,4,3,3,0.006944737997400807,3.220011421944946e-07,0.006945059998543002,1.0,0.25
50,5,8,51,0.043761216998973396,3.950008249375969e-07,0.04376161199979833,0.25,1.0
50,5,3,95,0.06718559000000823,2.1469968487508595e-06,0.06718773699685698,0.5,1.0
50,5,5,82,0.06389133899938315,3.8200232665985823e-07,0.06389172100170981,1.0,1.0
50,5,2,4,0.005769112998677883,3.6400160752236843e-07,0.005769477000285406,1.0,0.5
50,5,10,10,0.6584927149997384,3.7800054997205734e-07,0.6584930930002884,1.0,0.25
100,1,7,7,0.04728224900100031,4.199973773211241e-07,0.04728266899837763,0.25,1.0
100,1,5,102,0.12998417899871129,3.989989636465907e-07,0.12998457799767493,0.5,1.0
100,1,9,72,0.12885373500103015,4.079993232153356e-07,0.12885414300035336,1.0,1.0
100,1,4,4,0.024477349998051068,1.3500175555236638e-07,0.02447748499980662,1.0,0.5
100,1,8,8,0.05487222200099495,2.1799860405735672e-07,0.05487243999959901,1.0,0.25
100,2,10,104,0.16900010999961523,2.769993443507701e-07,0.16900038699895958,0.25,1.0
100,2,10,102,0.15419573400140507,3.5199991543777287e-07,0.1541960860013205,0.5,1.0
100,2,9,82,0.13445574100114754,3.5600169212557375e-07,0.13445609700283967,1.0,1.0
100,2,5,102,0.11453778099894407,2.5199915398843586e-07,0.11453803299809806,1.0,0.5
100,2,4,4,0.0236471120006172,3.6600249586626887e-07,0.023647478003113065,1.0,0.25
