Step,Iteration,Score,True Genomes,Inferred Genomes,Number of Genomes Delta,Number of Core Genes Delta,True Positive Edges,Edge Accuracy,Edge Precision,Edge Recall,True Positive Core Genes,Core Gene Accuracy,Core Gene Precision,Core Gene Recall,Strategy,Strategy_Key,Config,kmin,kmax
Phase 2: Base Pangenome,0,-477749.25,50,199,149,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Phase 3: Refinement,1,-477600.0,50,199,149,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 2,2,-477502.0,50,200,150,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 3,3,-477404.0,50,201,151,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 4,4,-477306.0,50,202,152,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 5,5,-477208.0,50,203,153,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 6,6,-477110.0,50,204,154,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 7,7,-477012.0,50,205,155,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 8,8,-476914.0,50,206,156,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 9,9,-476816.0,50,207,157,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 10,10,-476718.0,50,208,158,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 11,11,-476620.0,50,209,159,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 12,12,-476522.0,50,210,160,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 13,13,-476424.0,50,211,161,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 14,14,-476326.0,50,212,162,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 15,15,-476228.0,50,213,163,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 16,16,-476130.0,50,214,164,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 17,17,-476032.0,50,215,165,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 18,18,-475934.0,50,216,166,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 19,19,-475836.0,50,217,167,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 20,20,-475738.0,50,218,168,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 21,21,-475640.0,50,219,169,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 22,22,-475542.0,50,220,170,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 23,23,-475444.0,50,221,171,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 24,24,-475346.0,50,222,172,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 25,25,-475248.0,50,223,173,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 26,26,-475150.0,50,224,174,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 27,27,-475052.0,50,225,175,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 28,28,-474954.0,50,226,176,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 29,29,-474856.0,50,227,177,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 30,30,-474758.0,50,228,178,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 31,31,-474660.0,50,229,179,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 32,32,-474562.0,50,230,180,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 33,33,-474464.0,50,231,181,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 34,34,-474366.0,50,232,182,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 35,35,-474268.0,50,233,183,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 36,36,-474170.0,50,234,184,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 37,37,-474072.0,50,235,185,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 38,38,-473974.0,50,236,186,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 39,39,-473876.0,50,237,187,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 40,40,-473778.0,50,238,188,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 41,41,-473680.0,50,239,189,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 42,42,-473582.0,50,240,190,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 43,43,-473484.0,50,241,191,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 44,44,-473386.0,50,242,192,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 45,45,-473288.0,50,243,193,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 46,46,-473190.0,50,244,194,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 47,47,-473092.0,50,245,195,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 48,48,-472994.0,50,246,196,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 49,49,-472896.0,50,247,197,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 50,50,-472798.0,50,248,198,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 51,51,-472700.0,50,249,199,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 52,52,-472602.0,50,250,200,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 53,53,-472504.0,50,251,201,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 54,54,-472406.0,50,252,202,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 55,55,-472308.0,50,253,203,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 56,56,-472210.0,50,254,204,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 57,57,-472112.0,50,255,205,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 58,58,-472014.0,50,256,206,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 59,59,-471916.0,50,257,207,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 60,60,-471818.0,50,258,208,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 61,61,-471720.0,50,259,209,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 62,62,-471622.0,50,260,210,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 63,63,-471524.0,50,261,211,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 64,64,-471426.0,50,262,212,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 65,65,-471328.0,50,263,213,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 66,66,-471230.0,50,264,214,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 67,67,-471132.0,50,265,215,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 68,68,-471034.0,50,266,216,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 69,69,-470936.0,50,267,217,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 70,70,-470838.0,50,268,218,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 71,71,-470740.0,50,269,219,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 72,72,-470642.0,50,270,220,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 73,73,-470544.0,50,271,221,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 74,74,-470446.0,50,272,222,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 75,75,-470348.0,50,273,223,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 76,76,-470250.0,50,274,224,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 77,77,-470152.0,50,275,225,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 78,78,-470054.0,50,276,226,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 79,79,-469956.0,50,277,227,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 80,80,-469858.0,50,278,228,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 81,81,-469760.0,50,279,229,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 82,82,-469662.0,50,280,230,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 83,83,-469564.0,50,281,231,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 84,84,-469466.0,50,282,232,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 85,85,-469368.0,50,283,233,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 86,86,-469270.0,50,284,234,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 87,87,-469172.0,50,285,235,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 88,88,-469074.0,50,286,236,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 89,89,-468976.0,50,287,237,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 90,90,-468878.0,50,288,238,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 91,91,-468780.0,50,289,239,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 92,92,-468682.0,50,290,240,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 93,93,-468584.0,50,291,241,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 94,94,-468486.0,50,292,242,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 95,95,-468388.0,50,293,243,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 96,96,-468290.0,50,294,244,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 97,97,-468192.0,50,295,245,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 98,98,-468094.0,50,296,246,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 99,99,-467996.0,50,297,247,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
Iteration 100,100,-467898.0,50,298,248,0,199,1.0,1.0,1.0,0,0.5,,0.0,Edge Assignment,edge_assignment,"$\alpha = 0.25,\, \gamma = 1.0$",50,1990050
