gene_size,replicate,strategy,genomes_gt,genomes_inf,runtime_phases_1_3,alpha,gamma
25,1,score,33,25,5.921523276000244,0.25,1.0
25,1,cost,33,25,5.887371120999887,0.25,1.0
25,1,score,5,4,0.023800667000159592,0.5,1.0
25,1,cost,5,4,0.01693142300018735,0.5,1.0
25,1,score,33,13,0.04847068599974591,1.0,1.0
25,1,cost,33,27,4.349659642000006,1.0,1.0
25,1,score,18,13,0.12216530500018052,1.0,0.5
25,1,cost,18,13,0.14918774399984613,1.0,0.5
25,1,score,37,36,10.768413208999846,1.0,0.25
25,1,cost,37,5,0.012072601999989274,1.0,0.25
25,2,score,18,17,1.3764044489998923,0.25,1.0
25,2,cost,18,15,0.79540413299992,0.25,1.0
25,2,score,61,51,25.380538443000205,0.5,1.0
25,2,cost,61,48,20.450907514999926,0.5,1.0
25,2,score,42,29,2.6021532820000175,1.0,1.0
25,2,cost,42,40,9.728348330000244,1.0,1.0
25,2,score,32,33,7.514869123000153,1.0,0.5
25,2,cost,32,5,0.028736684000250534,1.0,0.5
25,2,score,12,11,0.2754630160002307,1.0,0.25
25,2,cost,12,10,0.2409233140001561,1.0,0.25
25,3,score,10,11,0.36038377299973945,0.25,1.0
25,3,cost,10,10,0.2802804899997682,0.25,1.0
25,3,score,31,31,0.10440836999987368,0.5,1.0
25,3,cost,31,31,0.12422172000015053,0.5,1.0
25,3,score,34,31,5.407909430000018,1.0,1.0
25,3,cost,34,30,4.1089850210000805,1.0,1.0
25,3,score,41,40,23.45799666999983,1.0,0.5
25,3,cost,41,39,8.465340698000091,1.0,0.5
25,3,score,57,33,0.59713604999979,1.0,0.25
25,3,cost,57,33,0.5694117610000831,1.0,0.25
25,4,score,42,26,0.07876362799970593,0.25,1.0
25,4,cost,42,26,0.09929709799962438,0.25,1.0
25,4,score,8,9,0.16566669199983153,0.5,1.0
25,4,cost,8,8,0.13814642300030755,0.5,1.0
25,4,score,50,48,31.971660445999987,1.0,1.0
25,4,cost,50,48,32.271273629999996,1.0,1.0
25,4,score,22,13,0.1474225399997522,1.0,0.5
25,4,cost,22,23,4.095379141000194,1.0,0.5
25,4,score,56,15,0.5694301479998103,1.0,0.25
25,4,cost,56,34,4.238005345000147,1.0,0.25
25,5,score,33,33,0.11649112799977956,0.25,1.0
25,5,cost,33,33,0.1140364440002486,0.25,1.0
25,5,score,38,27,2.9048724130002483,0.5,1.0
25,5,cost,38,19,0.2819373649999761,0.5,1.0
25,5,score,53,5,0.008716748000097141,1.0,1.0
25,5,cost,53,42,13.39197854000031,1.0,1.0
25,5,score,59,59,0.4728106010002193,1.0,0.5
25,5,cost,59,59,0.4497141209999427,1.0,0.5
25,5,score,15,15,0.04465020799989361,1.0,0.25
25,5,cost,15,15,0.02158114099984232,1.0,0.25
50,1,score,52,38,23.094939062999856,0.25,1.0
50,1,cost,52,38,23.55748725100011,0.25,1.0
50,1,score,20,21,10.209505766999882,0.5,1.0
50,1,cost,20,20,8.08384891500009,0.5,1.0
50,1,score,10,10,1.1487136739997368,1.0,1.0
50,1,cost,10,10,1.1392715769998176,1.0,1.0
50,1,score,27,18,0.930244354000024,1.0,0.5
50,1,cost,27,26,15.567088978999891,1.0,0.5
50,1,score,38,31,24.621496712999942,1.0,0.25
50,1,cost,38,32,25.462932581000132,1.0,0.25
50,2,score,28,29,14.16461119900032,0.25,1.0
50,2,cost,28,29,11.548729527999967,0.25,1.0
50,2,score,52,32,30.40230828699987,0.5,1.0
50,2,cost,52,32,30.039205091999975,0.5,1.0
50,2,score,12,12,0.06011211299983188,1.0,1.0
50,2,cost,12,12,0.032958213000256364,1.0,1.0
50,2,score,24,22,4.504700333000073,1.0,0.5
50,2,cost,24,21,1.9001304119997258,1.0,0.5
50,2,score,61,36,19.328940426999907,1.0,0.25
50,2,cost,61,37,20.974090340999737,1.0,0.25
50,3,score,31,27,6.5206472419999955,0.25,1.0
50,3,cost,31,27,6.518532013999902,0.25,1.0
50,3,score,14,14,0.9006321199999547,0.5,1.0
50,3,cost,14,14,0.9034626090001439,0.5,1.0
50,3,score,23,22,9.599451384000076,1.0,1.0
50,3,cost,23,21,9.690914855000301,1.0,1.0
50,3,score,18,22,6.727501003999805,1.0,0.5
50,3,cost,18,20,7.661536813000112,1.0,0.5
50,3,score,2,2,0.005184403999919596,1.0,0.25
50,3,cost,2,2,0.0036775479998141236,1.0,0.25
50,4,score,55,55,0.8243157689998952,0.25,1.0
50,4,cost,55,55,0.7945853510000234,0.25,1.0
50,4,score,36,34,41.81137530299975,0.5,1.0
50,4,cost,36,35,22.98720510300018,0.5,1.0
50,4,score,49,45,36.29191661300001,1.0,1.0
50,4,cost,49,45,37.213614344000234,1.0,1.0
50,4,score,65,55,99.98331121399997,1.0,0.5
50,4,cost,65,55,106.19844757100009,1.0,0.5
50,4,score,44,32,26.326599374000125,1.0,0.25
50,4,cost,44,32,15.122787837000033,1.0,0.25
50,5,score,20,20,8.339242647999981,0.25,1.0
50,5,cost,20,20,7.9682637930000055,0.25,1.0
50,5,score,13,13,0.041010922999703325,0.5,1.0
50,5,cost,13,13,0.0419835000002422,0.5,1.0
50,5,score,10,12,1.768774318999931,1.0,1.0
50,5,cost,10,12,1.3574304789999587,1.0,1.0
50,5,score,35,34,46.090634913999565,1.0,0.5
50,5,cost,35,33,37.80779206099942,1.0,0.5
50,5,score,13,14,2.7420720119998805,1.0,0.25
50,5,cost,13,14,2.7894652439999845,1.0,0.25
100,1,score,27,18,19.536394408999513,0.25,1.0
100,1,cost,27,6,0.6446992979999777,0.25,1.0
100,1,score,26,10,3.69056642599935,0.5,1.0
100,1,cost,26,17,15.629072177000126,0.5,1.0
100,1,score,22,22,0.2892340910002531,1.0,1.0
100,1,cost,22,22,0.2410901429993828,1.0,1.0
100,1,score,9,10,4.167394280000735,1.0,0.5
100,1,cost,9,10,4.1403292100003455,1.0,0.5
100,1,score,62,23,33.36217517900059,1.0,0.25
100,1,cost,62,23,33.44265006400019,1.0,0.25
100,2,score,61,19,21.39728745499997,0.25,1.0
100,2,cost,61,19,21.13683607799976,0.25,1.0
100,2,score,58,58,1.9782553209997786,0.5,1.0
100,2,cost,58,58,1.9694297480000387,0.5,1.0
100,2,score,29,26,33.90707461799957,1.0,1.0
100,2,cost,29,26,34.52782153000044,1.0,1.0
100,2,score,64,64,2.574253040000258,1.0,0.5
100,2,cost,64,64,2.5761887809994732,1.0,0.5
100,2,score,15,15,0.13021213599949988,1.0,0.25
100,2,cost,15,15,0.13122954700065748,1.0,0.25
100,3,score,38,22,20.137435720000212,0.25,1.0
100,3,cost,38,20,25.578427997999825,0.25,1.0
100,3,score,11,12,7.214042055999926,0.5,1.0
100,3,cost,11,12,7.190061313999649,0.5,1.0
100,3,score,57,52,503.1354782059998,1.0,1.0
100,3,cost,57,52,516.8424939619999,1.0,1.0
100,3,score,19,16,10.345976915000392,1.0,0.5
100,3,cost,19,16,10.63029908199951,1.0,0.5
100,3,score,2,2,0.009627606999856653,1.0,0.25
100,3,cost,2,2,0.009253293000256235,1.0,0.25
100,4,score,46,27,44.169517197999994,0.25,1.0
100,4,cost,46,27,45.6926342379993,0.25,1.0
100,4,score,26,17,11.891442310999992,0.5,1.0
100,4,cost,26,7,2.0612199670003974,0.5,1.0
100,4,score,63,19,25.400819677999607,1.0,1.0
100,4,cost,63,20,19.837007215000085,1.0,1.0
100,4,score,58,18,18.978419547000158,1.0,0.5
100,4,cost,58,17,18.180534334000185,1.0,0.5
100,4,score,9,9,2.7175402529992425,1.0,0.25
100,4,cost,9,9,2.953616214000249,1.0,0.25
100,5,score,21,17,15.386744225000257,0.25,1.0
100,5,cost,21,18,17.20115423599964,0.25,1.0
100,5,score,5,5,0.7392930000005435,0.5,1.0
100,5,cost,5,2,0.034153316000811174,0.5,1.0
100,5,score,11,14,9.714443472000312,1.0,1.0
100,5,cost,11,13,8.337623330999122,1.0,1.0
100,5,score,6,7,1.8147050870002204,1.0,0.5
100,5,cost,6,5,0.5054164310004126,1.0,0.5
100,5,score,43,43,1.014462017000369,1.0,0.25
100,5,cost,43,43,0.9874561779997748,1.0,0.25
150,1,score,6,6,1.8138239650006653,0.25,1.0
150,1,cost,6,6,1.7773701480000454,0.25,1.0
150,1,score,12,11,11.993377000999317,0.5,1.0
150,1,cost,12,12,12.530898303999493,0.5,1.0
150,1,score,44,43,561.5309336569999,1.0,1.0
150,1,cost,44,43,560.8872813979997,1.0,1.0
150,1,score,59,20,40.73811911199937,1.0,0.5
150,1,cost,59,23,36.264232917999834,1.0,0.5
150,1,score,5,5,0.14289037599974108,1.0,0.25
150,1,cost,5,5,0.1653811879996283,1.0,0.25
150,2,score,42,14,23.196630108000136,0.25,1.0
150,2,cost,42,15,18.670653085000595,0.25,1.0
150,2,score,51,51,2.4175875870005257,0.5,1.0
150,2,cost,51,51,2.428506128000663,0.5,1.0
150,2,score,20,13,17.39485776299989,1.0,1.0
150,2,cost,20,14,19.95055259699984,1.0,1.0
150,2,score,17,11,12.869834439000442,1.0,0.5
150,2,cost,17,12,14.387357925000288,1.0,0.5
150,2,score,12,11,10.479987849000281,1.0,0.25
150,2,cost,12,11,11.242701090000082,1.0,0.25
150,3,score,36,11,15.183228564000274,0.25,1.0
150,3,cost,36,13,17.420717912999862,0.25,1.0
150,3,score,13,12,13.490625320000618,0.5,1.0
150,3,cost,13,9,6.353730112000449,0.5,1.0
150,3,score,21,21,0.4392540139997436,1.0,1.0
150,3,cost,21,21,0.4400398799998584,1.0,1.0
150,3,score,62,18,25.701551352000024,1.0,0.5
150,3,cost,62,17,31.242401574000723,1.0,0.5
150,3,score,21,11,11.923020590000306,1.0,0.25
150,3,cost,21,12,13.693809119000434,1.0,0.25
150,4,score,70,21,46.04185437400065,0.25,1.0
150,4,cost,70,23,37.85581757,0.25,1.0
150,4,score,65,12,16.555269740999393,0.5,1.0
150,4,cost,65,15,21.280864463999933,0.5,1.0
150,4,score,39,10,11.070842117000211,1.0,1.0
150,4,cost,39,13,19.19527049899989,1.0,1.0
150,4,score,5,5,0.15122878100009984,1.0,0.5
150,4,cost,5,5,0.14466911799991067,1.0,0.5
150,4,score,34,15,22.597906513999988,1.0,0.25
150,4,cost,34,15,23.330283862000215,1.0,0.25
150,5,score,24,10,10.982887501999357,0.25,1.0
150,5,cost,24,10,11.541333169000609,0.25,1.0
150,5,score,51,14,24.009139453999524,0.5,1.0
150,5,cost,51,16,28.456466712000292,0.5,1.0
150,5,score,26,12,13.95012872300049,1.0,1.0
150,5,cost,26,12,15.15739984799984,1.0,1.0
150,5,score,50,50,2.2112333929999295,1.0,0.5
150,5,cost,50,50,2.222429695999381,1.0,0.5
150,5,score,52,52,2.4094865100005336,1.0,0.25
150,5,cost,52,52,2.423502570999517,1.0,0.25
200,1,score,11,11,0.23837011000068742,0.25,1.0
200,1,cost,11,11,0.23798844700013433,0.25,1.0
200,1,score,26,9,13.437509800000043,0.5,1.0
200,1,cost,26,9,13.23629634000008,0.5,1.0
200,1,score,61,17,41.78723702800016,1.0,1.0
200,1,cost,61,19,40.74807271700047,1.0,1.0
200,1,score,54,12,28.19217728700005,1.0,0.5
200,1,cost,54,11,24.80137372399986,1.0,0.5
200,1,score,66,66,5.887782527000127,1.0,0.25
200,1,cost,66,66,5.88690028200017,1.0,0.25
200,2,score,11,11,2.0976604680008677,0.25,1.0
200,2,cost,11,11,2.1212214789993595,0.25,1.0
200,2,score,50,50,3.2088538529997095,0.5,1.0
200,2,cost,50,50,3.185147894999318,0.5,1.0
200,2,score,64,15,36.71449261899943,1.0,1.0
200,2,cost,64,14,35.812643776000186,1.0,1.0
200,2,score,7,7,7.954289932000393,1.0,0.5
200,2,cost,7,5,3.0136919990000024,1.0,0.5
200,2,score,12,9,12.959323078000125,1.0,0.25
200,2,cost,12,10,11.817445112000314,1.0,0.25
200,3,score,59,12,21.471051026999703,0.25,1.0
200,3,cost,59,12,21.780180028999894,0.25,1.0
200,3,score,48,9,16.115997881999647,0.5,1.0
200,3,cost,48,10,18.002021944000262,0.5,1.0
200,3,score,66,14,28.885507111000152,1.0,1.0
200,3,cost,66,13,32.03390873399985,1.0,1.0
200,3,score,58,58,1125.04172164,1.0,0.5
200,3,cost,58,58,1370.3635417590012,1.0,0.5
200,3,score,57,11,29.157421349000288,1.0,0.25
200,3,cost,57,11,28.65014340900052,1.0,0.25
200,4,score,5,3,1.5065221879995079,0.25,1.0
200,4,cost,5,3,1.524603539999589,0.25,1.0
200,4,score,70,11,34.75326912800119,0.5,1.0
200,4,cost,70,9,32.950891465001405,0.5,1.0
200,4,score,35,15,41.82215128499956,1.0,1.0
200,4,cost,35,15,42.6272487569986,1.0,1.0
200,4,score,36,36,2.3165514639986213,1.0,0.5
200,4,cost,36,36,2.317213308000646,1.0,0.5
200,4,score,11,9,14.932936654000514,1.0,0.25
200,4,cost,11,8,12.99043815100049,1.0,0.25
200,5,score,44,10,21.463542916000733,0.25,1.0
200,5,cost,44,10,25.456567155999437,0.25,1.0
200,5,score,18,9,14.621584590000566,0.5,1.0
200,5,cost,18,7,11.594699066999965,0.5,1.0
200,5,score,27,26,113.62023263800074,1.0,1.0
200,5,cost,27,26,123.14502475299923,1.0,1.0
200,5,score,27,27,133.49447362499996,1.0,0.5
200,5,cost,27,27,125.11190800300028,1.0,0.5
200,5,score,46,11,29.22818321699924,1.0,0.25
200,5,cost,46,11,26.60714747900056,1.0,0.25
250,1,score,10,7,14.878415703000428,0.25,1.0
250,1,cost,10,8,17.587156658000822,0.25,1.0
250,1,score,7,7,1.8822579139996378,0.5,1.0
250,1,cost,7,7,1.8440002460010874,0.5,1.0
250,1,score,53,53,1353.8795506859988,1.0,1.0
250,1,cost,53,53,1281.037660815,1.0,1.0
250,1,score,8,8,8.81948869199914,1.0,0.5
250,1,cost,8,4,2.633150387000569,1.0,0.5
250,1,score,39,10,21.5014391170007,1.0,0.25
250,1,cost,39,10,21.563410896000278,1.0,0.25
250,2,score,62,8,24.468149743999675,0.25,1.0
250,2,cost,62,8,23.928814984001292,0.25,1.0
250,2,score,38,11,26.610624569999345,0.5,1.0
250,2,cost,38,11,26.243913233000058,0.5,1.0
250,2,score,52,11,24.086973165000018,1.0,1.0
250,2,cost,52,11,23.193733625999812,1.0,1.0
250,2,score,54,54,5.369280543998684,1.0,0.5
250,2,cost,54,54,5.35007767100069,1.0,0.5
250,2,score,37,12,31.70744817100058,1.0,0.25
250,2,cost,37,13,29.331057508001322,1.0,0.25
250,3,score,29,11,24.528723555000397,0.25,1.0
250,3,cost,29,10,22.927022592000867,0.25,1.0
250,3,score,63,61,3554.2272491580006,0.5,1.0
250,3,cost,63,61,3574.8299484439995,0.5,1.0
250,3,score,41,10,23.19018964499992,1.0,1.0
250,3,cost,41,11,23.1267552040008,1.0,1.0
250,3,score,28,28,1.4216057769990584,1.0,0.5
250,3,cost,28,28,1.4242190170007234,1.0,0.5
250,3,score,24,24,47.98012690699761,1.0,0.25
250,3,cost,24,24,48.59437806599817,1.0,0.25
250,4,score,26,26,1.2630171179989702,0.25,1.0
250,4,cost,26,26,1.2353963750028925,0.25,1.0
250,4,score,60,60,6.244557901998633,0.5,1.0
250,4,cost,60,60,6.309709103003115,0.5,1.0
250,4,score,28,9,18.58005174400023,1.0,1.0
250,4,cost,28,9,17.92817500000092,1.0,1.0
250,4,score,70,9,23.89114894099839,1.0,0.5
250,4,cost,70,9,23.55407169999671,1.0,0.5
250,4,score,10,8,10.743370631997095,1.0,0.25
250,4,cost,10,8,10.697187527999631,1.0,0.25
250,5,score,27,26,144.21176265300164,0.25,1.0
250,5,cost,27,26,145.42486498299695,0.25,1.0
250,5,score,19,8,14.7084808360014,0.5,1.0
250,5,cost,19,9,15.553292582000722,0.5,1.0
250,5,score,17,8,14.39949877899926,1.0,1.0
250,5,cost,17,8,14.545812884000043,1.0,1.0
250,5,score,43,10,21.534098993000953,1.0,0.5
250,5,cost,43,9,18.586690778000047,1.0,0.5
250,5,score,7,7,10.477767566000693,1.0,0.25
250,5,cost,7,7,9.45580930000142,1.0,0.25
300,1,score,11,7,11.728074716000265,0.25,1.0
300,1,cost,11,7,12.508777774997725,0.25,1.0
300,1,score,14,14,0.6988559479977994,0.5,1.0
300,1,cost,14,14,0.6914768579990778,0.5,1.0
300,1,score,61,12,34.68076006100091,1.0,1.0
300,1,cost,61,16,47.922957988001144,1.0,1.0
300,1,score,44,12,30.04238727899792,1.0,0.5
300,1,cost,44,12,31.10062233100325,1.0,0.5
300,1,score,57,11,37.33800566799982,1.0,0.25
300,1,cost,57,12,35.605253334000736,1.0,0.25
