gene_size,replicate,genomes_gt,k_min,k_base
25,1,47,53,5
25,2,16,19,5
25,3,28,28,1
25,4,27,27,1
25,5,38,38,1
50,1,69,90,9
50,2,7,7,1
50,3,18,18,1
50,4,47,57,6
50,5,44,56,8
75,1,38,38,1
75,2,18,25,5
75,3,54,75,8
75,4,51,73,10
75,5,45,45,1
100,1,17,24,6
100,2,54,72,9
100,3,7,9,3
100,4,45,45,1
100,5,51,73,9
125,1,39,51,5
125,2,37,37,1
125,3,3,3,1
125,4,61,88,6
125,5,15,22,6
150,1,61,61,1
150,2,64,64,1
150,3,7,7,1
150,4,46,46,1
150,5,50,69,6
175,1,10,13,3
175,2,26,26,1
175,3,8,10,3
175,4,32,42,5
175,5,4,4,1
200,1,57,57,1
200,2,63,63,1
200,3,21,29,4
200,4,28,34,5
200,5,32,45,8
225,1,25,35,6
225,2,70,96,9
225,3,42,42,1
225,4,43,56,7
225,5,10,15,3
250,1,3,4,4
250,2,50,72,7
250,3,44,63,5
250,4,44,44,1
250,5,69,99,12
275,1,58,58,1
275,2,64,94,12
275,3,45,62,6
275,4,32,45,7
275,5,42,56,5
300,1,17,24,6
300,2,51,68,6
300,3,59,85,8
300,4,67,67,1
300,5,5,6,4
325,1,47,62,8
325,2,64,64,1
325,3,30,44,7
325,4,37,37,1
325,5,42,59,9
350,1,7,9,2
350,2,39,39,1
350,3,16,16,1
350,4,21,29,3
350,5,63,63,1
375,1,2,2,1
375,2,60,69,4
375,3,66,98,5
375,4,47,66,8
375,5,61,87,11
400,1,16,16,1
400,2,35,50,7
400,3,61,61,1
400,4,53,73,8
400,5,41,57,10
425,1,55,55,1
425,2,68,68,1
425,3,34,34,1
425,4,62,62,1
425,5,66,94,12
450,1,42,42,1
450,2,48,67,8
450,3,6,7,3
450,4,63,63,1
450,5,60,89,6
475,1,50,50,1
475,2,56,56,1
475,3,6,9,4
475,4,69,101,15
475,5,54,54,1
500,1,30,43,6
500,2,16,24,8
500,3,53,79,9
500,4,35,35,1
500,5,12,12,1
525,1,55,55,1
525,2,43,63,8
525,3,12,17,3
525,4,20,28,3
525,5,53,53,1
550,1,3,3,1
550,2,31,39,5
550,3,63,93,12
550,4,35,35,1
550,5,6,9,4
575,1,24,24,1
575,2,41,41,1
575,3,60,60,1
575,4,24,24,1
575,5,28,40,6
600,1,32,46,8
600,2,50,62,6
600,3,49,49,1
600,4,12,16,5
600,5,28,41,8
625,1,24,30,5
625,2,55,79,8
625,3,66,92,12
625,4,61,90,9
625,5,25,35,7
650,1,6,8,3
650,2,44,61,6
650,3,29,29,1
650,4,49,73,11
650,5,51,71,6
675,1,47,47,1
675,2,26,38,5
675,3,18,24,6
675,4,36,36,1
675,5,11,11,1
700,1,57,57,1
700,2,25,25,1
700,3,69,99,10
700,4,68,96,7
700,5,7,8,2
725,1,23,23,1
725,2,25,37,8
725,3,7,10,3
725,4,47,69,12
725,5,59,59,1
750,1,69,82,9
750,2,27,39,7
750,3,26,37,7
750,4,28,38,4
750,5,30,40,6
775,1,27,39,8
775,2,67,96,9
775,3,40,50,5
775,4,20,29,5
775,5,61,90,10
800,1,48,48,1
800,2,13,13,1
800,3,16,23,5
800,4,2,2,1
800,5,42,59,10
825,1,48,48,1
825,2,57,81,9
825,3,57,83,11
825,4,13,17,4
825,5,56,56,1
850,1,55,76,9
850,2,2,3,2
850,3,63,87,9
850,4,54,54,1
850,5,25,37,4
875,1,33,43,4
875,2,59,59,1
875,3,17,23,6
875,4,34,46,6
875,5,57,76,8
900,1,57,57,1
900,2,60,60,1
900,3,9,13,4
900,4,15,21,5
900,5,30,41,6
925,1,58,85,14
925,2,17,25,6
925,3,8,11,5
925,4,15,21,4
925,5,2,3,3
950,1,25,34,5
950,2,22,31,6
950,3,22,32,7
950,4,32,44,6
950,5,16,16,1
975,1,59,86,12
975,2,65,85,10
975,3,62,85,6
975,4,21,25,4
975,5,43,57,6
1000,1,40,59,6
1000,2,7,7,1
1000,3,68,68,1
1000,4,64,90,9
1000,5,59,87,13
