gene size,replicate,genomes gt,genomes inf,alpha,gamma
25,1,57,52,0.25,1.0
25,1,3,3,0.5,1.0
25,1,46,26,1.0,1.0
25,1,39,39,1.0,0.5
25,1,13,14,1.0,0.25
25,2,57,55,0.25,1.0
25,2,32,31,0.5,1.0
25,2,53,55,1.0,1.0
25,2,44,42,1.0,0.5
25,2,28,29,1.0,0.25
25,3,52,50,0.25,1.0
25,3,36,23,0.5,1.0
25,3,45,30,1.0,1.0
25,3,60,60,1.0,0.5
25,3,67,67,1.0,0.25
25,4,57,57,0.25,1.0
25,4,26,27,0.5,1.0
25,4,4,4,1.0,1.0
25,4,56,52,1.0,0.5
25,4,21,21,1.0,0.25
25,5,49,50,0.25,1.0
25,5,24,24,0.5,1.0
25,5,11,12,1.0,1.0
25,5,65,60,1.0,0.5
25,5,14,3,1.0,0.25
50,1,27,16,0.25,1.0
50,1,69,34,0.5,1.0
50,1,2,2,1.0,1.0
50,1,9,9,1.0,0.5
50,1,2,2,1.0,0.25
50,2,54,49,0.25,1.0
50,2,48,41,0.5,1.0
50,2,33,31,1.0,1.0
50,2,67,67,1.0,0.5
50,2,64,56,1.0,0.25
50,3,8,8,0.25,1.0
50,3,38,9,0.5,1.0
50,3,29,31,1.0,1.0
50,3,44,34,1.0,0.5
50,3,8,6,1.0,0.25
50,4,40,42,0.25,1.0
50,4,54,47,0.5,1.0
50,4,8,9,1.0,1.0
50,4,22,23,1.0,0.5
50,4,30,29,1.0,0.25
50,5,53,31,0.25,1.0
50,5,5,3,0.5,1.0
50,5,41,32,1.0,1.0
50,5,17,6,1.0,0.5
50,5,12,14,1.0,0.25
75,1,66,46,0.25,1.0
75,1,32,25,0.5,1.0
75,1,47,10,1.0,1.0
75,1,55,48,1.0,0.5
75,1,32,32,1.0,0.25
75,2,21,20,0.25,1.0
75,2,50,27,0.5,1.0
75,2,29,20,1.0,1.0
75,2,64,23,1.0,0.5
75,2,8,8,1.0,0.25
75,3,21,20,0.25,1.0
75,3,55,29,0.5,1.0
75,3,15,12,1.0,1.0
75,3,37,26,1.0,0.5
75,3,6,6,1.0,0.25
75,4,53,53,0.25,1.0
75,4,14,14,0.5,1.0
75,4,8,10,1.0,1.0
75,4,13,13,1.0,0.5
75,4,16,16,1.0,0.25
75,5,54,8,0.25,1.0
75,5,21,22,0.5,1.0
75,5,58,35,1.0,1.0
75,5,8,8,1.0,0.5
75,5,17,17,1.0,0.25
100,1,36,21,0.25,1.0
100,1,65,62,0.5,1.0
100,1,61,23,1.0,1.0
100,1,42,19,1.0,0.5
100,1,68,18,1.0,0.25
100,2,70,22,0.25,1.0
100,2,32,17,0.5,1.0
100,2,44,44,1.0,1.0
100,2,16,5,1.0,0.5
100,2,66,32,1.0,0.25
100,3,4,4,0.25,1.0
100,3,34,17,0.5,1.0
100,3,6,7,1.0,1.0
100,3,50,27,1.0,0.5
100,3,10,10,1.0,0.25
100,4,55,24,0.25,1.0
100,4,3,3,0.5,1.0
100,4,21,19,1.0,1.0
100,4,56,56,1.0,0.5
100,4,53,18,1.0,0.25
100,5,27,20,0.25,1.0
100,5,14,14,0.5,1.0
100,5,27,27,1.0,1.0
100,5,4,4,1.0,0.5
100,5,10,13,1.0,0.25
