gene_size,genomes_gt,k_min,k_base
10,25,20,1
20,70,64,1
30,59,50,1
40,22,22,1
50,15,15,1
60,62,62,1
70,19,19,1
80,39,39,1
90,58,58,1
100,3,3,1
110,6,6,1
120,18,18,1
130,36,36,1
140,43,43,1
150,20,20,1
160,47,47,1
170,50,50,1
180,4,4,1
190,59,59,1
200,68,68,1
210,23,23,1
220,47,47,1
230,23,23,1
240,5,5,1
250,67,67,1
260,37,37,1
270,12,12,1
280,33,33,1
290,21,21,1
300,34,34,1
310,24,24,1
320,61,61,1
330,9,9,1
340,61,61,1
350,67,67,1
360,20,20,1
370,6,6,1
380,67,67,1
390,17,17,1
400,37,37,1
410,12,12,1
420,68,68,1
430,51,51,1
440,26,26,1
450,18,18,1
460,4,4,1
470,2,2,1
480,13,13,1
490,68,68,1
500,62,62,1
510,46,46,1
520,44,44,1
530,36,36,1
540,39,39,1
550,37,37,1
560,59,59,1
570,21,21,1
580,21,21,1
590,16,16,1
600,5,5,1
610,40,40,1
620,47,47,1
630,4,4,1
640,8,8,1
650,20,20,1
660,47,47,1
670,64,64,1
680,70,70,1
690,19,19,1
700,45,45,1
710,13,13,1
720,51,51,1
730,32,32,1
740,16,16,1
750,26,26,1
760,6,6,1
770,28,28,1
780,42,42,1
790,39,39,1
800,18,18,1
810,45,45,1
820,64,64,1
830,36,36,1
840,40,40,1
850,10,10,1
860,47,47,1
870,21,21,1
880,40,40,1
890,32,32,1
900,64,64,1
910,33,33,1
920,57,57,1
930,11,11,1
940,60,60,1
950,29,29,1
960,41,41,1
970,38,38,1
980,2,2,1
990,17,17,1
1000,56,56,1
