gene size,replicate,genomes gt,genomes inf,core gt,core inf,core sd,runtime
25,1,41,41,25,2,23,0.11040585999944597
25,2,45,45,25,2,23,0.15138607900007628
25,3,40,40,25,10,15,0.07073626999772387
25,4,66,60,25,2,23,0.2257046390004689
25,5,4,4,25,15,10,0.004420277000463102
50,1,62,60,50,4,46,1.006940241997654
50,2,11,11,50,27,23,0.08231664400227601
50,3,38,38,50,50,0,0.6487849420009297
50,4,14,14,50,46,4,0.10335749099976965
50,5,5,5,50,50,0,0.04485515199849033
75,1,52,52,75,41,34,2.2330297980006435
75,2,49,49,75,48,27,2.0312013040020247
75,3,56,56,75,75,0,6.242664995999803
75,4,65,64,75,2,73,5.994591098999081
75,5,40,40,75,32,43,2.952811922001274
100,1,51,51,100,15,85,5.897763730998122
100,2,21,21,100,39,61,1.1843583720001334
100,3,8,8,100,84,16,0.22003601500182413
100,4,39,39,100,52,48,3.627697874999285
100,5,23,23,100,66,34,1.5514479390003544
125,1,40,40,125,107,18,7.025404464002349
125,2,33,33,125,93,32,4.188965491997806
125,3,25,25,125,92,33,2.476703535001434
125,4,15,15,125,117,8,1.1063877160013362
125,5,47,47,125,12,113,5.062179972999729
150,1,46,46,150,122,28,11.309585970997432
150,2,62,62,150,76,74,15.444727145000797
150,3,47,47,150,96,54,9.128740383002878
150,4,51,51,150,140,10,12.757189650001237
150,5,23,23,150,116,34,3.32263670699831
175,1,50,50,175,175,0,17.370509862998006
175,2,32,32,175,143,32,7.7848918859999685
175,3,37,37,175,106,69,8.91733471599946
175,4,31,31,175,134,41,6.644663022001623
175,5,56,56,175,60,115,16.50481928800218
200,1,11,11,200,200,0,1.562321638000867
200,2,23,23,200,188,12,4.7463862969998445
200,3,66,66,200,200,0,35.42784416200084
200,4,40,40,200,200,0,14.746499822998885
200,5,45,45,200,200,0,17.39780566600166
225,1,10,10,225,225,0,1.7462472340012027
225,2,64,64,225,71,154,34.059000391000154
225,3,49,49,225,225,0,27.41273808799815
225,4,28,28,225,214,11,9.998994552999648
225,5,12,12,225,205,20,1.9735576800012495
250,1,57,57,250,250,0,44.77592872600144
250,2,34,34,250,183,67,14.593938934998732
250,3,55,56,250,27,223,37.80226842399861
250,4,43,43,250,250,0,22.81035359499947
250,5,54,54,250,39,211,26.72409331900053
275,1,37,37,275,226,49,19.578416290998575
275,2,39,39,275,253,22,22.085478355002124
275,3,33,33,275,257,18,16.195196562999627
275,4,28,28,275,172,103,10.904756725998595
275,5,43,43,275,239,36,30.385925705999398
300,1,11,11,300,294,6,3.9000502500020957
300,2,64,64,300,278,22,72.25047577200166
300,3,65,65,300,226,74,69.73812808500224
300,4,6,6,300,300,0,1.1544939979976334
300,5,37,37,300,238,62,23.37710258399966
325,1,63,63,325,185,140,70.84481329100163
325,2,32,32,325,325,0,25.0309483020028
325,3,30,30,325,325,0,24.254191708998405
325,4,54,54,325,246,79,57.44211310800165
325,5,5,5,325,323,2,1.0857477600002312
350,1,13,13,350,346,4,5.7608400320023065
350,2,51,51,350,329,21,64.23313021699869
350,3,22,22,350,329,21,13.793892055997276
350,4,4,4,350,350,0,0.9513353619986447
350,5,42,42,350,331,19,48.5805950829963
375,1,54,54,375,341,34,98.93964906199835
375,2,43,43,375,359,16,69.84329717299988
375,3,2,2,375,375,0,0.49791941000148654
375,4,13,13,375,357,18,9.678624551001121
375,5,40,40,375,334,41,53.47032531900186
400,1,23,23,400,398,2,24.602544303998002
400,2,44,44,400,301,99,69.51503219499864
400,3,20,20,400,395,5,19.650499417999526
400,4,10,10,400,393,7,6.852256247999321
400,5,67,67,400,392,8,142.81412266799452
425,1,2,2,425,425,0,0.5761454649982625
425,2,19,19,425,420,5,15.667905591995805
425,3,6,6,425,417,8,2.3602384039986646
425,4,10,10,425,419,6,5.319646088995796
425,5,57,57,425,296,129,106.71125928399852
450,1,62,62,450,366,84,146.20723776699742
450,2,58,58,450,389,61,133.4748150230007
450,3,70,71,450,25,425,174.61401770700468
450,4,16,16,450,443,7,15.123684860001958
450,5,38,38,450,413,37,59.44222656200145
475,1,36,36,475,416,59,60.70866596500127
475,2,54,54,475,386,89,128.3889969360025
475,3,9,9,475,470,5,5.64702731599391
475,4,39,39,475,452,23,70.49214434200258
475,5,49,49,475,390,85,106.3448092749968
500,1,17,17,500,500,0,19.796684442000696
500,2,55,55,500,304,196,131.60598156999913
500,3,23,23,500,491,9,33.769945036001445
500,4,66,66,500,500,0,225.6523678789963
500,5,52,52,500,399,101,137.53654263899807
