gene size,replicate,genomes gt,genomes base,genomes inf,core gt,core inf,core sd,runtime
25,1,47,2,47,25,6,19,0.13724494100006268
25,2,52,1,52,25,6,19,0.09117667800001072
25,3,34,14,34,25,4,21,0.08420635400034371
25,4,9,2,9,25,14,11,0.009597348000170314
25,5,2,3,3,25,1,24,0.0007674259995837929
50,1,59,27,60,50,8,42,0.9661093089998758
50,2,36,21,36,50,1,49,0.09276890099954471
50,3,11,2,11,50,47,3,0.059491123000043444
50,4,41,21,42,50,1,49,0.11284284199973627
50,5,63,31,47,50,2,48,0.6241185580001911
75,1,42,26,43,75,4,71,1.1415522620000047
75,2,12,27,27,75,0,75,0.05079813100019237
75,3,63,38,69,75,1,74,2.514189033000548
75,4,59,32,59,75,4,71,1.6392381779996867
75,5,32,2,32,75,75,0,1.0679078550001577
100,1,19,26,26,100,0,100,0.2084519760001058
100,2,65,32,66,100,5,95,4.768283039999915
100,3,69,46,70,100,3,97,3.9959396109998124
100,4,42,42,43,100,6,94,1.8763488609993146
100,5,36,36,39,100,17,83,1.699408678000509
125,1,68,50,69,125,4,121,6.8745227619992875
125,2,21,14,24,125,20,105,1.0986229279997133
125,3,3,7,7,125,0,125,0.03212980399985099
125,4,29,46,46,125,0,125,0.5438637879997259
125,5,67,59,68,125,6,119,8.002671506999832
150,1,51,2,51,150,138,12,9.8895126540001
150,2,69,2,69,150,150,0,18.18008954099969
150,3,56,65,65,150,0,150,1.607995366999603
150,4,68,74,74,150,0,150,2.1097570460005954
150,5,51,56,56,150,0,150,1.43648010600009
175,1,70,91,91,175,0,175,3.00277015499978
175,2,56,67,67,175,0,175,2.272131003999675
175,3,11,6,12,175,30,145,0.7160433549997833
175,4,58,74,74,175,0,175,2.413006937999853
175,5,64,92,92,175,0,175,2.631898626000293
200,1,41,2,41,200,200,0,12.336637156000506
200,2,40,59,59,200,0,200,2.6247221829999035
200,3,48,43,51,200,2,198,13.022762956000406
200,4,5,14,14,200,0,200,0.19273206799971376
200,5,40,40,42,200,5,195,9.40640215700023
225,1,12,26,26,225,0,225,0.6901853750005102
225,2,48,50,52,225,6,219,12.713835051999922
225,3,26,2,26,225,225,0,6.727591908999784
225,4,48,70,70,225,0,225,3.0659160790000897
225,5,19,2,19,225,225,0,3.8229689380004857
250,1,2,11,11,250,0,250,0.08358403999955044
250,2,19,25,25,250,0,250,1.3264895649999744
250,3,7,2,7,250,250,0,0.88656720400013
250,4,22,44,44,250,0,250,1.6002475300001606
250,5,58,68,68,250,0,250,4.978619448000245
275,1,44,2,44,275,275,0,26.455090688999917
275,2,14,31,31,275,0,275,1.1031371409999338
275,3,64,2,64,275,275,0,53.033025749000444
275,4,49,68,68,275,0,275,4.4482290129999456
275,5,55,2,55,275,225,50,35.77451516700057
300,1,5,18,18,300,0,300,0.3462663380005324
300,2,52,2,52,300,237,63,39.61915838799996
300,3,16,2,16,300,290,10,5.0033745200007615
300,4,26,71,71,300,0,300,2.885430873999212
300,5,62,143,143,300,0,300,7.74137587200039
325,1,66,99,99,325,0,325,9.52974348800035
325,2,47,118,118,325,0,325,6.35415358299997
325,3,64,56,68,325,34,291,56.761533483000676
325,4,48,2,48,325,325,0,43.416751925000426
325,5,63,78,78,325,0,325,9.40347402000043
350,1,46,104,104,350,0,350,7.805357917000038
350,2,56,126,126,350,0,350,9.402665591999721
350,3,34,60,60,350,0,350,5.444962604000466
350,4,23,2,23,350,350,0,13.472849679999854
350,5,56,91,91,350,0,350,9.76116911400004
375,1,62,2,62,375,375,0,93.77768744399964
375,2,10,2,10,375,375,0,3.663669026000207
375,3,30,35,35,375,0,375,5.731819060999442
375,4,8,2,8,375,375,0,2.5713822479992814
375,5,11,2,11,375,375,0,4.289010618999782
400,1,47,139,139,400,0,400,10.11583298000005
400,2,69,108,108,400,0,400,16.37094777999937
400,3,69,2,69,400,400,0,131.9346376479998
400,4,24,83,83,400,0,400,4.8080933680003
400,5,14,2,14,400,400,0,7.762882474999969
425,1,58,2,58,425,356,69,103.4582694769997
425,2,28,107,107,425,0,425,6.536280978999457
425,3,33,2,33,425,411,14,38.36674879200018
425,4,5,2,5,425,425,0,1.5543624940000882
425,5,41,2,41,425,425,0,53.69409964700026
450,1,67,2,67,450,450,0,153.32015249699998
450,2,24,2,24,450,450,0,23.05377580699951
450,3,4,2,4,450,450,0,1.156271270999241
450,4,28,4,28,450,444,6,29.664449725999475
450,5,36,2,36,450,450,0,47.52689556399946
475,1,55,136,136,475,0,475,17.781815428999835
475,2,31,2,31,475,462,13,39.82079011899987
475,3,56,138,138,475,0,475,17.917236219999722
475,4,39,25,41,475,0,475,49.197302680000575
475,5,65,140,140,475,0,475,21.455237447999934
