gene size,replicate,genomes gt,genomes base,genomes inf,core gt,core inf,core sd,runtime
25,1,12,3,14,25,1,24,0.017984709000302246
25,2,59,2,59,25,3,22,0.2625505100004375
25,3,14,3,15,25,7,18,0.023000227000011364
25,4,48,8,40,25,1,24,0.03201058600097895
25,5,43,5,36,25,2,23,0.07463224899947818
50,1,34,2,34,50,50,0,0.5436397240009683
50,2,46,5,43,50,3,47,0.48767607099944144
50,3,56,2,56,50,50,0,1.3946890990009706
50,4,28,3,28,50,2,48,0.1764014149994182
50,5,63,2,63,50,50,0,1.7158068969984015
75,1,63,2,63,75,75,0,5.029411255000014
75,2,41,3,44,75,0,75,2.0585677690014563
75,3,3,2,3,75,75,0,0.04162244299914164
75,4,58,2,58,75,14,61,3.536569853000401
75,5,13,4,14,75,4,71,0.22633691699957126
100,1,21,2,21,100,93,7,1.2642152090011223
100,2,35,2,37,100,1,99,2.0535791740003333
100,3,39,2,44,100,2,98,2.4283937829986826
100,4,64,2,64,100,16,84,3.889552314998582
100,5,52,9,53,100,3,97,2.8439652960005333
125,1,60,9,63,125,8,117,5.921738486000322
125,2,32,3,34,125,4,121,2.1344570749988634
125,3,36,2,36,125,94,31,3.325206610999885
125,4,10,4,11,125,25,100,0.2938269760015828
125,5,36,2,41,125,1,124,3.4705586189993483
150,1,15,2,16,150,3,147,1.0819155929984845
150,2,15,2,17,150,1,149,1.0172937369989086
150,3,57,8,60,150,2,148,6.289873654000985
150,4,41,3,43,150,2,148,6.599159387000327
150,5,20,5,23,150,0,150,1.6052391770008398
175,1,2,2,2,175,175,0,0.051770432999546756
175,2,24,2,26,175,7,168,3.268936589000077
175,3,57,2,72,175,1,174,16.20823509100046
175,4,45,2,45,175,175,0,11.597097485999257
175,5,8,3,9,175,9,166,0.5277404750013375
200,1,57,2,57,200,200,0,23.751792297000065
200,2,22,2,25,200,1,199,3.652336199000274
200,3,35,3,37,200,0,200,8.055436647000533
200,4,17,3,18,200,3,197,2.3988975989996106
200,5,33,2,33,200,200,0,9.53356376100055
225,1,23,2,24,225,9,216,5.163234117999309
225,2,10,2,12,225,1,224,1.3201955019994784
225,3,7,2,7,225,225,0,0.7667670009996073
225,4,55,3,62,225,1,224,21.639477577000434
225,5,26,6,30,225,1,224,4.853779119999672
250,1,17,2,18,250,4,246,4.059853901000679
250,2,40,4,42,250,6,244,17.841140872000324
250,3,40,2,40,250,231,19,18.489392695999413
250,4,33,3,34,250,9,241,12.684742311999798
250,5,57,2,59,250,3,247,32.28883919100008
275,1,5,4,6,275,17,258,0.5808476830006839
275,2,58,4,58,275,195,80,41.018393113001366
275,3,60,2,63,275,5,270,49.65134470199882
275,4,57,2,57,275,275,0,44.6714386120002
275,5,68,4,72,275,2,273,55.13857726800052
300,1,49,10,55,300,39,261,27.27564649099986
300,2,66,2,66,300,300,0,69.80285750500116
300,3,58,3,69,300,1,299,48.163774348000516
300,4,31,2,32,300,7,293,16.884974246999263
300,5,65,2,65,300,300,0,67.75301564199981
325,1,17,2,20,325,1,324,6.7261154419993545
325,2,9,6,12,325,3,322,1.847191770999416
325,3,67,3,73,325,0,325,62.56404190899957
325,4,51,2,56,325,1,324,49.552943087999665
325,5,34,3,38,325,5,320,21.437188834001063
350,1,41,2,46,350,4,346,35.279399071001535
350,2,4,2,4,350,350,0,0.7437558049987274
350,3,65,5,76,350,1,349,70.90231809000034
350,4,18,2,23,350,1,349,8.481982172999778
350,5,30,2,40,350,0,350,21.48812221300068
375,1,32,2,32,375,375,0,28.53530906299966
375,2,6,4,8,375,8,367,1.4396753159999207
375,3,54,2,54,375,375,0,75.28040356800011
375,4,63,4,65,375,5,370,71.78748051700131
375,5,42,2,47,375,1,374,45.978945730001215
400,1,29,2,36,400,1,399,26.430537369000376
400,2,45,2,48,400,2,398,61.16456225600086
400,3,3,2,4,400,3,397,0.6341931499991915
400,4,48,2,48,400,400,0,69.28250403099992
400,5,54,2,58,400,3,397,81.2633985880002
425,1,35,3,38,425,1,424,42.09155462600029
425,2,14,2,15,425,10,415,8.400950825998734
425,3,29,2,29,425,425,0,30.72994616899996
425,4,3,3,3,425,423,2,0.6362682500002848
425,5,57,2,70,425,1,424,102.87676294199991
