u,v,weight
72,73,13
67,68,13
44,45,13
8,9,13
40,41,13
41,42,13
96,97,13
18,19,13
73,74,13
14,15,13
9,10,13
74,75,13
15,16,13
47,48,13
42,43,12
38,39,13
48,49,13
85,86,13
71,72,13
16,17,13
12,13,13
22,23,12
77,78,13
49,50,13
13,14,13
45,46,13
55,56,13
50,51,13
82,83,13
51,52,13
46,47,13
23,24,13
78,79,13
19,20,13
24,25,13
79,80,13
56,57,13
20,21,13
52,53,13
57,58,13
89,90,13
53,54,13
30,31,13
25,26,13
90,91,13
26,27,13
21,22,13
31,32,13
86,87,13
17,18,13
27,28,13
54,55,13
64,65,13
5,6,12
60,61,13
87,88,13
97,98,13
1,2,13
28,29,12
93,94,13
88,89,13
29,30,13
84,85,13
61,62,12
2,3,13
62,63,13
94,95,13
3,4,12
58,59,13
35,36,13
95,96,13
36,37,13
91,92,13
68,69,13
63,64,13
32,33,13
4,5,13
59,60,12
69,70,13
0,1,13
10,11,13
65,66,13
37,38,13
92,93,13
6,7,13
33,34,13
43,44,13
98,99,13
70,71,12
39,40,13
34,35,13
11,12,13
66,67,13
76,77,13
7,8,12
80,81,12
75,76,12
81,82,12
83,84,7
