SEQ_2,SEQ_1,SEQ_4,SEQ_7,simulated_k13_l100_16,simulated_k13_l100_19,simulated_k13_l100_6,MST_11,simulated_k13_l100_22,MST_1,MST_8,MST_9,simulated_k13_l100_8,simulated_k13_l100_20,simulated_k13_l100_2,SEQ_9,simulated_k13_l100_13,MST_5,SEQ_8,MST_12,simulated_k13_l100_23,SEQ_6,MST_13,MST_4,SEQ_0,MST_10,SEQ_3,simulated_k13_l100_24,simulated_k13_l100_14,MST_2,SEQ_12,MST_7,simulated_k13_l100_12,MST_3,SEQ_11,MST_6,SEQ_10,simulated_k13_l100_18,SEQ_5
0.0,,0.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,0.0,,,,1.0,,,,1.0,,1.0,,0.0
0.0,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,0.0,,,,1.0,,,,1.0,,1.0,,0.0
,,0.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,,1.0,,0.0
,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,,
2.0,2.0,2.0,3.0,0.0,3.0,,3.0,2.0,2.0,3.0,3.0,,3.0,,3.0,,2.0,3.0,3.0,2.0,3.0,3.0,2.0,8.0,3.0,2.0,2.0,,36.0,3.0,2.0,,2.0,3.0,2.0,3.0,4.0,2.0
1.0,1.0,1.0,0.0,,0.0,,0.0,1.0,3.0,0.0,0.0,,0.0,,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,0.0,1.0,1.0,,37.0,0.0,1.0,,1.0,0.0,1.0,0.0,,1.0
2.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,10.0,1.0,2.0,2.0,1.0,36.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0
1.0,1.0,1.0,0.0,,,,0.0,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,11.0,,1.0,,,,0.0,,,,0.0,,0.0,,1.0
0.0,0.0,0.0,1.0,,,,1.0,0.0,2.0,1.0,1.0,,,,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,,37.0,1.0,0.0,,0.0,1.0,0.0,1.0,,0.0
2.0,2.0,2.0,3.0,,,,3.0,,0.0,3.0,3.0,,,,3.0,,2.0,3.0,3.0,,3.0,3.0,2.0,8.0,3.0,2.0,,,35.0,3.0,2.0,,2.0,3.0,2.0,3.0,,2.0
1.0,1.0,1.0,0.0,,,,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,11.0,0.0,1.0,,,,0.0,,,,0.0,,0.0,,1.0
1.0,1.0,1.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,11.0,0.0,1.0,,,,0.0,,,,0.0,,0.0,,1.0
4.0,4.0,4.0,3.0,6.0,3.0,,3.0,4.0,6.0,3.0,3.0,0.0,3.0,,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,8.0,3.0,4.0,4.0,3.0,34.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,6.0,4.0
1.0,1.0,1.0,0.0,,,,0.0,1.0,3.0,0.0,0.0,,0.0,,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,0.0,1.0,1.0,,37.0,0.0,1.0,,1.0,0.0,1.0,0.0,,1.0
3.0,3.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,5.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,9.0,2.0,3.0,3.0,2.0,35.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,
1.0,1.0,1.0,0.0,3.0,0.0,,0.0,1.0,3.0,0.0,0.0,,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,0.0,1.0,1.0,0.0,37.0,0.0,1.0,,1.0,0.0,1.0,0.0,3.0,1.0
0.0,0.0,0.0,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,0.0,1.0,1.0,,1.0,1.0,,10.0,1.0,0.0,,,,1.0,0.0,,,1.0,0.0,1.0,,0.0
,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,,
1.0,1.0,1.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,11.0,,1.0,,,,0.0,,,,0.0,,0.0,,1.0
0.0,0.0,0.0,1.0,,,,1.0,,2.0,1.0,1.0,,,,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,,37.0,1.0,0.0,,0.0,1.0,0.0,1.0,,0.0
