SEQ_2,MST_27,SEQ_1,SEQ_14,MST_30,SEQ_13,SEQ_31,MST_42,SEQ_28,simulated_k40_l1000_64,simulated_k40_l1000_46,MST_8,SEQ_24,MST_9,simulated_k40_l1000_49,SEQ_42,simulated_k40_l1000_55,MST_25,SEQ_29,SEQ_6,MST_13,simulated_k40_l1000_52,SEQ_37,MST_2,simulated_k40_l1000_50,SEQ_33,simulated_k40_l1000_47,MST_26,simulated_k40_l1000_65,simulated_k40_l1000_75,SEQ_15,MST_6,SEQ_20,simulated_k40_l1000_33,simulated_k40_l1000_63,SEQ_7,SEQ_43,simulated_k40_l1000_78,simulated_k40_l1000_76,SEQ_21,MST_17,MST_44,MST_1,SEQ_30,simulated_k40_l1000_71,SEQ_8,MST_39,MST_22,MST_38,MST_10,SEQ_22,SEQ_44,MST_21,MST_32,simulated_k40_l1000_56,SEQ_12,SEQ_35,simulated_k40_l1000_42,SEQ_41,simulated_k40_l1000_57,simulated_k40_l1000_26,simulated_k40_l1000_16,SEQ_5,SEQ_32,SEQ_38,SEQ_40,simulated_k40_l1000_30,MST_45,SEQ_4,SEQ_26,simulated_k40_l1000_34,simulated_k40_l1000_74,simulated_k40_l1000_70,MST_11,simulated_k40_l1000_61,simulated_k40_l1000_58,SEQ_9,SEQ_34,simulated_k40_l1000_44,MST_5,MST_12,MST_24,MST_47,SEQ_18,simulated_k40_l1000_48,simulated_k40_l1000_62,SEQ_25,MST_18,MST_20,MST_33,SEQ_11,SEQ_10,SEQ_36,MST_14,simulated_k40_l1000_51,MST_28,SEQ_17,MST_40,MST_41,SEQ_19,simulated_k40_l1000_36,simulated_k40_l1000_20,MST_19,SEQ_39,MST_23,simulated_k40_l1000_6,simulated_k40_l1000_66,MST_36,MST_43,SEQ_27,SEQ_23,SEQ_16,MST_37,simulated_k40_l1000_72,simulated_k40_l1000_77,MST_15,MST_35,MST_4,MST_34,MST_46,SEQ_0,simulated_k40_l1000_54,SEQ_3,simulated_k40_l1000_24,MST_31,simulated_k40_l1000_45,MST_7,simulated_k40_l1000_73,MST_29,simulated_k40_l1000_68,MST_3,MST_16
0.0,,,92.0,,91.0,108.0,,108.0,,,,103.0,,,49.0,,,108.0,65.0,,,109.0,,,109.0,,,,,93.0,,97.0,,,66.0,176.0,,,97.0,,,,108.0,,82.0,,,,,98.0,4.0,,,,90.0,109.0,,39.0,,,,57.0,109.0,109.0,26.0,,,48.0,108.0,,,,,,,88.0,109.0,,,,,,95.0,,,107.0,,,,91.0,88.0,109.0,,,,95.0,,,96.0,,,,109.0,,,,,,108.0,99.0,96.0,,,,,,,,,,,32.0,,,,,,,,,
99.0,0.0,133.0,15.0,8.0,13.0,11.0,78.0,11.0,,,,3.0,,,107.0,,,11.0,45.0,,,12.0,,,12.0,,,,,13.0,,7.0,,,43.0,263.0,,,7.0,,98.0,,11.0,,22.0,12.0,,12.0,,6.0,6.0,,9.0,,12.0,12.0,,89.0,,,,51.0,12.0,12.0,74.0,,136.0,66.0,11.0,,,,,,,15.0,12.0,,,,,108.0,7.0,,,9.0,,,11.0,15.0,16.0,12.0,,,5.0,8.0,13.0,112.0,7.0,,,,13.0,,,,12.0,80.0,11.0,5.0,8.0,12.0,,,,12.0,,12.0,190.0,192.0,,78.0,,7.0,,,,6.0,,,
47.0,,0.0,122.0,,122.0,141.0,,141.0,,,,136.0,,,25.0,,,141.0,98.0,,,142.0,,,142.0,,,,,125.0,,131.0,,,101.0,119.0,,,132.0,,,,141.0,,113.0,,,,,132.0,2.0,,,,123.0,142.0,,31.0,,,,91.0,142.0,142.0,19.0,,,84.0,141.0,,,,,,,119.0,142.0,,,,,,130.0,,,140.0,,,,123.0,121.0,142.0,,,,128.0,,,131.0,,,,142.0,,,,,,141.0,132.0,127.0,,,,,,,,,,,68.0,,,,,,,,,
,,,0.0,,,22.0,,22.0,,,,19.0,,,100.0,,,22.0,,,,23.0,,,23.0,,,,,4.0,,11.0,,,,255.0,,,11.0,,,,22.0,,,,,,,11.0,6.0,,,,,23.0,,81.0,,,,,23.0,23.0,65.0,,,,22.0,,,,,,,,23.0,,,,,,10.0,,,22.0,,,,,,23.0,,,,9.0,,,10.0,,,,23.0,,,,,,22.0,12.0,5.0,,,,,,,,,,,,,,,,,,,,
105.0,,138.0,20.0,0.0,18.0,5.0,82.0,5.0,,,,11.0,,,113.0,,,5.0,50.0,,,6.0,,,6.0,,,,,18.0,,16.0,,,49.0,269.0,,,15.0,,101.0,,5.0,,27.0,6.0,,6.0,,14.0,6.0,,4.0,,18.0,6.0,,94.0,,,,56.0,6.0,6.0,75.0,,139.0,71.0,5.0,,,,,,,21.0,6.0,,,,,113.0,13.0,,,4.0,,,5.0,19.0,20.0,6.0,,,,14.0,6.0,106.0,15.0,,,,6.0,,,,6.0,84.0,5.0,13.0,13.0,6.0,,,,6.0,,6.0,197.0,198.0,,83.0,,3.0,,,,,,,
,,,1.0,,0.0,20.0,,20.0,,,,17.0,,,96.0,,,20.0,,,,21.0,,,21.0,,,,,5.0,,10.0,,,,252.0,,,10.0,,,,20.0,,,,,,,10.0,6.0,,,,,21.0,,78.0,,,,,21.0,21.0,62.0,,,,20.0,,,,,,,,21.0,,,,,,9.0,,,20.0,,,,,,21.0,,,,8.0,,,9.0,,,,21.0,,,,,,20.0,10.0,5.0,,,,,,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,,,116.0,,,,,,,1.0,,,1.0,,,,,,,,,,,271.0,,,,,,,,,,,,,,,7.0,,,,,1.0,,96.0,,,,,1.0,1.0,76.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,20.0,68.0,,65.0,83.0,0.0,83.0,,,,81.0,,,34.0,,,83.0,40.0,,,84.0,,,84.0,,,,,70.0,,77.0,,,47.0,47.0,,,76.0,,28.0,,83.0,,57.0,,,,,78.0,3.0,,,,68.0,84.0,,25.0,,,,36.0,84.0,84.0,25.0,,32.0,36.0,83.0,,,,,,,61.0,84.0,,,,,25.0,75.0,,,82.0,,,,67.0,66.0,84.0,,,,72.0,,,75.0,,,,85.0,,,,,11.0,83.0,79.0,71.0,,,,,,,,41.0,12.0,,31.0,,,,,,,,,
,,,,,,0.0,,0.0,,,,,,,116.0,,,0.0,,,,1.0,,,1.0,,,,,,,,,,,271.0,,,,,,,0.0,,,,,,,,7.0,,,,,1.0,,96.0,,,,,1.0,1.0,76.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.0,34.0,118.0,33.0,43.0,31.0,43.0,74.0,43.0,0.0,,64.0,37.0,55.0,,101.0,,28.0,43.0,57.0,34.0,,44.0,630.0,,44.0,,29.0,76.0,60.0,34.0,334.0,27.0,,,57.0,250.0,82.0,61.0,28.0,27.0,87.0,74.0,43.0,56.0,35.0,44.0,26.0,44.0,58.0,30.0,6.0,26.0,41.0,,32.0,44.0,,81.0,,,,63.0,44.0,44.0,63.0,,122.0,77.0,43.0,,78.0,54.0,43.0,,,29.0,44.0,,347.0,38.0,29.0,99.0,27.0,,,41.0,32.0,28.0,43.0,31.0,30.0,44.0,35.0,,39.0,28.0,44.0,144.0,27.0,,,31.0,44.0,25.0,,74.0,44.0,72.0,43.0,31.0,30.0,44.0,56.0,79.0,28.0,44.0,478.0,44.0,181.0,175.0,,84.0,,41.0,,93.0,79.0,40.0,53.0,468.0,27.0
97.0,48.0,126.0,43.0,42.0,40.0,36.0,73.0,36.0,77.0,0.0,61.0,49.0,48.0,76.0,108.0,72.0,51.0,36.0,43.0,41.0,77.0,35.0,632.0,72.0,35.0,84.0,53.0,20.0,76.0,41.0,330.0,51.0,,76.0,42.0,255.0,60.0,77.0,51.0,41.0,97.0,86.0,36.0,80.0,39.0,35.0,47.0,35.0,44.0,50.0,6.0,47.0,38.0,73.0,42.0,35.0,,85.0,58.0,,,49.0,35.0,35.0,70.0,,133.0,63.0,36.0,,56.0,72.0,40.0,26.0,56.0,42.0,35.0,,340.0,42.0,50.0,105.0,49.0,95.0,27.0,38.0,43.0,44.0,36.0,43.0,44.0,35.0,43.0,79.0,41.0,47.0,36.0,134.0,50.0,,,43.0,36.0,48.0,,20.0,35.0,73.0,36.0,52.0,44.0,35.0,80.0,57.0,42.0,35.0,478.0,35.0,179.0,184.0,91.0,75.0,,40.0,,91.0,59.0,41.0,71.0,472.0,42.0
