u,v,weight
838,839,40
99,100,40
898,899,40
719,720,40
536,537,40
159,160,40
930,931,40
8,9,40
477,478,40
871,872,40
720,721,40
931,932,40
569,570,40
872,873,40
904,905,40
376,377,40
964,965,40
106,107,40
317,318,40
166,167,40
937,938,40
15,16,40
786,787,40
409,410,40
258,259,40
846,847,40
107,108,40
878,879,40
318,319,40
938,939,40
80,81,40
259,260,40
291,292,40
820,821,40
443,444,40
292,293,40
129,644,1
912,913,40
535,536,40
384,385,40
945,946,40
568,569,40
55,56,40
266,267,40
996,997,40
886,887,40
509,510,40
147,148,40
390,391,40
207,208,40
239,240,40
450,451,40
693,694,40
542,543,40
391,392,40
254,643,1
423,424,40
634,635,40
364,365,40
181,182,40
575,576,40
424,425,40
635,636,40
273,274,40
516,517,40
608,609,40
457,458,40
911,912,40
549,550,40
760,761,40
21,22,40
609,610,40
641,642,40
490,491,40
701,702,40
339,340,40
944,945,40
205,206,40
752,753,40
674,675,40
885,886,40
523,524,40
146,147,40
734,735,40
34,244,1
615,616,40
87,88,40
179,180,40
767,768,40
28,29,40
616,617,40
120,121,40
557,558,40
180,181,40
29,30,40
649,650,40
272,273,40
121,122,40
892,893,40
2,3,40
700,701,40
213,214,40
94,95,40
682,683,40
985,986,40
623,624,40
733,734,40
95,96,40
127,128,40
715,716,40
187,188,40
807,808,40
899,900,40
160,161,40
371,372,40
959,960,40
707,708,40
69,70,40
161,162,40
404,405,40
951,952,40
464,465,40
345,346,40
556,557,40
405,406,40
43,44,40
286,287,40
346,347,40
378,379,40
966,967,40
925,926,40
438,439,40
319,320,40
168,169,40
379,380,40
622,623,40
260,261,40
958,959,40
320,321,40
563,564,40
412,413,40
261,262,40
293,294,40
385,386,40
932,933,40
294,295,40
199,799,5
537,538,40
9,10,40
629,630,40
840,841,40
689,690,40
437,438,40
570,571,40
419,420,40
873,874,40
134,135,40
360,361,40
681,682,40
814,815,40
452,453,40
773,774,40
663,664,40
411,412,40
16,17,40
847,848,40
696,697,40
806,807,40
655,656,40
788,789,40
747,748,40
839,840,40
729,730,40
50,51,40
780,781,40
670,671,40
762,763,40
83,84,40
854,855,40
115,116,40
703,704,40
662,663,40
175,176,40
965,966,40
116,117,40
736,737,40
359,360,40
208,209,40
167,168,40
787,788,40
300,301,40
636,637,40
149,150,40
30,31,40
939,940,40
200,201,40
333,334,40
669,670,40
880,881,40
141,142,40
761,762,40
274,275,40
123,124,40
426,427,40
64,65,40
518,519,40
156,157,40
946,947,40
340,341,40
551,552,40
887,888,40
510,511,40
400,401,40
148,149,40
281,282,40
344,469,1
451,452,40
500,991,1
543,544,40
433,434,40
525,526,40
861,862,40
374,375,40
122,123,40
953,954,40
425,426,40
558,559,40
407,408,40
348,349,40
550,551,40
63,64,40
399,400,40
532,533,40
702,703,40
473,474,40
794,795,40
432,433,40
37,38,40
735,736,40
506,507,40
465,466,40
919,920,40
768,769,40
406,407,40
617,618,40
130,131,40
750,751,40
498,499,40
0,677,1
952,953,40
783,784,40
926,927,40
986,987,40
624,625,40
247,248,40
835,836,40
137,138,40
757,758,40
716,717,40
188,189,40
808,809,40
868,869,40
900,901,40
960,961,40
111,112,40
690,691,40
203,204,40
901,902,40
782,783,40
295,296,40
993,994,40
144,145,40
103,104,40
236,237,40
195,196,40
815,816,40
136,137,40
347,348,40
269,270,40
967,968,40
228,229,40
439,440,40
77,78,40
908,909,40
531,532,40
169,170,40
513,514,40
151,152,40
941,942,40
564,565,40
413,414,40
354,355,40
974,975,40
597,598,40
235,236,40
487,488,40
538,539,40
387,388,40
225,326,2
520,521,40
420,421,40
512,513,40
25,26,40
361,362,40
664,665,40
435,436,40
545,546,40
17,18,40
605,606,40
848,849,40
486,487,40
697,698,40
335,336,40
789,790,40
427,428,40
638,639,40
519,520,40
225,586,1
611,612,40
671,672,40
763,764,40
612,613,40
823,824,40
855,856,40
217,218,40
553,554,40
176,177,40
796,797,40
856,857,40
117,118,40
888,889,40
737,738,40
948,949,40
209,210,40
829,830,40
150,151,40
981,982,40
619,620,40
830,831,40
862,863,40
91,92,40
334,335,40
922,923,40
954,955,40
803,804,40
275,276,40
863,864,40
165,166,40
124,125,40
744,745,40
367,368,40
955,956,40
987,988,40
804,805,40
216,217,40
836,837,40
157,158,40
745,746,40
368,369,40
988,989,40
242,629,1
139,140,40
460,461,40
309,310,40
341,342,40
929,930,40
190,191,40
39,40,40
282,283,40
870,871,40
131,132,40
962,963,40
434,435,40
72,73,40
283,284,40
677,678,40
315,316,40
903,904,40
164,165,40
375,376,40
769,770,40
618,619,40
316,317,40
343,936,7
492,659,4
408,409,40
257,258,40
349,350,40
743,744,40
560,561,40
592,593,40
441,442,40
684,685,40
501,502,40
382,383,40
593,594,40
625,626,40
474,475,40
685,686,40
717,718,40
534,535,40
566,567,40
777,778,40
415,416,40
38,39,40
626,627,40
869,870,40
718,719,40
356,357,40
567,568,40
448,449,40
659,660,40
57,991,1
691,692,40
902,903,40
751,752,40
12,13,40
104,105,40
573,574,40
784,785,40
13,14,40
45,46,40
633,634,40
665,666,40
105,106,40
936,937,40
574,575,40
968,969,40
785,786,40
817,818,40
78,79,40
666,667,40
877,878,40
138,139,40
909,910,40
969,970,40
456,457,40
79,80,40
699,700,40
910,911,40
548,549,40
942,943,40
759,760,40
20,21,40
791,792,40
414,415,40
52,53,40
640,641,40
263,264,40
112,113,40
732,733,40
355,356,40
943,944,40
204,205,40
975,976,40
824,825,40
447,448,40
673,674,40
296,297,40
884,885,40
145,146,40
388,389,40
26,27,40
237,238,40
825,826,40
857,858,40
86,87,40
329,330,40
178,179,40
389,390,40
27,28,40
270,271,40
858,859,40
119,120,40
362,363,40
211,212,40
799,800,40
60,61,40
271,272,40
303,304,40
891,892,40
740,741,40
363,364,40
395,396,40
212,213,40
606,607,40
244,245,40
455,456,40
304,305,40
698,699,40
547,548,40
396,397,40
428,429,40
639,640,40
488,489,40
731,732,40
369,370,40
957,958,40
186,187,40
580,581,40
278,279,40
310,311,40
521,522,40
764,765,40
581,582,40
402,403,40
613,614,40
705,706,40
522,523,40
243,922,1
554,555,40
403,404,40
614,615,40
646,647,40
555,556,40
193,194,40
587,588,40
436,437,40
59,60,40
679,680,40
739,740,40
377,378,40
620,621,40
831,832,40
680,681,40
923,924,40
410,411,40
621,622,40
470,471,40
864,865,40
502,503,40
956,957,40
594,595,40
805,806,40
503,504,40
158,159,40
746,747,40
67,68,39
779,780,39
40,41,39
628,629,39
812,813,39
73,74,39
133,134,39
753,754,39
14,15,39
74,75,39
845,846,39
468,469,39
905,906,39
47,48,39
226,227,39
48,49,39
879,880,39
140,141,39
383,384,39
232,233,39
475,476,39
173,174,39
22,23,39
416,417,39
233,234,39
265,266,39
476,477,39
114,115,39
357,358,39
206,207,39
449,450,39
660,661,39
358,359,39
978,979,39
331,332,39
970,971,39
113,114,39
793,794,39
431,432,39
642,643,39
826,827,39
88,89,39
800,801,39
741,742,39
833,834,39
305,306,39
3,4,39
35,36,39
