u,v,weight
989,990,25
444,445,25
67,68,25
838,839,25
99,100,25
687,688,25
719,720,25
536,537,25
898,899,25
159,160,25
930,931,25
779,780,25
8,9,25
990,991,25
628,629,25
40,41,25
251,252,25
477,478,25
100,101,25
871,872,25
132,133,25
720,721,25
343,344,25
931,932,25
569,570,25
192,193,25
963,964,25
812,813,25
41,42,25
73,74,25
661,662,25
284,285,25
872,873,25
133,134,25
904,905,25
753,754,25
376,377,25
964,965,25
14,15,25
225,226,25
74,75,25
845,846,25
468,469,25
106,107,25
694,695,25
317,318,25
905,906,25
166,167,25
937,938,25
786,787,25
15,16,25
409,410,25
226,227,25
997,998,25
47,48,25
258,259,25
846,847,25
107,108,25
878,879,25
318,319,25
350,351,25
938,939,25
199,200,25
48,49,25
442,443,25
80,81,25
259,260,25
291,292,25
879,880,25
140,141,25
351,352,25
383,384,25
971,972,25
232,233,25
820,821,25
443,444,25
81,82,25
475,476,25
292,293,25
324,325,25
912,913,25
535,536,25
173,174,25
384,385,25
22,23,25
416,417,25
233,234,25
627,628,25
265,266,25
853,854,25
476,477,25
114,115,25
325,326,25
357,358,25
945,946,25
568,569,25
206,207,25
417,418,25
55,56,25
449,450,25
266,267,25
660,661,25
298,299,25
886,887,25
996,997,25
509,510,25
147,148,25
358,359,25
390,391,25
207,208,25
978,979,25
601,602,25
239,240,25
450,451,25
299,300,25
693,694,25
331,332,25
542,543,25
391,392,25
423,424,25
240,241,25
602,603,25
634,635,25
970,971,25
483,484,24
332,333,25
364,365,25
181,182,25
575,576,25
424,425,25
635,636,25
273,274,25
667,668,25
516,517,25
727,728,25
365,366,25
214,215,25
608,609,25
819,820,25
457,458,25
668,669,25
306,307,25
911,912,25
549,550,25
760,761,25
398,399,25
21,22,25
609,610,25
641,642,25
852,853,25
490,491,25
113,114,25
701,702,25
339,340,25
944,945,25
582,583,25
205,206,25
793,794,25
431,432,25
54,55,25
642,643,25
752,753,25
674,675,25
885,886,25
523,524,25
146,147,25
734,735,25
583,584,25
615,616,25
826,827,25
87,88,25
675,676,25
918,919,25
179,180,25
767,768,25
28,29,25
616,617,25
726,727,25
648,649,25
88,89,25
859,860,25
120,121,25
708,709,25
557,558,25
180,181,25
800,801,25
29,30,25
61,62,25
649,650,25
272,273,25
121,122,25
892,893,25
153,154,25
741,742,25
2,3,25
590,591,25
700,701,25
213,214,25
833,834,25
94,95,25
682,683,25
305,306,25
154,155,25
774,775,25
3,4,25
397,398,25
985,986,25
623,624,25
733,734,25
246,247,25
35,36,25
95,96,25
866,867,25
127,128,25
715,716,25
338,339,25
187,188,25
807,808,25
36,37,25
430,431,25
68,69,25
279,280,25
977,978,25
128,129,25
899,900,25
160,161,25
371,372,25
959,960,25
707,708,25
220,221,25
69,70,25
101,102,25
312,313,23
161,162,25
372,373,24
10,11,25
404,405,25
992,993,25
253,254,25
951,952,25
464,465,25
102,103,25
313,314,25
345,346,25
933,934,25
556,557,25
194,195,25
405,406,25
43,44,25
286,287,25
984,985,25
497,498,25
135,136,25
346,347,25
378,379,25
966,967,25
589,590,25
227,228,25
925,926,25
438,439,25
76,77,25
287,288,25
319,320,25
907,908,25
530,531,25
168,169,25
379,380,25
489,490,25
622,623,25
260,261,25
958,959,25
471,472,25
320,321,25
352,353,25
563,564,25
412,413,25
261,262,25
293,294,25
991,992,25
504,505,25
353,354,25
463,464,25
385,386,25
596,597,24
932,933,25
445,446,25
294,295,25
537,538,25
748,749,25
386,387,25
9,10,25
629,630,25
840,841,25
478,479,25
689,690,23
327,328,25
437,438,25
570,571,25
781,782,25
419,420,25
42,43,25
268,269,25
873,874,25
511,512,25
134,135,25
722,723,25
360,361,25
681,682,25
0,64,1
603,604,25
814,815,25
452,453,25
75,76,25
663,664,25
411,412,25
773,774,25
544,545,25
755,756,25
865,866,25
16,17,25
714,715,25
847,848,25
108,109,25
696,697,25
806,807,25
655,656,25
577,578,25
788,789,25
49,50,25
637,638,25
747,748,25
109,110,25
729,730,25
839,840,25
688,689,25
201,202,25
821,822,25
50,51,25
82,83,25
670,671,25
780,781,25
142,143,25
762,763,25
23,24,25
721,722,25
234,235,25
83,84,25
854,855,25
115,116,25
703,704,25
813,814,25
326,327,25
662,663,25
175,176,25
795,796,25
24,25,25
56,57,25
644,645,25
754,755,25
267,268,25
965,966,25
116,117,25
736,737,25
359,360,25
695,696,25
208,209,25
906,907,25
167,168,25
828,829,25
57,58,25
89,90,25
787,788,25
300,301,25
998,999,25
636,637,25
149,150,25
30,31,25
728,729,25
241,242,25
939,940,25
90,91,25
200,201,25
333,334,25
669,670,25
182,183,25
880,881,25
141,142,25
31,32,25
761,762,25
274,275,25
972,973,25
485,486,25
123,124,25
215,216,25
913,914,25
426,427,25
64,65,25
174,175,25
307,308,25
518,519,25
156,157,25
5,6,25
610,611,25
248,249,25
946,947,25
459,460,25
97,98,25
418,419,25
340,341,25
551,552,25
189,190,25
887,888,25
400,401,25
148,149,25
510,511,25
281,282,25
979,980,25
492,493,25
451,452,25
584,585,25
222,223,25
920,921,25
433,434,25
543,544,25
392,393,25
314,315,25
525,526,25
861,862,25
374,375,25
122,123,25
484,485,25
953,954,25
466,467,25
576,577,25
425,426,25
558,559,25
407,408,25
517,518,25
366,367,25
499,500,25
348,349,25
458,459,25
802,803,25
440,441,25
550,551,25
399,400,25
532,533,25
381,382,25
491,492,25
4,5,25
702,703,25
473,474,25
794,795,25
432,433,25
643,644,25
565,566,25
776,777,25
524,525,25
37,38,25
735,736,25
373,374,25
506,507,25
827,828,25
465,466,25
676,677,25
809,810,25
919,920,25
70,71,25
768,769,25
406,407,25
617,618,25
130,131,25
750,751,25
498,499,25
860,861,25
11,12,25
709,710,25
952,953,25
801,802,25
650,651,25
163,164,25
783,784,25
893,894,25
44,45,25
742,743,25
255,256,25
591,592,25
724,725,25
834,835,25
683,684,25
196,197,25
894,895,25
155,156,25
926,927,25
775,776,25
288,289,25
986,987,25
624,625,25
137,138,25
247,248,25
835,836,25
96,97,25
757,758,25
867,868,25
18,19,25
716,717,25
229,230,25
927,928,25
188,189,25
808,809,25
657,658,25
170,171,25
280,281,25
868,869,25
129,130,25
900,901,25
749,750,25
262,263,25
960,961,25
598,599,25
111,112,25
221,222,25
841,842,25
690,691,24
203,204,25
901,902,25
162,163,25
782,783,25
