simulated_k51_l1000_10,simulated_k51_l1000_22,simulated_k51_l1000_24,simulated_k51_l1000_30,simulated_k51_l1000_32,simulated_k51_l1000_34,simulated_k51_l1000_37,simulated_k51_l1000_38,simulated_k51_l1000_42,simulated_k51_l1000_44,simulated_k51_l1000_46,simulated_k51_l1000_48,simulated_k51_l1000_49,simulated_k51_l1000_50,simulated_k51_l1000_51,simulated_k51_l1000_52,simulated_k51_l1000_54,simulated_k51_l1000_57,simulated_k51_l1000_58,simulated_k51_l1000_61,simulated_k51_l1000_62,simulated_k51_l1000_64,simulated_k51_l1000_66,simulated_k51_l1000_67,simulated_k51_l1000_68,simulated_k51_l1000_69,simulated_k51_l1000_70,simulated_k51_l1000_71,simulated_k51_l1000_72,simulated_k51_l1000_73,simulated_k51_l1000_74,simulated_k51_l1000_76,simulated_k51_l1000_78,simulated_k51_l1000_80,simulated_k51_l1000_81,simulated_k51_l1000_82,simulated_k51_l1000_84,simulated_k51_l1000_86,simulated_k51_l1000_87,simulated_k51_l1000_88,simulated_k51_l1000_89,simulated_k51_l1000_90,simulated_k51_l1000_91,simulated_k51_l1000_92,simulated_k51_l1000_93,simulated_k51_l1000_94,simulated_k51_l1000_95,simulated_k51_l1000_96,simulated_k51_l1000_98,simulated_k51_l1000_99,simulated_k51_l1000_100,MST_1,MST_2,MST_3,MST_4,MST_5,MST_6,MST_7,MST_8,MST_9,MST_10,MST_11,MST_12,MST_13,MST_14,MST_15,MST_16,MST_17,MST_18,MST_19,MST_20,MST_21,MST_22,MST_23,MST_24,MST_25,MST_26,MST_27,MST_28,MST_29,MST_30,MST_31,MST_32,MST_33,MST_34,MST_35,MST_36,MST_37,MST_38,MST_39,MST_40,MST_41,MST_42,MST_43,MST_44,MST_45,MST_46,MST_47,MST_48,MST_49,MST_50,MST_51,MST_52,MST_53,SEQ_0,SEQ_1,SEQ_2,SEQ_3,SEQ_4,SEQ_5,SEQ_6,SEQ_7,SEQ_8,SEQ_9,SEQ_10,SEQ_11,SEQ_12,SEQ_13,SEQ_14,SEQ_15,SEQ_16,SEQ_17,SEQ_18,SEQ_19,SEQ_20,SEQ_21,SEQ_22,SEQ_23,SEQ_24,SEQ_25,SEQ_26,SEQ_27,SEQ_28,SEQ_29,SEQ_30,SEQ_31,SEQ_32,SEQ_33,SEQ_34,SEQ_35,SEQ_36,SEQ_37,SEQ_38,SEQ_39,SEQ_40,SEQ_41,SEQ_42,SEQ_43,SEQ_44,SEQ_45,SEQ_46,SEQ_47,SEQ_48,SEQ_49,SEQ_50,SEQ_51
0.0,48.0,49.0,33.0,28.0,31.0,47.0,53.0,24.0,44.0,59.0,49.0,51.0,54.0,55.0,52.0,50.0,46.0,48.0,59.0,57.0,28.0,24.0,29.0,27.0,27.0,24.0,55.0,53.0,25.0,25.0,54.0,51.0,24.0,58.0,59.0,44.0,25.0,47.0,46.0,24.0,24.0,48.0,46.0,29.0,29.0,50.0,50.0,22.0,22.0,22.0,20.0,75.0,149.0,112.0,81.0,61.0,57.0,55.0,51.0,44.0,42.0,41.0,40.0,38.0,36.0,35.0,35.0,37.0,31.0,28.0,29.0,28.0,28.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,27.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,87.0,89.0,166.0,124.0,96.0,65.0,60.0,54.0,53.0,48.0,43.0,43.0,41.0,41.0,37.0,35.0,35.0,35.0,37.0,29.0,29.0,28.0,28.0,25.0,33.0,32.0,32.0,32.0,32.0,32.0,32.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,104.0
,0.0,21.0,55.0,50.0,51.0,17.0,23.0,48.0,32.0,49.0,15.0,39.0,40.0,45.0,44.0,14.0,12.0,12.0,31.0,29.0,50.0,46.0,51.0,49.0,49.0,46.0,25.0,23.0,47.0,47.0,42.0,21.0,46.0,44.0,47.0,30.0,47.0,15.0,12.0,46.0,46.0,34.0,34.0,51.0,51.0,20.0,20.0,44.0,44.0,44.0,28.0,75.0,140.0,106.0,71.0,51.0,42.0,38.0,37.0,32.0,30.0,28.0,28.0,26.0,25.0,24.0,22.0,22.0,27.0,27.0,27.0,28.0,28.0,22.0,18.0,18.0,18.0,18.0,18.0,18.0,22.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,83.0,88.0,167.0,117.0,88.0,54.0,45.0,39.0,36.0,36.0,31.0,31.0,28.0,29.0,26.0,24.0,24.0,22.0,22.0,26.0,27.0,28.0,28.0,27.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,102.0
,,0.0,56.0,51.0,50.0,18.0,24.0,49.0,35.0,50.0,22.0,40.0,43.0,46.0,45.0,23.0,17.0,19.0,20.0,18.0,51.0,47.0,52.0,50.0,50.0,47.0,26.0,24.0,48.0,48.0,43.0,22.0,47.0,47.0,48.0,31.0,48.0,22.0,19.0,47.0,47.0,35.0,35.0,52.0,52.0,21.0,21.0,45.0,45.0,45.0,29.0,80.0,140.0,101.0,70.0,55.0,46.0,42.0,39.0,32.0,30.0,30.0,30.0,28.0,27.0,26.0,24.0,24.0,29.0,28.0,28.0,29.0,29.0,23.0,19.0,19.0,19.0,19.0,19.0,19.0,22.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,82.0,88.0,165.0,112.0,85.0,59.0,50.0,43.0,42.0,36.0,31.0,31.0,30.0,31.0,28.0,26.0,26.0,24.0,24.0,29.0,28.0,29.0,29.0,28.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,102.0
,,,0.0,17.0,16.0,54.0,60.0,25.0,51.0,66.0,58.0,56.0,59.0,64.0,61.0,57.0,53.0,55.0,66.0,64.0,27.0,25.0,28.0,26.0,26.0,23.0,62.0,60.0,26.0,26.0,61.0,58.0,25.0,65.0,66.0,51.0,24.0,56.0,55.0,23.0,23.0,55.0,53.0,16.0,16.0,57.0,57.0,23.0,23.0,23.0,27.0,82.0,145.0,108.0,74.0,55.0,45.0,49.0,47.0,41.0,39.0,40.0,39.0,37.0,35.0,34.0,34.0,36.0,30.0,29.0,30.0,29.0,29.0,35.0,39.0,39.0,39.0,39.0,39.0,39.0,34.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,86.0,90.0,165.0,120.0,92.0,58.0,48.0,48.0,48.0,43.0,40.0,40.0,40.0,40.0,36.0,34.0,34.0,36.0,36.0,30.0,30.0,29.0,29.0,30.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,29.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,100.0
,,,,0.0,15.0,49.0,55.0,22.0,46.0,61.0,53.0,51.0,54.0,59.0,56.0,52.0,48.0,50.0,61.0,59.0,26.0,22.0,27.0,25.0,25.0,22.0,57.0,55.0,23.0,23.0,56.0,53.0,22.0,60.0,61.0,46.0,23.0,51.0,50.0,22.0,22.0,50.0,48.0,13.0,13.0,52.0,52.0,20.0,20.0,20.0,22.0,82.0,145.0,107.0,70.0,50.0,42.0,47.0,45.0,38.0,37.0,36.0,35.0,34.0,32.0,31.0,31.0,33.0,27.0,26.0,27.0,26.0,26.0,30.0,34.0,34.0,34.0,34.0,34.0,34.0,29.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,87.0,91.0,167.0,118.0,88.0,54.0,45.0,46.0,47.0,40.0,38.0,39.0,36.0,37.0,33.0,31.0,31.0,33.0,33.0,27.0,27.0,26.0,26.0,27.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,102.0
,,,,,0.0,50.0,56.0,25.0,47.0,62.0,54.0,52.0,55.0,60.0,57.0,53.0,49.0,51.0,62.0,60.0,27.0,23.0,28.0,26.0,26.0,23.0,58.0,56.0,24.0,24.0,57.0,54.0,23.0,61.0,62.0,47.0,24.0,52.0,51.0,23.0,23.0,51.0,49.0,14.0,14.0,53.0,53.0,21.0,21.0,21.0,24.0,81.0,142.0,103.0,70.0,51.0,41.0,44.0,44.0,38.0,37.0,36.0,35.0,33.0,32.0,31.0,31.0,32.0,26.0,25.0,26.0,25.0,25.0,31.0,35.0,35.0,35.0,35.0,35.0,35.0,30.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,86.0,88.0,165.0,113.0,88.0,54.0,44.0,44.0,45.0,39.0,38.0,38.0,36.0,37.0,33.0,31.0,31.0,32.0,32.0,26.0,26.0,25.0,25.0,26.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,100.0
,,,,,,0.0,14.0,47.0,31.0,44.0,18.0,36.0,39.0,40.0,39.0,19.0,15.0,15.0,28.0,26.0,49.0,45.0,50.0,48.0,48.0,45.0,16.0,14.0,46.0,46.0,39.0,12.0,45.0,43.0,44.0,27.0,46.0,18.0,15.0,45.0,45.0,31.0,31.0,50.0,50.0,11.0,11.0,43.0,43.0,43.0,27.0,80.0,139.0,102.0,67.0,48.0,39.0,35.0,30.0,30.0,28.0,26.0,26.0,24.0,23.0,22.0,20.0,20.0,25.0,24.0,24.0,25.0,25.0,19.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,84.0,87.0,167.0,113.0,84.0,50.0,43.0,36.0,33.0,34.0,29.0,29.0,26.0,27.0,24.0,22.0,22.0,20.0,20.0,25.0,24.0,25.0,25.0,24.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,104.0
,,,,,,,0.0,53.0,37.0,52.0,24.0,42.0,45.0,48.0,47.0,23.0,21.0,21.0,34.0,32.0,55.0,51.0,56.0,54.0,54.0,51.0,22.0,20.0,52.0,52.0,45.0,18.0,51.0,49.0,50.0,33.0,52.0,24.0,21.0,51.0,51.0,37.0,37.0,56.0,56.0,17.0,17.0,49.0,49.0,49.0,33.0,80.0,141.0,108.0,73.0,54.0,45.0,41.0,36.0,36.0,34.0,32.0,32.0,30.0,29.0,28.0,26.0,26.0,30.0,30.0,30.0,31.0,31.0,25.0,21.0,21.0,21.0,21.0,21.0,21.0,25.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,83.0,86.0,164.0,119.0,90.0,56.0,49.0,42.0,39.0,40.0,35.0,35.0,32.0,33.0,30.0,28.0,28.0,26.0,26.0,30.0,30.0,31.0,31.0,30.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,101.0
,,,,,,,,0.0,44.0,61.0,51.0,47.0,50.0,57.0,54.0,50.0,46.0,48.0,59.0,57.0,20.0,10.0,21.0,19.0,17.0,14.0,55.0,53.0,13.0,13.0,54.0,51.0,12.0,58.0,59.0,44.0,15.0,49.0,48.0,14.0,14.0,48.0,46.0,23.0,23.0,50.0,50.0,10.0,10.0,10.0,20.0,74.0,146.0,105.0,70.0,50.0,44.0,42.0,38.0,33.0,32.0,31.0,30.0,28.0,28.0,29.0,29.0,31.0,25.0,22.0,23.0,22.0,22.0,28.0,32.0,32.0,32.0,32.0,32.0,32.0,27.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,87.0,92.0,171.0,116.0,87.0,54.0,46.0,41.0,39.0,34.0,33.0,33.0,31.0,31.0,27.0,29.0,29.0,29.0,31.0,23.0,23.0,22.0,22.0,23.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,100.0
,,,,,,,,,0.0,37.0,35.0,27.0,30.0,33.0,32.0,36.0,30.0,32.0,43.0,41.0,46.0,42.0,47.0,45.0,45.0,42.0,39.0,37.0,43.0,43.0,30.0,35.0,42.0,34.0,35.0,4.0,43.0,33.0,32.0,42.0,42.0,8.0,8.0,47.0,47.0,34.0,34.0,40.0,40.0,40.0,24.0,76.0,142.0,101.0,67.0,53.0,50.0,48.0,43.0,37.0,35.0,32.0,32.0,33.0,32.0,31.0,32.0,35.0,30.0,29.0,29.0,28.0,28.0,22.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,81.0,89.0,168.0,113.0,83.0,51.0,52.0,48.0,46.0,41.0,36.0,35.0,32.0,31.0,33.0,31.0,31.0,33.0,35.0,30.0,29.0,28.0,28.0,27.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,101.0
