simulated_k51_l1000_74,SEQ_2,MST_27,SEQ_1,SEQ_14,MST_30,simulated_k51_l1000_81,SEQ_13,SEQ_31,simulated_k51_l1000_88,MST_42,SEQ_28,simulated_k51_l1000_89,MST_8,simulated_k51_l1000_92,SEQ_24,MST_9,SEQ_42,simulated_k51_l1000_37,simulated_k51_l1000_61,simulated_k51_l1000_86,SEQ_48,simulated_k51_l1000_64,MST_25,simulated_k51_l1000_34,simulated_k51_l1000_22,SEQ_29,SEQ_6,MST_13,simulated_k51_l1000_87,simulated_k51_l1000_67,SEQ_37,MST_2,MST_48,SEQ_33,MST_26,simulated_k51_l1000_94,simulated_k51_l1000_32,SEQ_15,MST_6,SEQ_20,simulated_k51_l1000_93,SEQ_49,simulated_k51_l1000_70,simulated_k51_l1000_44,simulated_k51_l1000_48,SEQ_51,SEQ_7,SEQ_43,SEQ_21,simulated_k51_l1000_80,MST_17,MST_44,simulated_k51_l1000_69,MST_1,SEQ_30,simulated_k51_l1000_49,SEQ_8,MST_39,simulated_k51_l1000_30,simulated_k51_l1000_72,simulated_k51_l1000_42,simulated_k51_l1000_82,MST_22,MST_38,MST_10,SEQ_22,SEQ_44,MST_21,MST_32,SEQ_12,SEQ_35,SEQ_41,simulated_k51_l1000_24,SEQ_47,SEQ_5,simulated_k51_l1000_46,SEQ_32,simulated_k51_l1000_57,MST_52,SEQ_38,simulated_k51_l1000_100,SEQ_40,simulated_k51_l1000_90,MST_45,SEQ_4,SEQ_26,MST_11,simulated_k51_l1000_54,simulated_k51_l1000_52,SEQ_9,SEQ_34,MST_5,simulated_k51_l1000_51,simulated_k51_l1000_95,MST_12,simulated_k51_l1000_71,MST_24,simulated_k51_l1000_84,simulated_k51_l1000_58,MST_47,SEQ_18,simulated_k51_l1000_98,SEQ_25,MST_53,MST_18,simulated_k51_l1000_50,MST_20,MST_33,SEQ_11,SEQ_10,SEQ_50,simulated_k51_l1000_68,SEQ_36,MST_14,MST_28,simulated_k51_l1000_78,SEQ_17,simulated_k51_l1000_66,MST_40,MST_41,SEQ_19,MST_19,SEQ_39,simulated_k51_l1000_96,MST_23,simulated_k51_l1000_73,MST_36,MST_43,SEQ_27,SEQ_23,SEQ_16,MST_37,MST_49,SEQ_45,MST_15,MST_35,MST_4,MST_34,MST_46,SEQ_0,SEQ_46,SEQ_3,simulated_k51_l1000_91,simulated_k51_l1000_62,MST_50,MST_31,simulated_k51_l1000_76,MST_7,simulated_k51_l1000_38,simulated_k51_l1000_99,MST_29,MST_3,MST_16,simulated_k51_l1000_10,MST_51
0.0,84.0,31.0,111.0,28.0,31.0,57.0,28.0,20.0,47.0,20.0,31.0,13.0,38.0,45.0,31.0,37.0,20.0,,,14.0,20.0,,31.0,,,21.0,36.0,29.0,48.0,,20.0,72.0,20.0,20.0,31.0,22.0,,28.0,50.0,21.0,22.0,20.0,,,,102.0,35.0,20.0,22.0,7.0,28.0,20.0,,18.0,20.0,,32.0,20.0,,,,58.0,21.0,20.0,33.0,30.0,20.0,22.0,20.0,26.0,20.0,20.0,,20.0,37.0,,20.0,,87.0,20.0,5.0,20.0,13.0,20.0,44.0,31.0,31.0,,,32.0,20.0,69.0,,49.0,30.0,,27.0,43.0,,20.0,22.0,5.0,31.0,90.0,30.0,,21.0,20.0,30.0,30.0,20.0,,20.0,27.0,31.0,50.0,22.0,,20.0,20.0,21.0,24.0,20.0,49.0,21.0,,20.0,20.0,31.0,31.0,30.0,20.0,20.0,20.0,27.0,20.0,100.0,20.0,20.0,168.0,20.0,53.0,47.0,,20.0,26.0,53.0,41.0,,5.0,31.0,143.0,28.0,,20.0
,0.0,,,73.0,,,73.0,96.0,,,91.0,,,,91.0,,97.0,,,,97.0,,,,,95.0,56.0,,,,96.0,,,96.0,,,,73.0,,79.0,,97.0,,,,68.0,65.0,97.0,83.0,,,,,,96.0,,67.0,,,,,,,,,90.0,97.0,,,71.0,96.0,97.0,,97.0,56.0,,96.0,,,96.0,,96.0,,,47.0,91.0,,,,68.0,96.0,,,,,,,,,,79.0,,91.0,,,,,,68.0,67.0,97.0,,96.0,,,,78.0,,,,79.0,,96.0,,,,,,91.0,91.0,73.0,,,97.0,,,,,,,97.0,34.0,,,,,,,,,,,,,
,91.0,0.0,120.0,23.0,0.0,,23.0,11.0,,11.0,0.0,,,,0.0,,11.0,,,,11.0,,,,,10.0,40.0,,,,11.0,,11.0,11.0,,,,21.0,,12.0,,11.0,,,,108.0,35.0,11.0,9.0,,,11.0,,,11.0,,30.0,11.0,,,,,,11.0,,1.0,11.0,,11.0,25.0,11.0,11.0,,11.0,43.0,,11.0,,93.0,11.0,,11.0,,11.0,49.0,0.0,,,,30.0,11.0,,,,,,,,,11.0,13.0,,0.0,93.0,,,,11.0,28.0,27.0,11.0,,11.0,,0.0,,14.0,,11.0,11.0,12.0,,11.0,,,,11.0,11.0,0.0,0.0,21.0,11.0,11.0,11.0,,11.0,,11.0,11.0,179.0,11.0,58.0,,,11.0,4.0,,,,,0.0,,,,11.0
,31.0,,0.0,103.0,,,103.0,126.0,,,120.0,,,,120.0,,127.0,,,,127.0,,,,,125.0,87.0,,,,126.0,,,126.0,,,,102.0,,108.0,,127.0,,,,62.0,96.0,127.0,112.0,,,,,,126.0,,98.0,,,,,,,,,119.0,127.0,,,101.0,126.0,127.0,,127.0,87.0,,126.0,,,126.0,,126.0,,,78.0,120.0,,,,99.0,126.0,,,,,,,,,,108.0,,120.0,,,,,,98.0,98.0,127.0,,126.0,,,,108.0,,,,108.0,,126.0,,,,,,120.0,120.0,102.0,,,127.0,,,,,,,127.0,66.0,,,,,,,,,,,,,
,,,,0.0,,,,30.0,,,23.0,,,,23.0,,30.0,,,,30.0,,,,,29.0,,,,,30.0,,,30.0,,,,2.0,,10.0,,30.0,,,,99.0,,30.0,14.0,,,,,,30.0,,,,,,,,,,,22.0,30.0,,,,30.0,30.0,,30.0,,,30.0,,,30.0,,30.0,,,,23.0,,,,,30.0,,,,,,,,,,9.0,,23.0,,,,,,,,30.0,,30.0,,,,10.0,,,,10.0,,30.0,,,,,,23.0,23.0,3.0,,,30.0,,,,,,,30.0,,,,,,,,,,,,,,
,91.0,,120.0,23.0,0.0,,23.0,11.0,,11.0,0.0,,,,0.0,,11.0,,,,11.0,,,,,10.0,40.0,,,,11.0,,11.0,11.0,,,,21.0,,12.0,,11.0,,,,108.0,35.0,11.0,9.0,,,11.0,,,11.0,,30.0,11.0,,,,,,11.0,,1.0,11.0,,11.0,25.0,11.0,11.0,,11.0,43.0,,11.0,,93.0,11.0,,11.0,,11.0,49.0,0.0,,,,30.0,11.0,,,,,,,,,11.0,13.0,,0.0,93.0,,,,11.0,28.0,27.0,11.0,,11.0,,,,14.0,,11.0,11.0,12.0,,11.0,,,,11.0,11.0,0.0,0.0,21.0,11.0,11.0,11.0,,11.0,,11.0,11.0,179.0,11.0,58.0,,,11.0,4.0,,,,,,,,,11.0
,78.0,28.0,102.0,46.0,28.0,0.0,46.0,37.0,44.0,37.0,28.0,56.0,52.0,36.0,28.0,47.0,37.0,,,57.0,37.0,,28.0,,,36.0,50.0,43.0,47.0,,37.0,79.0,37.0,37.0,28.0,61.0,,44.0,65.0,40.0,61.0,37.0,,,,97.0,45.0,37.0,37.0,,45.0,37.0,,38.0,37.0,,44.0,37.0,,,,5.0,40.0,37.0,43.0,29.0,37.0,41.0,37.0,48.0,37.0,37.0,,37.0,53.0,,37.0,,85.0,37.0,54.0,37.0,56.0,37.0,60.0,28.0,44.0,,,44.0,37.0,72.0,,46.0,41.0,,32.0,32.0,,37.0,41.0,54.0,28.0,83.0,46.0,,41.0,37.0,44.0,41.0,37.0,,37.0,46.0,28.0,,40.0,,37.0,37.0,40.0,41.0,37.0,44.0,40.0,,37.0,37.0,28.0,28.0,46.0,37.0,37.0,37.0,47.0,37.0,90.0,37.0,37.0,159.0,37.0,71.0,36.0,,37.0,32.0,,56.0,,54.0,28.0,135.0,46.0,,37.0
,,,,0.0,,,0.0,30.0,,,23.0,,,,23.0,,30.0,,,,30.0,,,,,29.0,,,,,30.0,,,30.0,,,,2.0,,10.0,,30.0,,,,99.0,,30.0,14.0,,,,,,30.0,,,,,,,,,,,22.0,30.0,,,,30.0,30.0,,30.0,,,30.0,,,30.0,,30.0,,,,23.0,,,,,30.0,,,,,,,,,,9.0,,23.0,,,,,,,,30.0,,30.0,,,,10.0,,,,10.0,,30.0,,,,,,23.0,23.0,3.0,,,30.0,,,,,,,30.0,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,114.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,
,82.0,16.0,110.0,23.0,16.0,,23.0,27.0,0.0,27.0,16.0,46.0,34.0,32.0,16.0,33.0,27.0,,,,27.0,,16.0,,,26.0,32.0,27.0,,,27.0,71.0,27.0,27.0,16.0,51.0,,21.0,48.0,26.0,51.0,27.0,,,,105.0,32.0,27.0,25.0,,21.0,27.0,,28.0,27.0,,27.0,27.0,,,,,26.0,27.0,28.0,17.0,27.0,25.0,27.0,25.0,27.0,27.0,,27.0,35.0,,27.0,,85.0,27.0,44.0,27.0,46.0,27.0,43.0,16.0,27.0,,,28.0,27.0,69.0,,18.0,27.0,,20.0,,,27.0,25.0,44.0,16.0,88.0,21.0,,25.0,27.0,28.0,27.0,27.0,,27.0,25.0,16.0,,25.0,,27.0,27.0,26.0,25.0,27.0,18.0,26.0,,27.0,27.0,16.0,16.0,21.0,27.0,27.0,27.0,24.0,27.0,100.0,27.0,27.0,169.0,27.0,52.0,32.0,,27.0,20.0,,39.0,,44.0,16.0,140.0,23.0,,27.0
