pan,genome id,genome size,path_id,length
SEQ,0,892,0,2
SEQ,0,892,1,5
SEQ,0,892,2,13
SEQ,0,892,3,2
SEQ,0,892,4,3
SEQ,0,892,5,2
SEQ,0,892,6,4
SEQ,0,892,7,2
SEQ,0,892,8,9
SEQ,0,892,9,3
SEQ,0,892,10,2
SEQ,0,892,11,11
SEQ,0,892,12,2
SEQ,0,892,13,4
SEQ,0,892,14,15
SEQ,0,892,15,3
SEQ,0,892,16,2
SEQ,0,892,17,2
SEQ,0,892,18,11
SEQ,0,892,19,3
SEQ,0,892,20,3
SEQ,0,892,21,26
SEQ,0,892,22,5
SEQ,0,892,23,5
SEQ,0,892,24,12
SEQ,0,892,25,5
SEQ,0,892,26,2
SEQ,0,892,27,5
SEQ,0,892,28,4
SEQ,0,892,29,4
SEQ,0,892,30,3
SEQ,0,892,31,3
SEQ,0,892,32,7
SEQ,0,892,33,2
SEQ,0,892,34,6
SEQ,0,892,35,7
SEQ,0,892,36,2
SEQ,0,892,37,5
SEQ,0,892,38,5
SEQ,0,892,39,3
SEQ,0,892,40,3
SEQ,0,892,41,19
SEQ,0,892,42,4
SEQ,0,892,43,2
SEQ,0,892,44,2
SEQ,0,892,45,5
SEQ,0,892,46,3
SEQ,0,892,47,6
SEQ,0,892,48,2
SEQ,0,892,49,3
SEQ,0,892,50,2
SEQ,0,892,51,2
SEQ,0,892,52,6
SEQ,0,892,53,5
SEQ,0,892,54,2
SEQ,0,892,55,4
SEQ,0,892,56,3
SEQ,0,892,57,6
SEQ,0,892,58,28
SEQ,0,892,59,5
SEQ,0,892,60,9
SEQ,0,892,61,3
SEQ,0,892,62,3
SEQ,0,892,63,8
SEQ,0,892,64,22
SEQ,0,892,65,13
SEQ,0,892,66,2
SEQ,0,892,67,2
SEQ,0,892,68,4
SEQ,0,892,69,3
SEQ,0,892,70,5
SEQ,0,892,71,8
SEQ,0,892,72,5
SEQ,0,892,73,8
SEQ,0,892,74,6
SEQ,0,892,75,2
SEQ,0,892,76,2
SEQ,0,892,77,3
SEQ,0,892,78,3
SEQ,0,892,79,12
SEQ,0,892,80,3
SEQ,0,892,81,5
SEQ,0,892,82,13
SEQ,0,892,83,9
SEQ,0,892,84,2
SEQ,0,892,85,2
SEQ,0,892,86,18
SEQ,0,892,87,8
SEQ,0,892,88,3
