simulated_k7_l1500_2,simulated_k7_l1500_4,simulated_k7_l1500_6,simulated_k7_l1500_9,simulated_k7_l1500_10,simulated_k7_l1500_11,simulated_k7_l1500_12,MST_1,MST_2,MST_3,MST_4,MST_5,MST_6,MST_7,MST_8,SEQ_0,SEQ_1,SEQ_2,SEQ_3,SEQ_4,SEQ_5,SEQ_6
0.0,16.0,14.0,15.0,13.0,16.0,15.0,246.0,24.0,672.0,14.0,12.0,11.0,11.0,20.0,20.0,14.0,13.0,12.0,11.0,10.0,10.0
,0.0,8.0,9.0,7.0,10.0,9.0,244.0,22.0,668.0,8.0,6.0,5.0,5.0,23.0,20.0,10.0,7.0,6.0,5.0,6.0,6.0
,,0.0,7.0,5.0,8.0,7.0,245.0,16.0,669.0,6.0,4.0,3.0,3.0,24.0,22.0,8.0,5.0,4.0,3.0,4.0,4.0
,,,0.0,4.0,7.0,6.0,245.0,17.0,666.0,5.0,3.0,4.0,4.0,24.0,21.0,7.0,4.0,3.0,4.0,5.0,5.0
,,,,0.0,5.0,4.0,245.0,19.0,665.0,1.0,1.0,2.0,2.0,23.0,25.0,5.0,0.0,1.0,2.0,3.0,3.0
,,,,,0.0,3.0,244.0,14.0,667.0,6.0,4.0,5.0,5.0,23.0,20.0,4.0,5.0,4.0,5.0,6.0,6.0
,,,,,,0.0,245.0,15.0,666.0,5.0,3.0,4.0,4.0,22.0,21.0,3.0,4.0,3.0,4.0,5.0,5.0
,,,,,,,0.0,257.0,894.0,246.0,244.0,243.0,243.0,23.0,252.0,244.0,245.0,244.0,243.0,243.0,243.0
,,,,,,,,0.0,679.0,18.0,18.0,19.0,19.0,31.0,14.0,17.0,19.0,18.0,19.0,20.0,20.0
,,,,,,,,,0.0,664.0,665.0,666.0,666.0,25.0,679.0,664.0,665.0,665.0,666.0,667.0,667.0
,,,,,,,,,,0.0,2.0,3.0,3.0,23.0,26.0,5.0,1.0,2.0,3.0,4.0,4.0
,,,,,,,,,,,0.0,1.0,1.0,23.0,24.0,4.0,1.0,0.0,1.0,2.0,2.0
,,,,,,,,,,,,0.0,0.0,24.0,25.0,5.0,2.0,1.0,0.0,1.0,1.0
,,,,,,,,,,,,,0.0,24.0,25.0,5.0,2.0,1.0,0.0,1.0,1.0
,,,,,,,,,,,,,,0.0,34.0,22.0,23.0,23.0,24.0,23.0,24.0
,,,,,,,,,,,,,,,0.0,24.0,25.0,24.0,25.0,26.0,26.0
,,,,,,,,,,,,,,,,0.0,5.0,4.0,5.0,6.0,6.0
,,,,,,,,,,,,,,,,,0.0,1.0,2.0,3.0,3.0
,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,2.0
,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,0.0,2.0
,,,,,,,,,,,,,,,,,,,,,0.0
