simulated_k7_l1500_2,simulated_k7_l1500_4,simulated_k7_l1500_6,simulated_k7_l1500_9,simulated_k7_l1500_10,simulated_k7_l1500_11,simulated_k7_l1500_12,MST_1,MST_2,MST_3,MST_4,MST_5,MST_6,MST_7,MST_8,SEQ_0,SEQ_1,SEQ_2,SEQ_3,SEQ_4,SEQ_5,SEQ_6
0.0,16.0,14.0,15.0,13.0,16.0,15.0,241.0,20.0,669.0,13.0,12.0,11.0,11.0,11.0,20.0,13.0,13.0,12.0,11.0,10.0,10.0
,0.0,8.0,9.0,7.0,10.0,9.0,239.0,18.0,665.0,7.0,6.0,5.0,5.0,15.0,20.0,9.0,7.0,6.0,5.0,6.0,6.0
,,0.0,7.0,5.0,8.0,7.0,240.0,12.0,666.0,5.0,4.0,3.0,3.0,17.0,22.0,7.0,5.0,4.0,3.0,4.0,4.0
,,,0.0,4.0,7.0,6.0,240.0,13.0,663.0,4.0,3.0,4.0,4.0,16.0,21.0,6.0,4.0,3.0,4.0,5.0,5.0
,,,,0.0,5.0,4.0,240.0,15.0,662.0,0.0,1.0,2.0,2.0,17.0,25.0,4.0,0.0,1.0,2.0,3.0,3.0
,,,,,0.0,3.0,240.0,10.0,664.0,5.0,4.0,5.0,5.0,15.0,20.0,3.0,5.0,4.0,5.0,6.0,6.0
,,,,,,0.0,240.0,11.0,663.0,4.0,3.0,4.0,4.0,16.0,21.0,2.0,4.0,3.0,4.0,5.0,5.0
,,,,,,,0.0,249.0,889.0,240.0,239.0,238.0,238.0,10.0,247.0,240.0,240.0,239.0,238.0,238.0,238.0
,,,,,,,,0.0,674.0,15.0,14.0,15.0,15.0,10.0,10.0,12.0,15.0,14.0,15.0,16.0,16.0
,,,,,,,,,0.0,662.0,662.0,663.0,663.0,13.0,676.0,662.0,662.0,662.0,663.0,664.0,664.0
,,,,,,,,,,0.0,1.0,2.0,2.0,16.0,25.0,3.0,0.0,1.0,2.0,3.0,3.0
,,,,,,,,,,,0.0,1.0,1.0,17.0,24.0,3.0,1.0,0.0,1.0,2.0,2.0
,,,,,,,,,,,,0.0,0.0,18.0,25.0,4.0,2.0,1.0,0.0,1.0,1.0
,,,,,,,,,,,,,0.0,18.0,25.0,4.0,2.0,1.0,0.0,1.0,1.0
,,,,,,,,,,,,,,0.0,11.0,15.0,17.0,17.0,18.0,17.0,19.0
,,,,,,,,,,,,,,,0.0,23.0,25.0,24.0,25.0,26.0,26.0
,,,,,,,,,,,,,,,,0.0,4.0,3.0,4.0,5.0,5.0
,,,,,,,,,,,,,,,,,0.0,1.0,2.0,3.0,3.0
,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,2.0
,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,0.0,2.0
,,,,,,,,,,,,,,,,,,,,,0.0
