pan,genome id,genome size,path_id,length
MST,1,1495,0,907
MST,1,1495,1,132
MST,1,1495,2,49
MST,1,1495,3,61
MST,1,1495,4,23
MST,1,1495,5,251
MST,1,1495,6,30
MST,1,1495,7,42
MST,2,1496,0,20
MST,2,1496,1,33
MST,2,1496,2,20
MST,2,1496,3,18
MST,2,1496,4,82
MST,2,1496,5,129
MST,2,1496,6,10
MST,2,1496,7,71
MST,2,1496,8,80
MST,2,1496,9,77
MST,2,1496,10,103
MST,2,1496,11,13
MST,2,1496,12,55
MST,2,1496,13,5
MST,2,1496,14,114
MST,2,1496,15,441
MST,2,1496,16,225
MST,3,1497,0,662
MST,3,1497,1,3
MST,3,1497,2,132
MST,3,1497,3,601
MST,3,1497,4,99
MST,4,1499,0,665
MST,4,1499,1,132
MST,4,1499,2,100
MST,4,1499,3,602
MST,5,1500,0,132
MST,5,1500,1,100
MST,5,1500,2,666
MST,5,1500,3,602
MST,6,1500,0,132
MST,6,1500,1,100
MST,6,1500,2,1268
MST,7,1500,0,132
MST,7,1500,1,100
MST,7,1500,2,1268
MST,8,20,0,2
MST,8,20,1,2
MST,8,20,2,2
MST,8,20,3,2
MST,8,20,4,2
MST,8,20,5,2
MST,8,20,6,4
MST,8,20,7,2
MST,8,20,8,2
