simulated_k7_l1500_9,SEQ_2,SEQ_1,SEQ_4,simulated_k7_l1500_11,MST_8,MST_1,simulated_k7_l1500_12,MST_5,simulated_k7_l1500_10,SEQ_6,simulated_k7_l1500_4,MST_4,SEQ_0,SEQ_3,MST_2,simulated_k7_l1500_6,MST_7,simulated_k7_l1500_2,MST_3,MST_6,SEQ_5
0.0,4.0,6.0,4.0,7.0,16.0,240.0,6.0,3.0,4.0,5.0,,4.0,21.0,3.0,13.0,,4.0,,663.0,4.0,5.0
,0.0,,2.0,,,,,,,3.0,,,,1.0,,,,,,,3.0
,4.0,0.0,4.0,,,,,,,5.0,,,,3.0,,,,,,,5.0
,,,0.0,,,,,,,1.0,,,,,,,,,,,1.0
,5.0,3.0,5.0,0.0,15.0,240.0,3.0,4.0,,6.0,,5.0,20.0,4.0,10.0,,5.0,,664.0,5.0,6.0
,17.0,15.0,18.0,,0.0,,,,,19.0,,,11.0,17.0,,,,,,,17.0
,240.0,240.0,238.0,,10.0,0.0,,239.0,,238.0,,240.0,247.0,239.0,249.0,,238.0,,889.0,238.0,238.0
,4.0,2.0,4.0,,16.0,240.0,0.0,3.0,,5.0,,4.0,21.0,3.0,11.0,,4.0,,663.0,4.0,5.0
,1.0,3.0,1.0,,17.0,,,0.0,,2.0,,,24.0,0.0,,,1.0,,,1.0,2.0
,0.0,4.0,2.0,5.0,17.0,240.0,4.0,1.0,0.0,3.0,,0.0,25.0,1.0,15.0,,2.0,,662.0,2.0,3.0
,,,,,,,,,,0.0,,,,,,,,,,,
9.0,7.0,9.0,5.0,10.0,15.0,239.0,9.0,6.0,7.0,6.0,0.0,7.0,20.0,6.0,18.0,8.0,5.0,,665.0,5.0,6.0
,0.0,3.0,2.0,,16.0,,,1.0,,3.0,,0.0,25.0,1.0,,,2.0,,,2.0,3.0
,25.0,23.0,25.0,,,,,,,26.0,,,0.0,24.0,,,,,,,26.0
,,,1.0,,,,,,,2.0,,,,0.0,,,,,,,2.0
,15.0,12.0,15.0,,10.0,,,14.0,,16.0,,15.0,10.0,14.0,0.0,,15.0,,674.0,15.0,16.0
7.0,5.0,7.0,3.0,8.0,17.0,240.0,7.0,4.0,5.0,4.0,,5.0,22.0,4.0,12.0,0.0,3.0,,666.0,3.0,4.0
,2.0,4.0,0.0,,18.0,,,,,1.0,,,25.0,1.0,,,0.0,,,,1.0
15.0,13.0,13.0,11.0,16.0,11.0,241.0,15.0,12.0,13.0,10.0,16.0,13.0,20.0,12.0,20.0,14.0,11.0,0.0,669.0,11.0,10.0
,662.0,662.0,663.0,,13.0,,,662.0,,664.0,,662.0,676.0,662.0,,,663.0,,0.0,663.0,664.0
,2.0,4.0,0.0,,18.0,,,,,1.0,,,25.0,1.0,,,0.0,,,0.0,1.0
,,,,,,,,,,2.0,,,,,,,,,,,0.0
