pan,genome id,genome size,path_id,length
SEQ,0,1500,0,20
SEQ,0,1500,1,18
SEQ,0,1500,2,82
SEQ,0,1500,3,129
SEQ,0,1500,4,49
SEQ,0,1500,5,71
SEQ,0,1500,6,80
SEQ,0,1500,7,251
SEQ,0,1500,8,77
SEQ,0,1500,9,13
SEQ,0,1500,10,55
SEQ,0,1500,11,114
SEQ,0,1500,12,30
SEQ,0,1500,13,74
SEQ,0,1500,14,62
SEQ,0,1500,15,34
SEQ,0,1500,16,24
SEQ,0,1500,17,133
SEQ,0,1500,18,6
SEQ,0,1500,19,11
SEQ,0,1500,20,104
SEQ,0,1500,21,20
SEQ,0,1500,22,43
SEQ,1,1499,0,132
SEQ,1,1499,1,601
SEQ,1,1499,2,441
SEQ,1,1499,3,225
SEQ,1,1499,4,100
SEQ,2,1500,0,132
SEQ,2,1500,1,100
SEQ,2,1500,2,602
SEQ,2,1500,3,666
SEQ,3,1500,0,132
SEQ,3,1500,1,100
SEQ,3,1500,2,666
SEQ,3,1500,3,602
SEQ,4,1500,0,132
SEQ,4,1500,1,100
SEQ,4,1500,2,1268
SEQ,5,1500,0,232
SEQ,5,1500,1,1268
SEQ,6,1500,0,232
SEQ,6,1500,1,1268
