pan,genome id,genome size,path_id,length
simulated,2,1500,0,532
simulated,2,1500,1,129
simulated,2,1500,2,24
simulated,2,1500,3,428
simulated,2,1500,4,30
simulated,2,1500,5,224
simulated,2,1500,6,133
simulated,4,1500,0,268
simulated,4,1500,1,132
simulated,4,1500,2,152
simulated,4,1500,3,100
simulated,4,1500,4,324
simulated,4,1500,5,524
simulated,6,1500,0,104
simulated,6,1500,1,132
simulated,6,1500,2,20
simulated,6,1500,3,349
simulated,6,1500,4,80
simulated,6,1500,5,815
simulated,9,1500,0,218
simulated,9,1500,1,132
simulated,9,1500,2,100
simulated,9,1500,3,123
simulated,9,1500,4,543
simulated,9,1500,5,364
simulated,9,1500,6,20
simulated,10,1500,0,666
simulated,10,1500,1,132
simulated,10,1500,2,100
simulated,10,1500,3,602
simulated,11,1500,0,535
simulated,11,1500,1,77
simulated,11,1500,2,100
simulated,11,1500,3,225
simulated,11,1500,4,441
simulated,11,1500,5,67
simulated,11,1500,6,55
simulated,12,1500,0,306
simulated,12,1500,1,132
simulated,12,1500,2,100
simulated,12,1500,3,225
simulated,12,1500,4,441
simulated,12,1500,5,296
