simulated_k12_l1500_6,simulated_k12_l1500_8,simulated_k12_l1500_10,simulated_k12_l1500_12,simulated_k12_l1500_14,simulated_k12_l1500_16,simulated_k12_l1500_17,simulated_k12_l1500_18,simulated_k12_l1500_19,simulated_k12_l1500_20,simulated_k12_l1500_21,simulated_k12_l1500_22,MST_1,MST_2,MST_3,MST_4,MST_5,MST_6,MST_7,MST_8,MST_9,MST_10,MST_11,MST_12,MST_13,MST_14,MST_15,SEQ_0,SEQ_1,SEQ_2,SEQ_3,SEQ_4,SEQ_5,SEQ_6,SEQ_7,SEQ_8,SEQ_9,SEQ_10,SEQ_11,SEQ_12
0.0,36.0,29.0,24.0,39.0,45.0,39.0,46.0,19.0,25.0,45.0,44.0,824.0,606.0,915.0,62.0,53.0,56.0,34.0,24.0,23.0,21.0,20.0,20.0,301.0,301.0,121.0,128.0,63.0,30.0,27.0,22.0,21.0,20.0,19.0,19.0,18.0,19.0,19.0,121.0
,0.0,41.0,38.0,23.0,29.0,39.0,42.0,35.0,39.0,29.0,28.0,821.0,605.0,910.0,65.0,52.0,54.0,31.0,24.0,19.0,17.0,20.0,20.0,301.0,301.0,118.0,125.0,59.0,30.0,26.0,21.0,19.0,18.0,19.0,19.0,18.0,19.0,19.0,118.0
,,0.0,25.0,44.0,50.0,44.0,51.0,20.0,28.0,50.0,49.0,819.0,603.0,908.0,62.0,56.0,62.0,37.0,29.0,26.0,26.0,25.0,25.0,306.0,306.0,119.0,125.0,64.0,32.0,29.0,27.0,24.0,25.0,24.0,24.0,23.0,24.0,24.0,119.0
,,,0.0,41.0,47.0,41.0,48.0,15.0,23.0,47.0,46.0,820.0,603.0,909.0,65.0,52.0,58.0,33.0,26.0,23.0,23.0,22.0,22.0,303.0,303.0,122.0,127.0,60.0,28.0,25.0,24.0,21.0,22.0,21.0,21.0,20.0,21.0,21.0,122.0
,,,,0.0,28.0,42.0,47.0,38.0,42.0,24.0,25.0,821.0,602.0,908.0,67.0,49.0,56.0,31.0,23.0,22.0,20.0,23.0,23.0,304.0,304.0,122.0,124.0,55.0,27.0,26.0,25.0,22.0,21.0,22.0,22.0,21.0,22.0,22.0,122.0
,,,,,0.0,48.0,53.0,44.0,48.0,30.0,29.0,817.0,598.0,906.0,63.0,57.0,55.0,37.0,29.0,28.0,26.0,29.0,29.0,310.0,310.0,117.0,119.0,65.0,31.0,32.0,31.0,28.0,27.0,28.0,28.0,27.0,28.0,28.0,117.0
,,,,,,0.0,11.0,36.0,42.0,48.0,47.0,826.0,604.0,908.0,60.0,44.0,72.0,45.0,43.0,26.0,24.0,21.0,21.0,303.0,303.0,121.0,124.0,47.0,47.0,44.0,41.0,24.0,23.0,22.0,22.0,21.0,20.0,20.0,121.0
,,,,,,,0.0,43.0,47.0,53.0,52.0,825.0,604.0,908.0,61.0,42.0,68.0,48.0,48.0,31.0,29.0,28.0,28.0,310.0,310.0,123.0,121.0,49.0,52.0,49.0,46.0,29.0,28.0,29.0,29.0,28.0,27.0,27.0,123.0
,,,,,,,,0.0,10.0,44.0,43.0,824.0,604.0,909.0,64.0,43.0,51.0,25.0,19.0,20.0,20.0,19.0,19.0,300.0,300.0,126.0,128.0,50.0,19.0,17.0,17.0,18.0,19.0,18.0,18.0,17.0,18.0,18.0,126.0
,,,,,,,,,0.0,48.0,47.0,821.0,600.0,908.0,65.0,45.0,51.0,31.0,25.0,26.0,24.0,25.0,25.0,306.0,306.0,120.0,124.0,55.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,23.0,24.0,24.0,120.0
,,,,,,,,,,0.0,13.0,815.0,597.0,907.0,62.0,43.0,58.0,35.0,27.0,28.0,26.0,29.0,29.0,310.0,310.0,118.0,118.0,47.0,29.0,32.0,31.0,28.0,27.0,28.0,28.0,27.0,28.0,28.0,118.0
,,,,,,,,,,,0.0,818.0,601.0,907.0,61.0,43.0,59.0,34.0,26.0,27.0,25.0,28.0,28.0,309.0,309.0,118.0,121.0,47.0,28.0,31.0,30.0,27.0,26.0,27.0,27.0,26.0,27.0,27.0,118.0
,,,,,,,,,,,,0.0,260.0,715.0,413.0,419.0,812.0,817.0,821.0,829.0,830.0,832.0,832.0,893.0,893.0,190.0,751.0,802.0,819.0,819.0,821.0,830.0,830.0,831.0,831.0,831.0,832.0,832.0,190.0
,,,,,,,,,,,,,0.0,461.0,180.0,194.0,595.0,598.0,604.0,612.0,612.0,615.0,615.0,896.0,896.0,225.0,518.0,576.0,601.0,600.0,605.0,613.0,613.0,614.0,614.0,613.0,614.0,614.0,225.0
,,,,,,,,,,,,,,0.0,507.0,504.0,901.0,905.0,911.0,918.0,916.0,919.0,919.0,831.0,831.0,156.0,838.0,887.0,906.0,907.0,912.0,918.0,917.0,918.0,918.0,918.0,919.0,919.0,156.0
,,,,,,,,,,,,,,,0.0,52.0,72.0,64.0,65.0,60.0,59.0,61.0,61.0,344.0,344.0,115.0,71.0,53.0,65.0,64.0,64.0,61.0,59.0,60.0,60.0,61.0,62.0,62.0,115.0
,,,,,,,,,,,,,,,,0.0,54.0,41.0,43.0,50.0,52.0,54.0,54.0,336.0,336.0,114.0,86.0,9.0,37.0,37.0,42.0,51.0,52.0,53.0,53.0,53.0,54.0,54.0,114.0
,,,,,,,,,,,,,,,,,0.0,33.0,42.0,56.0,56.0,59.0,59.0,342.0,342.0,129.0,91.0,59.0,33.0,41.0,44.0,57.0,57.0,58.0,58.0,59.0,60.0,60.0,129.0
,,,,,,,,,,,,,,,,,,0.0,12.0,29.0,30.0,33.0,33.0,315.0,315.0,122.0,114.0,34.0,13.0,8.0,16.0,29.0,31.0,32.0,32.0,32.0,33.0,33.0,122.0
,,,,,,,,,,,,,,,,,,,0.0,21.0,21.0,24.0,24.0,305.0,305.0,124.0,124.0,46.0,10.0,8.0,4.0,21.0,22.0,23.0,23.0,22.0,23.0,23.0,124.0
,,,,,,,,,,,,,,,,,,,,0.0,3.0,6.0,6.0,288.0,288.0,125.0,137.0,57.0,27.0,23.0,19.0,2.0,4.0,5.0,5.0,5.0,6.0,6.0,125.0
,,,,,,,,,,,,,,,,,,,,,0.0,3.0,3.0,286.0,286.0,126.0,138.0,58.0,25.0,23.0,19.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,126.0
,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,284.0,284.0,126.0,141.0,61.0,28.0,26.0,22.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,126.0
,,,,,,,,,,,,,,,,,,,,,,,0.0,284.0,284.0,126.0,141.0,61.0,28.0,26.0,22.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,126.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,255.0,422.0,343.0,311.0,308.0,303.0,286.0,285.0,284.0,284.0,283.0,283.0,283.0,255.0
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,255.0,422.0,343.0,311.0,308.0,303.0,286.0,285.0,284.0,284.0,283.0,283.0,283.0,255.0
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,138.0,127.0,122.0,123.0,124.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,87.0,121.0,122.0,128.0,139.0,139.0,140.0,140.0,139.0,140.0,140.0,138.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,40.0,42.0,48.0,58.0,59.0,60.0,60.0,60.0,61.0,61.0,127.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,14.0,27.0,26.0,27.0,27.0,28.0,29.0,29.0,122.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,23.0,24.0,25.0,25.0,25.0,26.0,26.0,123.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.0,20.0,21.0,21.0,20.0,21.0,21.0,124.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,3.0,3.0,3.0,4.0,4.0,126.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,2.0,3.0,3.0,126.0
