simulated_k12_l1500_6,simulated_k12_l1500_8,simulated_k12_l1500_10,simulated_k12_l1500_12,simulated_k12_l1500_14,simulated_k12_l1500_16,simulated_k12_l1500_17,simulated_k12_l1500_18,simulated_k12_l1500_19,simulated_k12_l1500_20,simulated_k12_l1500_21,simulated_k12_l1500_22,MST_1,MST_2,MST_3,MST_4,MST_5,MST_6,MST_7,MST_8,MST_9,MST_10,MST_11,MST_12,MST_13,MST_14,MST_15,SEQ_0,SEQ_1,SEQ_2,SEQ_3,SEQ_4,SEQ_5,SEQ_6,SEQ_7,SEQ_8,SEQ_9,SEQ_10,SEQ_11,SEQ_12
0.0,36.0,29.0,24.0,39.0,45.0,39.0,46.0,19.0,25.0,45.0,44.0,770.0,536.0,878.0,38.0,38.0,41.0,29.0,23.0,21.0,20.0,19.0,19.0,177.0,177.0,91.0,80.0,49.0,28.0,24.0,20.0,20.0,19.0,18.0,18.0,18.0,19.0,19.0,91.0
,0.0,41.0,38.0,23.0,29.0,39.0,42.0,35.0,39.0,29.0,28.0,770.0,537.0,876.0,41.0,35.0,39.0,26.0,23.0,17.0,16.0,19.0,19.0,177.0,177.0,89.0,77.0,45.0,28.0,23.0,19.0,18.0,17.0,18.0,18.0,18.0,19.0,19.0,89.0
,,0.0,25.0,44.0,50.0,44.0,51.0,20.0,28.0,50.0,49.0,767.0,531.0,872.0,38.0,41.0,47.0,32.0,28.0,24.0,25.0,24.0,24.0,182.0,182.0,88.0,78.0,50.0,30.0,26.0,25.0,23.0,24.0,23.0,23.0,23.0,24.0,24.0,88.0
,,,0.0,41.0,47.0,41.0,48.0,15.0,23.0,47.0,46.0,768.0,533.0,874.0,41.0,37.0,43.0,28.0,25.0,21.0,22.0,21.0,21.0,179.0,179.0,89.0,79.0,46.0,26.0,22.0,22.0,20.0,21.0,20.0,20.0,20.0,21.0,21.0,89.0
,,,,0.0,28.0,42.0,47.0,38.0,42.0,24.0,25.0,767.0,532.0,872.0,43.0,34.0,41.0,26.0,22.0,20.0,19.0,22.0,22.0,180.0,180.0,94.0,75.0,41.0,25.0,23.0,23.0,21.0,20.0,21.0,21.0,21.0,22.0,22.0,94.0
,,,,,0.0,48.0,53.0,44.0,48.0,30.0,29.0,765.0,529.0,871.0,39.0,42.0,40.0,32.0,28.0,26.0,25.0,28.0,28.0,186.0,186.0,84.0,71.0,51.0,29.0,29.0,29.0,27.0,26.0,27.0,27.0,27.0,28.0,28.0,84.0
,,,,,,0.0,11.0,36.0,42.0,48.0,47.0,772.0,534.0,871.0,35.0,28.0,57.0,40.0,42.0,24.0,23.0,20.0,20.0,180.0,180.0,91.0,74.0,32.0,45.0,41.0,39.0,23.0,22.0,21.0,21.0,21.0,20.0,20.0,91.0
,,,,,,,0.0,43.0,47.0,53.0,52.0,772.0,534.0,871.0,36.0,26.0,53.0,43.0,47.0,29.0,28.0,27.0,27.0,187.0,187.0,92.0,71.0,34.0,50.0,46.0,44.0,28.0,27.0,28.0,28.0,28.0,27.0,27.0,92.0
,,,,,,,,0.0,10.0,44.0,43.0,770.0,534.0,873.0,41.0,29.0,36.0,20.0,18.0,18.0,19.0,18.0,18.0,176.0,176.0,92.0,80.0,36.0,17.0,14.0,15.0,17.0,18.0,17.0,17.0,17.0,18.0,18.0,92.0
,,,,,,,,,0.0,48.0,47.0,767.0,530.0,871.0,41.0,30.0,36.0,26.0,24.0,24.0,23.0,24.0,24.0,182.0,182.0,87.0,76.0,41.0,21.0,20.0,21.0,23.0,22.0,23.0,23.0,23.0,24.0,24.0,87.0
,,,,,,,,,,0.0,13.0,763.0,527.0,871.0,38.0,29.0,43.0,30.0,26.0,26.0,25.0,28.0,28.0,186.0,186.0,86.0,70.0,34.0,27.0,29.0,29.0,27.0,26.0,27.0,27.0,27.0,28.0,28.0,86.0
,,,,,,,,,,,0.0,766.0,531.0,872.0,37.0,29.0,44.0,29.0,25.0,25.0,24.0,27.0,27.0,185.0,185.0,88.0,73.0,34.0,26.0,28.0,28.0,26.0,25.0,26.0,26.0,26.0,27.0,27.0,88.0
,,,,,,,,,,,,0.0,249.0,675.0,365.0,369.0,752.0,764.0,766.0,775.0,777.0,779.0,779.0,731.0,731.0,41.0,708.0,750.0,765.0,766.0,767.0,777.0,777.0,778.0,778.0,778.0,779.0,779.0,41.0
,,,,,,,,,,,,,0.0,429.0,125.0,129.0,516.0,529.0,533.0,542.0,542.0,545.0,545.0,703.0,703.0,32.0,469.0,510.0,529.0,531.0,533.0,544.0,543.0,544.0,544.0,544.0,545.0,545.0,32.0
,,,,,,,,,,,,,,0.0,467.0,467.0,857.0,868.0,874.0,879.0,880.0,883.0,883.0,701.0,701.0,51.0,809.0,848.0,871.0,871.0,874.0,880.0,881.0,882.0,882.0,882.0,883.0,883.0,51.0
,,,,,,,,,,,,,,,0.0,30.0,40.0,38.0,40.0,36.0,36.0,39.0,39.0,197.0,197.0,41.0,29.0,30.0,41.0,39.0,40.0,37.0,37.0,38.0,38.0,38.0,39.0,39.0,41.0
