MST_14,simulated_k12_l1500_8,SEQ_2,SEQ_1,simulated_k12_l1500_17,SEQ_4,SEQ_7,simulated_k12_l1500_14,MST_11,MST_8,MST_1,simulated_k12_l1500_21,MST_9,simulated_k12_l1500_12,SEQ_9,simulated_k12_l1500_10,MST_5,SEQ_8,MST_12,simulated_k12_l1500_18,simulated_k12_l1500_20,MST_13,SEQ_6,MST_15,MST_4,SEQ_0,MST_10,SEQ_3,simulated_k12_l1500_22,MST_2,SEQ_12,simulated_k12_l1500_6,MST_7,MST_3,SEQ_11,simulated_k12_l1500_19,MST_6,SEQ_10,simulated_k12_l1500_16,SEQ_5
0.0,,185.0,205.0,,177.0,159.0,,,,,,,,159.0,,,159.0,,,,,160.0,86.0,,250.0,,181.0,,,86.0,,,,160.0,,,160.0,,161.0
177.0,0.0,28.0,45.0,39.0,19.0,18.0,23.0,19.0,23.0,770.0,29.0,17.0,38.0,18.0,41.0,35.0,18.0,19.0,42.0,39.0,177.0,17.0,89.0,41.0,77.0,16.0,23.0,28.0,537.0,89.0,,26.0,876.0,19.0,35.0,39.0,19.0,29.0,18.0
,,0.0,,,10.0,26.0,,,,,,,,26.0,,,26.0,,,,,25.0,,,,,4.0,,,89.0,,,,27.0,,,27.0,,24.0
,,25.0,0.0,,32.0,45.0,,,,,,,,46.0,,,45.0,,,,,44.0,,,,,28.0,,,68.0,,,,47.0,,,47.0,,45.0
180.0,,45.0,32.0,0.0,39.0,21.0,,20.0,42.0,772.0,48.0,24.0,,21.0,,28.0,21.0,20.0,11.0,42.0,180.0,22.0,91.0,35.0,74.0,23.0,41.0,47.0,534.0,91.0,,40.0,871.0,20.0,36.0,57.0,20.0,,23.0
,,,,,0.0,18.0,,,,,,,,18.0,,,18.0,,,,,17.0,,,,,,,,94.0,,,,19.0,,,19.0,,16.0
,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,99.0,,,,1.0,,,1.0,,
180.0,,25.0,41.0,42.0,23.0,21.0,0.0,22.0,22.0,767.0,24.0,20.0,,21.0,,34.0,21.0,22.0,47.0,42.0,180.0,20.0,94.0,43.0,75.0,19.0,23.0,25.0,532.0,94.0,,26.0,872.0,22.0,38.0,41.0,22.0,28.0,21.0
160.0,,27.0,46.0,,19.0,1.0,,0.0,,,,,,1.0,,,1.0,0.0,,,160.0,2.0,100.0,,91.0,,22.0,,,100.0,,,,0.0,,,0.0,,2.0
180.0,,7.0,30.0,,3.0,21.0,,22.0,0.0,,,18.0,,21.0,,,21.0,22.0,,,180.0,20.0,93.0,,76.0,19.0,6.0,,,93.0,,,,22.0,,,22.0,,19.0
