simulated_k8_l200_7,simulated_k8_l200_8,simulated_k8_l200_9,simulated_k8_l200_10,simulated_k8_l200_11,simulated_k8_l200_12,simulated_k8_l200_13,simulated_k8_l200_14,MST_1,MST_2,MST_3,MST_4,MST_5,MST_6,MST_7,MST_8,MST_9,MST_10,MST_11,MST_12,MST_13,MST_14,MST_15,MST_16,SEQ_0,SEQ_1,SEQ_2,SEQ_3,SEQ_4,SEQ_5,SEQ_6,SEQ_7
0.0,3.0,55.0,54.0,4.0,4.0,55.0,55.0,35.0,30.0,30.0,71.0,80.0,80.0,79.0,52.0,51.0,36.0,30.0,33.0,24.0,40.0,29.0,31.0,46.0,45.0,28.0,27.0,20.0,20.0,23.0,23.0
,0.0,56.0,55.0,5.0,5.0,56.0,56.0,36.0,31.0,31.0,72.0,80.0,80.0,79.0,52.0,52.0,39.0,30.0,34.0,23.0,41.0,30.0,32.0,45.0,46.0,29.0,28.0,21.0,21.0,24.0,24.0
,,0.0,1.0,57.0,57.0,22.0,22.0,36.0,31.0,29.0,74.0,80.0,80.0,78.0,50.0,52.0,41.0,41.0,50.0,39.0,46.0,30.0,34.0,38.0,35.0,33.0,33.0,36.0,36.0,34.0,34.0
,,,0.0,56.0,56.0,23.0,23.0,35.0,30.0,28.0,73.0,79.0,79.0,77.0,49.0,52.0,41.0,41.0,49.0,38.0,45.0,29.0,33.0,39.0,36.0,33.0,32.0,35.0,35.0,33.0,33.0
,,,,0.0,0.0,55.0,55.0,37.0,32.0,32.0,72.0,81.0,81.0,80.0,53.0,52.0,37.0,28.0,33.0,24.0,40.0,31.0,33.0,44.0,41.0,28.0,27.0,22.0,22.0,25.0,25.0
,,,,,0.0,55.0,55.0,37.0,32.0,32.0,72.0,81.0,81.0,80.0,53.0,52.0,37.0,28.0,33.0,24.0,40.0,31.0,33.0,44.0,41.0,28.0,27.0,22.0,22.0,25.0,25.0
,,,,,,0.0,0.0,37.0,32.0,29.0,72.0,79.0,79.0,77.0,50.0,48.0,40.0,43.0,48.0,41.0,48.0,37.0,40.0,33.0,30.0,34.0,34.0,37.0,37.0,36.0,36.0
,,,,,,,0.0,37.0,32.0,29.0,72.0,79.0,79.0,77.0,50.0,48.0,40.0,43.0,48.0,41.0,48.0,37.0,40.0,33.0,30.0,34.0,34.0,37.0,37.0,36.0,36.0
,,,,,,,,0.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,17.0,41.0,36.0,34.0,43.0,28.0,25.0,27.0,54.0,52.0,47.0,47.0,16.0,16.0,13.0,13.0
,,,,,,,,,0.0,2.0,2.0,3.0,3.0,3.0,4.0,18.0,38.0,33.0,29.0,38.0,22.0,19.0,21.0,50.0,48.0,41.0,41.0,10.0,10.0,7.0,7.0
,,,,,,,,,,0.0,2.0,3.0,3.0,4.0,4.0,17.0,37.0,32.0,28.0,37.0,21.0,19.0,21.0,48.0,46.0,39.0,39.0,10.0,10.0,7.0,7.0
,,,,,,,,,,,0.0,3.0,3.0,4.0,5.0,19.0,41.0,37.0,32.0,72.0,60.0,59.0,60.0,84.0,82.0,77.0,77.0,57.0,57.0,54.0,54.0
,,,,,,,,,,,,0.0,2.0,4.0,5.0,21.0,42.0,37.0,32.0,78.0,65.0,64.0,66.0,91.0,89.0,83.0,83.0,65.0,65.0,62.0,62.0
,,,,,,,,,,,,,0.0,4.0,5.0,21.0,42.0,37.0,32.0,77.0,64.0,64.0,66.0,91.0,89.0,83.0,83.0,65.0,65.0,62.0,62.0
,,,,,,,,,,,,,,0.0,7.0,21.0,44.0,37.0,33.0,77.0,62.0,61.0,63.0,89.0,87.0,82.0,82.0,64.0,64.0,61.0,61.0
,,,,,,,,,,,,,,,0.0,22.0,47.0,43.0,42.0,55.0,41.0,38.0,39.0,63.0,61.0,58.0,58.0,34.0,34.0,31.0,31.0
,,,,,,,,,,,,,,,,0.0,37.0,46.0,53.0,57.0,63.0,51.0,54.0,54.0,52.0,57.0,58.0,43.0,43.0,46.0,46.0
,,,,,,,,,,,,,,,,,0.0,22.0,33.0,39.0,60.0,52.0,53.0,23.0,23.0,37.0,38.0,49.0,49.0,52.0,52.0
,,,,,,,,,,,,,,,,,,0.0,26.0,31.0,54.0,42.0,47.0,37.0,36.0,25.0,26.0,42.0,42.0,42.0,42.0
,,,,,,,,,,,,,,,,,,,0.0,32.0,59.0,49.0,53.0,49.0,47.0,31.0,30.0,40.0,40.0,43.0,43.0
,,,,,,,,,,,,,,,,,,,,0.0,36.0,30.0,33.0,33.0,33.0,18.0,17.0,36.0,36.0,40.0,40.0
,,,,,,,,,,,,,,,,,,,,,0.0,17.0,24.0,63.0,60.0,46.0,45.0,30.0,30.0,34.0,34.0
,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,55.0,52.0,35.0,34.0,20.0,20.0,18.0,18.0
,,,,,,,,,,,,,,,,,,,,,,,0.0,60.0,57.0,41.0,40.0,22.0,22.0,18.0,18.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,25.0,26.0,65.0,65.0,68.0,68.0
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.0,23.0,62.0,62.0,65.0,65.0
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,45.0,45.0,48.0,48.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,44.0,44.0,47.0,47.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
