u,v,weight
3,4,8
67,68,8
8,61,4
68,69,8
63,64,8
64,65,7
4,5,8
5,6,4
69,70,8
1,2,8
65,66,8
1,8,2
6,7,6
61,62,6
70,71,7
2,3,8
66,67,8
62,63,4
71,72,8
0,1,6
58,59,8
44,45,4
49,50,6
45,46,8
54,55,8
55,56,8
50,51,4
59,60,4
51,52,8
60,61,4
46,47,4
47,48,8
56,57,7
42,43,8
43,44,8
52,53,6
48,49,8
57,58,8
53,54,8
90,91,6
108,109,8
99,100,8
118,119,4
95,96,8
86,87,8
40,41,8
113,114,8
104,105,6
114,115,4
60,83,4
109,110,8
36,37,8
100,101,4
91,92,8
119,120,8
110,111,8
105,106,8
96,97,8
36,122,4
101,102,8
87,88,8
97,98,4
83,84,8
115,116,8
106,107,8
37,38,4
92,93,8
111,112,8
102,103,8
93,94,8
88,89,8
120,121,8
116,117,4
107,108,8
98,99,8
84,85,8
38,39,8
39,40,4
121,122,4
112,113,8
103,104,4
89,90,8
85,86,8
117,118,8
94,95,8
127,128,4
123,124,8
132,133,8
128,129,4
133,134,4
124,125,8
129,130,7
134,135,8
125,126,8
135,136,8
126,127,8
130,131,4
131,132,4
122,123,4
137,138,4
138,139,8
139,140,8
132,137,3
170,171,8
138,141,1
173,174,8
31,148,2
178,179,8
22,160,2
174,175,4
131,170,3
175,176,8
10,160,2
171,172,8
176,177,6
172,173,4
177,178,8
154,155,8
145,146,8
72,73,8
163,164,8
164,165,8
182,183,8
191,192,8
159,160,4
150,151,8
77,78,8
31,32,8
169,170,4
17,18,8
196,197,8
155,156,8
27,28,8
13,14,8
151,152,4
197,198,8
183,184,8
192,193,8
128,187,4
160,161,4
32,33,8
146,147,8
18,19,8
156,157,8
147,148,4
165,166,8
142,143,8
78,79,8
14,15,8
23,24,8
143,144,8
152,153,4
74,75,8
10,11,8
198,199,8
19,20,8
28,29,8
157,158,8
148,149,6
166,167,8
79,80,8
15,16,8
24,25,8
184,185,8
194,195,8
33,34,8
162,163,8
180,181,8
181,182,8
144,145,8
167,168,8
153,154,8
0,9,2
11,12,8
142,169,4
149,150,4
195,196,8
104,191,2
158,159,4
82,188,2
16,17,8
168,169,4
188,189,6
9,10,6
75,76,6
12,13,6
22,23,6
81,189,1
30,31,6
25,26,6
21,22,6
129,186,1
185,186,2
105,190,1
35,36,2
187,188,6
30,149,2
190,191,6
76,77,6
9,161,2
80,81,5
189,190,4
9,82,4
193,194,4
140,141,4
136,137,4
26,27,4
21,161,2
35,123,4
29,30,4
186,187,4
34,35,4
82,83,2
81,82,2
20,21,2
7,8,2
