MST_14,SEQ_2,SEQ_1,SEQ_4,SEQ_7,MST_11,simulated_k8_l200_14,MST_1,MST_8,MST_9,MST_5,simulated_k8_l200_11,simulated_k8_l200_7,MST_12,simulated_k8_l200_13,SEQ_6,simulated_k8_l200_10,MST_13,simulated_k8_l200_9,MST_15,MST_4,SEQ_0,MST_10,SEQ_3,simulated_k8_l200_12,MST_16,MST_2,MST_7,simulated_k8_l200_8,MST_3,MST_6,SEQ_5
0.0,40.0,44.0,26.0,30.0,,,,,,,,,,,30.0,,,,15.0,,46.0,,39.0,,21.0,,,,,,26.0
,0.0,,42.0,45.0,,,,,,,,,,,45.0,,,,,,,,1.0,,,,,,,,42.0
,11.0,0.0,50.0,53.0,,,,,,,,,,,53.0,,,,,,,,11.0,,,,,,,,50.0
,,,0.0,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,0.0
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,5.0,9.0,28.0,29.0,0.0,,,,,,,,17.0,,29.0,,12.0,,26.0,,10.0,,6.0,,28.0,,,,,,28.0
44.0,30.0,21.0,37.0,36.0,25.0,0.0,8.0,22.0,28.0,54.0,,,36.0,,36.0,,32.0,,34.0,46.0,23.0,22.0,30.0,,38.0,3.0,51.0,,0.0,53.0,37.0
7.0,8.0,7.0,7.0,6.0,5.0,,0.0,,0.0,0.0,,,7.0,,6.0,,8.0,,7.0,0.0,8.0,5.0,8.0,,9.0,0.0,,,0.0,0.0,7.0
20.0,22.0,23.0,22.0,23.0,12.0,,,0.0,4.0,,,,13.0,,23.0,,17.0,,22.0,,22.0,14.0,22.0,,22.0,,,,,,22.0
40.0,26.0,21.0,32.0,35.0,20.0,,,,0.0,,,,31.0,,35.0,,24.0,,33.0,,21.0,17.0,26.0,,37.0,,,,,,32.0
51.0,54.0,54.0,55.0,55.0,7.0,,,0.0,2.0,0.0,,,5.0,,55.0,,47.0,,53.0,,53.0,7.0,54.0,,54.0,,0.0,,,0.0,55.0
37.0,25.0,29.0,22.0,25.0,13.0,55.0,8.0,22.0,27.0,55.0,0.0,,22.0,55.0,25.0,,18.0,,28.0,48.0,31.0,17.0,24.0,0.0,31.0,2.0,53.0,,6.0,55.0,22.0
37.0,25.0,33.0,20.0,23.0,16.0,55.0,8.0,22.0,28.0,55.0,4.0,0.0,23.0,55.0,23.0,54.0,18.0,55.0,26.0,48.0,33.0,18.0,24.0,4.0,29.0,2.0,53.0,3.0,7.0,55.0,20.0
43.0,16.0,21.0,33.0,36.0,,,,,,,,,0.0,,36.0,,17.0,,34.0,,22.0,,15.0,,36.0,,,,,,33.0
44.0,30.0,21.0,37.0,36.0,25.0,0.0,8.0,22.0,28.0,54.0,,,36.0,0.0,36.0,,32.0,,34.0,46.0,23.0,22.0,30.0,,38.0,3.0,51.0,,0.0,53.0,37.0
,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
39.0,29.0,23.0,35.0,33.0,20.0,23.0,8.0,22.0,31.0,55.0,56.0,,33.0,23.0,33.0,0.0,28.0,,26.0,47.0,25.0,22.0,28.0,56.0,31.0,3.0,51.0,,3.0,54.0,35.0
32.0,13.0,19.0,29.0,33.0,,,,,,,,,,,33.0,,0.0,,24.0,,19.0,,12.0,,26.0,,,,,,29.0
40.0,29.0,23.0,36.0,34.0,20.0,22.0,8.0,22.0,30.0,55.0,57.0,,34.0,22.0,34.0,1.0,29.0,0.0,27.0,47.0,25.0,21.0,29.0,57.0,32.0,3.0,51.0,,3.0,54.0,36.0
,29.0,39.0,17.0,15.0,,,,,,,,,,,15.0,,,,0.0,,41.0,,28.0,,6.0,,,,,,17.0
46.0,47.0,47.0,47.0,47.0,7.0,,,0.0,1.0,0.0,,,6.0,,47.0,,45.0,,48.0,0.0,48.0,7.0,47.0,,50.0,,0.0,,,0.0,47.0
,13.0,2.0,52.0,55.0,,,,,,,,,,,55.0,,,,,,0.0,,13.0,,,,,,,,52.0
38.0,15.0,8.0,33.0,36.0,8.0,,,,,,,,22.0,,36.0,,15.0,,31.0,,7.0,0.0,15.0,,35.0,,,,,,33.0
,,,41.0,44.0,,,,,,,,,,,44.0,,,,,,,,0.0,,,,,,,,41.0
37.0,25.0,29.0,22.0,25.0,13.0,55.0,8.0,22.0,27.0,55.0,,,22.0,55.0,25.0,,18.0,,28.0,48.0,31.0,17.0,24.0,0.0,31.0,2.0,53.0,,6.0,55.0,22.0
,36.0,45.0,20.0,16.0,,,,,,,,,,,16.0,,,,,,47.0,,35.0,,0.0,,,,,,20.0
1.0,2.0,4.0,1.0,0.0,1.0,,,,1.0,0.0,,,1.0,,0.0,,2.0,,1.0,0.0,5.0,2.0,2.0,,3.0,0.0,,,0.0,0.0,1.0
50.0,51.0,51.0,53.0,53.0,4.0,,,2.0,3.0,,,,2.0,,53.0,,45.0,,51.0,,50.0,5.0,51.0,,52.0,,0.0,,,,53.0
38.0,26.0,34.0,21.0,24.0,14.0,56.0,9.0,22.0,28.0,55.0,5.0,,22.0,56.0,24.0,55.0,16.0,56.0,27.0,49.0,32.0,19.0,25.0,5.0,30.0,3.0,53.0,0.0,7.0,55.0,21.0
1.0,5.0,6.0,1.0,1.0,5.0,,,,0.0,0.0,,,4.0,,1.0,,5.0,,2.0,0.0,8.0,6.0,5.0,,4.0,,0.0,,0.0,0.0,1.0
51.0,53.0,53.0,55.0,55.0,6.0,,,0.0,2.0,,,,4.0,,55.0,,46.0,,53.0,,52.0,6.0,53.0,,54.0,,0.0,,,0.0,55.0
,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,0.0
