u,v,weight
72,73,8
163,164,8
67,68,8
99,100,8
164,165,8
159,160,4
40,41,8
196,197,8
60,83,4
100,101,4
155,156,8
132,133,8
197,198,8
137,138,4
192,193,8
96,97,8
18,19,8
133,134,4
188,189,6
14,15,8
170,171,8
9,10,6
74,75,8
129,130,7
106,107,8
111,112,8
166,167,8
15,16,8
47,48,8
42,43,8
107,108,8
162,163,8
134,135,8
144,145,8
38,39,8
103,104,4
48,49,8
80,81,5
75,76,6
85,86,8
140,141,4
195,196,8
177,178,8
71,72,8
16,17,8
136,137,4
108,109,8
173,174,8
12,13,6
8,61,4
77,78,8
22,23,6
104,105,6
49,50,6
169,170,4
109,110,8
13,14,8
151,152,4
45,46,8
110,111,8
55,56,8
105,106,8
147,148,4
51,52,8
142,143,8
78,79,8
23,24,8
143,144,8
83,84,8
138,139,8
115,116,8
19,20,8
175,176,8
79,80,8
24,25,8
171,172,8
116,117,4
181,182,8
52,53,6
112,113,8
167,168,8
57,58,8
89,90,8
149,150,4
53,54,8
30,31,6
25,26,6
90,91,6
145,146,8
182,183,8
21,22,6
86,87,8
31,32,8
129,186,4
113,114,8
123,124,8
17,18,8
178,179,8
27,28,8
54,55,8
64,65,7
119,120,8
128,187,4
36,122,4
146,147,8
156,157,8
87,88,8
97,98,4
1,2,8
35,123,4
189,190,4
28,29,8
93,94,8
148,149,6
88,89,8
120,121,8
180,181,8
84,85,8
29,30,4
61,62,6
126,127,8
176,177,6
153,154,8
2,3,8
9,82,4
117,118,8
94,95,8
154,155,8
3,4,8
58,59,8
191,192,8
95,96,8
150,151,8
187,188,6
91,92,8
36,37,8
68,69,8
63,64,8
183,184,8
160,161,4
32,33,8
165,166,8
4,5,8
69,70,8
124,125,8
101,102,8
0,1,6
65,66,8
10,11,8
198,199,8
92,93,8
102,103,8
157,158,8
6,7,6
184,185,8
139,140,8
33,34,8
194,195,8
98,99,8
43,44,8
70,71,8
125,126,8
135,136,8
190,191,6
130,131,4
172,173,4
66,67,8
11,12,8
76,77,6
131,132,4
168,169,4
56,57,7
44,45,4
132,137,4
81,82,2
118,119,4
114,115,4
50,51,4
82,83,4
131,170,4
46,47,4
20,21,2
138,141,4
104,191,2
26,27,4
174,175,4
5,6,4
60,61,4
152,153,4
10,160,2
105,190,2
121,122,4
186,187,4
122,123,4
62,63,4
35,36,2
127,128,4
128,129,4
193,194,4
59,60,4
37,38,4
39,40,4
34,35,4
142,169,4
158,159,4
7,8,2
9,161,2
1,8,2
0,9,2
22,160,2
81,189,2
82,188,2
21,161,2
185,186,2
31,148,2
30,149,2
