simulated_k54_l200_18,simulated_k54_l200_22,simulated_k54_l200_24,simulated_k54_l200_28,simulated_k54_l200_30,simulated_k54_l200_32,simulated_k54_l200_42,simulated_k54_l200_44,simulated_k54_l200_46,simulated_k54_l200_48,simulated_k54_l200_52,simulated_k54_l200_54,simulated_k54_l200_55,simulated_k54_l200_56,simulated_k54_l200_58,simulated_k54_l200_62,simulated_k54_l200_63,simulated_k54_l200_64,simulated_k54_l200_65,simulated_k54_l200_66,simulated_k54_l200_68,simulated_k54_l200_69,simulated_k54_l200_70,simulated_k54_l200_71,simulated_k54_l200_72,simulated_k54_l200_74,simulated_k54_l200_76,simulated_k54_l200_78,simulated_k54_l200_79,simulated_k54_l200_80,simulated_k54_l200_81,simulated_k54_l200_82,simulated_k54_l200_84,simulated_k54_l200_85,simulated_k54_l200_86,simulated_k54_l200_87,simulated_k54_l200_88,simulated_k54_l200_89,simulated_k54_l200_90,simulated_k54_l200_91,simulated_k54_l200_92,simulated_k54_l200_93,simulated_k54_l200_94,simulated_k54_l200_95,simulated_k54_l200_96,simulated_k54_l200_97,simulated_k54_l200_98,simulated_k54_l200_99,simulated_k54_l200_100,simulated_k54_l200_102,simulated_k54_l200_103,simulated_k54_l200_104,simulated_k54_l200_105,simulated_k54_l200_106,MST_1,MST_2,MST_3,MST_4,MST_5,MST_6,MST_7,MST_8,MST_9,MST_10,MST_11,MST_12,MST_13,MST_14,MST_15,MST_16,MST_17,MST_18,MST_19,MST_20,MST_21,MST_22,MST_23,MST_24,MST_25,MST_26,MST_27,MST_28,MST_29,MST_30,MST_31,MST_32,MST_33,MST_34,MST_35,MST_36,MST_37,MST_38,MST_39,MST_40,MST_41,MST_42,MST_43,MST_44,MST_45,MST_46,MST_47,MST_48,MST_49,MST_50,MST_51,MST_52,MST_53,MST_54,MST_55,MST_56,SEQ_0,SEQ_1,SEQ_2,SEQ_3,SEQ_4,SEQ_5,SEQ_6,SEQ_7,SEQ_8,SEQ_9,SEQ_10,SEQ_11,SEQ_12,SEQ_13,SEQ_14,SEQ_15,SEQ_16,SEQ_17,SEQ_18,SEQ_19,SEQ_20,SEQ_21,SEQ_22,SEQ_23,SEQ_24,SEQ_25,SEQ_26,SEQ_27,SEQ_28,SEQ_29,SEQ_30,SEQ_31,SEQ_32,SEQ_33,SEQ_34,SEQ_35,SEQ_36,SEQ_37,SEQ_38,SEQ_39,SEQ_40,SEQ_41,SEQ_42,SEQ_43,SEQ_44,SEQ_45,SEQ_46,SEQ_47,SEQ_48,SEQ_49,SEQ_50,SEQ_51,SEQ_52,SEQ_53
0.0,21.0,21.0,22.0,26.0,13.0,23.0,14.0,30.0,21.0,20.0,26.0,31.0,28.0,19.0,15.0,16.0,16.0,15.0,12.0,21.0,21.0,22.0,16.0,14.0,22.0,22.0,24.0,23.0,24.0,22.0,23.0,18.0,28.0,27.0,15.0,16.0,23.0,24.0,25.0,28.0,21.0,20.0,16.0,16.0,24.0,24.0,28.0,25.0,24.0,11.0,10.0,25.0,26.0,66.0,27.0,13.0,77.0,70.0,57.0,48.0,42.0,39.0,34.0,27.0,26.0,20.0,17.0,17.0,16.0,17.0,15.0,14.0,14.0,15.0,14.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,55.0,52.0,84.0,80.0,71.0,62.0,47.0,43.0,39.0,34.0,29.0,26.0,24.0,17.0,17.0,16.0,17.0,15.0,14.0,14.0,15.0,15.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0
,0.0,24.0,25.0,29.0,18.0,20.0,23.0,29.0,24.0,17.0,25.0,30.0,27.0,18.0,20.0,13.0,13.0,22.0,19.0,20.0,20.0,21.0,15.0,15.0,19.0,17.0,25.0,22.0,23.0,19.0,20.0,27.0,25.0,24.0,24.0,25.0,22.0,23.0,20.0,23.0,24.0,23.0,27.0,27.0,21.0,21.0,27.0,24.0,19.0,18.0,17.0,20.0,21.0,63.0,26.0,14.0,77.0,72.0,56.0,48.0,42.0,39.0,37.0,32.0,29.0,23.0,20.0,20.0,19.0,16.0,14.0,13.0,11.0,12.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,59.0,49.0,81.0,76.0,74.0,62.0,47.0,43.0,39.0,37.0,34.0,29.0,27.0,20.0,20.0,19.0,16.0,14.0,13.0,11.0,12.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0
,,0.0,23.0,27.0,22.0,26.0,23.0,33.0,22.0,25.0,27.0,34.0,31.0,26.0,24.0,21.0,21.0,20.0,21.0,28.0,22.0,25.0,15.0,13.0,25.0,27.0,27.0,24.0,25.0,25.0,26.0,25.0,31.0,30.0,24.0,25.0,24.0,25.0,30.0,33.0,20.0,21.0,25.0,25.0,29.0,29.0,29.0,26.0,29.0,20.0,19.0,30.0,31.0,65.0,30.0,16.0,85.0,76.0,61.0,51.0,45.0,44.0,41.0,34.0,33.0,26.0,23.0,23.0,22.0,21.0,19.0,20.0,17.0,18.0,19.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,55.0,50.0,84.0,88.0,76.0,65.0,52.0,46.0,44.0,41.0,36.0,33.0,31.0,23.0,23.0,22.0,21.0,19.0,20.0,17.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0
,,,0.0,14.0,19.0,25.0,18.0,32.0,9.0,24.0,28.0,33.0,30.0,25.0,25.0,20.0,20.0,25.0,22.0,27.0,23.0,24.0,20.0,18.0,24.0,26.0,28.0,25.0,26.0,24.0,25.0,24.0,30.0,29.0,21.0,22.0,23.0,24.0,29.0,32.0,9.0,8.0,28.0,28.0,27.0,27.0,30.0,27.0,28.0,21.0,20.0,29.0,30.0,63.0,29.0,15.0,79.0,67.0,55.0,48.0,46.0,43.0,38.0,33.0,32.0,28.0,27.0,27.0,26.0,23.0,21.0,22.0,20.0,19.0,18.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,55.0,51.0,82.0,82.0,70.0,59.0,48.0,47.0,43.0,38.0,35.0,32.0,32.0,27.0,27.0,26.0,23.0,21.0,22.0,20.0,19.0,19.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0
,,,,0.0,25.0,27.0,26.0,32.0,11.0,28.0,32.0,35.0,32.0,29.0,27.0,24.0,24.0,29.0,26.0,31.0,23.0,24.0,24.0,22.0,26.0,30.0,32.0,29.0,30.0,26.0,27.0,28.0,32.0,31.0,25.0,26.0,25.0,26.0,33.0,36.0,11.0,10.0,32.0,32.0,32.0,32.0,34.0,31.0,32.0,25.0,24.0,33.0,34.0,61.0,32.0,19.0,75.0,67.0,55.0,49.0,47.0,44.0,40.0,37.0,36.0,32.0,31.0,31.0,30.0,27.0,25.0,26.0,24.0,23.0,22.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,52.0,53.0,77.0,79.0,69.0,59.0,49.0,48.0,44.0,40.0,37.0,36.0,36.0,31.0,31.0,30.0,27.0,25.0,26.0,24.0,23.0,23.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0
,,,,,0.0,24.0,7.0,29.0,20.0,21.0,25.0,30.0,27.0,20.0,14.0,17.0,17.0,12.0,9.0,24.0,24.0,25.0,15.0,13.0,23.0,23.0,23.0,22.0,23.0,23.0,24.0,11.0,29.0,28.0,8.0,9.0,22.0,23.0,26.0,29.0,20.0,19.0,17.0,17.0,25.0,25.0,27.0,24.0,25.0,10.0,9.0,26.0,27.0,66.0,22.0,10.0,80.0,70.0,55.0,45.0,39.0,38.0,33.0,26.0,23.0,21.0,18.0,18.0,17.0,18.0,16.0,15.0,15.0,16.0,15.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,54.0,52.0,84.0,79.0,72.0,61.0,45.0,40.0,38.0,33.0,28.0,23.0,25.0,18.0,18.0,17.0,18.0,16.0,15.0,15.0,16.0,16.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0
,,,,,,0.0,23.0,29.0,24.0,17.0,21.0,30.0,27.0,18.0,22.0,13.0,13.0,24.0,21.0,20.0,6.0,7.0,19.0,19.0,5.0,19.0,23.0,20.0,21.0,5.0,6.0,29.0,11.0,10.0,26.0,27.0,18.0,19.0,22.0,25.0,24.0,23.0,29.0,29.0,21.0,21.0,25.0,22.0,21.0,20.0,19.0,22.0,23.0,62.0,29.0,16.0,73.0,62.0,47.0,39.0,35.0,32.0,27.0,26.0,25.0,21.0,18.0,18.0,17.0,14.0,14.0,15.0,13.0,12.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,57.0,50.0,81.0,78.0,64.0,52.0,38.0,36.0,32.0,27.0,26.0,25.0,25.0,18.0,18.0,17.0,14.0,14.0,15.0,13.0,12.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0
,,,,,,,0.0,30.0,21.0,22.0,24.0,31.0,28.0,19.0,15.0,18.0,18.0,13.0,10.0,23.0,23.0,24.0,16.0,14.0,22.0,22.0,22.0,21.0,22.0,22.0,23.0,12.0,28.0,27.0,9.0,10.0,23.0,24.0,25.0,28.0,21.0,20.0,18.0,18.0,26.0,26.0,26.0,23.0,24.0,11.0,10.0,25.0,26.0,66.0,27.0,13.0,76.0,65.0,51.0,42.0,36.0,35.0,30.0,23.0,22.0,20.0,17.0,17.0,16.0,17.0,17.0,16.0,16.0,17.0,16.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,55.0,52.0,86.0,79.0,67.0,57.0,42.0,37.0,35.0,30.0,25.0,22.0,24.0,17.0,17.0,16.0,17.0,17.0,16.0,16.0,17.0,17.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0
,,,,,,,,0.0,31.0,24.0,22.0,11.0,8.0,25.0,31.0,22.0,20.0,31.0,28.0,27.0,27.0,28.0,22.0,22.0,28.0,26.0,22.0,19.0,20.0,28.0,29.0,34.0,34.0,33.0,31.0,32.0,19.0,20.0,29.0,32.0,31.0,30.0,32.0,32.0,28.0,28.0,24.0,21.0,28.0,27.0,26.0,29.0,28.0,62.0,29.0,21.0,72.0,66.0,56.0,49.0,45.0,44.0,36.0,32.0,29.0,31.0,28.0,28.0,27.0,24.0,22.0,21.0,22.0,21.0,20.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,60.0,48.0,80.0,76.0,66.0,58.0,49.0,46.0,44.0,39.0,31.0,29.0,28.0,28.0,28.0,28.0,24.0,22.0,21.0,22.0,21.0,21.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0
,,,,,,,,,0.0,23.0,27.0,32.0,29.0,24.0,24.0,19.0,19.0,24.0,21.0,26.0,22.0,23.0,19.0,17.0,23.0,23.0,27.0,24.0,25.0,23.0,24.0,23.0,29.0,28.0,20.0,21.0,22.0,23.0,28.0,31.0,4.0,3.0,27.0,27.0,27.0,27.0,29.0,26.0,27.0,20.0,19.0,26.0,27.0,65.0,26.0,14.0,77.0,65.0,54.0,48.0,46.0,41.0,37.0,32.0,31.0,27.0,26.0,26.0,25.0,22.0,20.0,21.0,19.0,18.0,17.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,56.0,50.0,84.0,80.0,67.0,56.0,48.0,47.0,41.0,37.0,34.0,31.0,31.0,26.0,26.0,25.0,22.0,20.0,21.0,19.0,18.0,18.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0
