pan,genome id,genome size,path_id,length
MST,1,90,0,6
MST,1,90,1,2
MST,1,90,2,4
MST,1,90,3,2
MST,1,90,4,3
MST,1,90,5,3
MST,1,90,6,2
MST,1,90,7,2
MST,1,90,8,2
MST,1,90,9,2
MST,1,90,10,3
MST,1,90,11,2
MST,1,90,12,2
MST,1,90,13,3
MST,1,90,14,3
MST,1,90,15,2
MST,1,90,16,4
MST,1,90,17,3
MST,1,90,18,2
MST,1,90,19,2
MST,1,90,20,3
MST,1,90,21,3
MST,1,90,22,2
MST,1,90,23,3
MST,1,90,24,2
MST,1,90,25,3
MST,1,90,26,3
MST,1,90,27,3
MST,1,90,28,4
MST,1,90,29,3
MST,1,90,30,2
MST,1,90,31,3
MST,1,90,32,2
MST,2,187,0,169
MST,2,187,1,2
MST,2,187,2,2
MST,2,187,3,2
MST,2,187,4,2
MST,2,187,5,2
MST,2,187,6,8
MST,3,200,0,195
MST,3,200,1,2
MST,3,200,2,3
MST,4,159,0,6
MST,4,159,1,2
MST,4,159,2,2
MST,4,159,3,6
MST,4,159,4,2
MST,4,159,5,3
MST,4,159,6,3
MST,4,159,7,3
MST,4,159,8,10
MST,4,159,9,5
MST,4,159,10,3
MST,4,159,11,3
MST,4,159,12,3
MST,4,159,13,2
MST,4,159,14,2
MST,4,159,15,6
MST,4,159,16,4
MST,4,159,17,4
MST,4,159,18,2
MST,4,159,19,2
MST,4,159,20,2
MST,4,159,21,2
MST,4,159,22,3
MST,4,159,23,6
MST,4,159,24,3
MST,4,159,25,2
MST,4,159,26,4
MST,4,159,27,6
MST,4,159,28,2
MST,4,159,29,2
MST,4,159,30,4
MST,4,159,31,2
MST,4,159,32,3
MST,4,159,33,5
MST,4,159,34,2
MST,4,159,35,2
MST,4,159,36,3
MST,4,159,37,3
MST,4,159,38,3
MST,4,159,39,3
MST,4,159,40,4
MST,4,159,41,2
MST,4,159,42,11
MST,4,159,43,3
MST,4,159,44,4
MST,5,183,0,6
MST,5,183,1,2
MST,5,183,2,2
MST,5,183,3,7
MST,5,183,4,3
MST,5,183,5,3
MST,5,183,6,3
MST,5,183,7,6
MST,5,183,8,3
MST,5,183,9,3
MST,5,183,10,2
MST,5,183,11,2
MST,5,183,12,6
MST,5,183,13,4
MST,5,183,14,4
MST,5,183,15,2
MST,5,183,16,3
MST,5,183,17,2
MST,5,183,18,3
MST,5,183,19,3
MST,5,183,20,6
MST,5,183,21,5
MST,5,183,22,2
MST,5,183,23,4
MST,5,183,24,5
MST,5,183,25,11
MST,5,183,26,3
MST,5,183,27,6
MST,5,183,28,3
MST,5,183,29,2
MST,5,183,30,4
MST,5,183,31,3
MST,5,183,32,4
MST,5,183,33,4
MST,5,183,34,4
MST,5,183,35,3
MST,5,183,36,5
MST,5,183,37,3
MST,5,183,38,3
MST,5,183,39,4
MST,5,183,40,3
MST,5,183,41,3
MST,5,183,42,3
MST,5,183,43,3
MST,5,183,44,4
MST,5,183,45,11
MST,5,183,46,3
MST,6,187,0,6
MST,6,187,1,2
MST,6,187,2,2
MST,6,187,3,3
MST,6,187,4,3
MST,6,187,5,6
MST,6,187,6,2
MST,6,187,7,2
MST,6,187,8,6
MST,6,187,9,4
MST,6,187,10,4
MST,6,187,11,4
MST,6,187,12,2
MST,6,187,13,3
MST,6,187,14,3
MST,6,187,15,5
MST,6,187,16,2
MST,6,187,17,5
MST,6,187,18,11
MST,6,187,19,3
MST,6,187,20,9
MST,6,187,21,2
MST,6,187,22,4
MST,6,187,23,2
MST,6,187,24,4
MST,6,187,25,3
MST,6,187,26,8
MST,6,187,27,11
MST,6,187,28,4
MST,6,187,29,10
MST,6,187,30,4
MST,6,187,31,4
MST,6,187,32,5
MST,6,187,33,5
MST,6,187,34,3
MST,6,187,35,7
MST,6,187,36,5
MST,6,187,37,7
MST,6,187,38,3
MST,6,187,39,9
MST,7,193,0,2
MST,7,193,1,3
MST,7,193,2,6
MST,7,193,3,2
MST,7,193,4,6
MST,7,193,5,6
MST,7,193,6,4
MST,7,193,7,6
MST,7,193,8,9
MST,7,193,9,2
MST,7,193,10,9
MST,7,193,11,2
MST,7,193,12,8
MST,7,193,13,5
MST,7,193,14,11
MST,7,193,15,3
MST,7,193,16,9
MST,7,193,17,4
