u,v,weight
163,164,54
67,68,20
99,100,53
44,45,54
164,165,54
159,160,46
8,128,1
40,41,53
196,197,43
100,101,53
155,156,54
132,133,54
197,198,53
192,193,54
137,138,53
96,97,51
41,42,54
73,74,44
18,19,51
188,189,52
133,134,54
14,15,21
170,171,54
9,10,50
74,75,54
129,130,40
106,107,49
111,112,53
166,167,53
15,16,44
47,48,52
42,43,51
107,108,51
162,163,50
134,135,48
144,145,54
38,39,53
103,104,52
48,49,54
80,81,53
75,76,50
195,196,43
85,86,53
140,141,54
177,178,43
71,72,53
16,17,53
13,30,1
81,82,52
136,137,54
108,109,52
173,174,50
118,119,52
77,78,50
104,105,54
49,50,43
169,170,34
114,115,54
109,110,47
151,152,52
45,46,27
110,111,53
55,56,51
105,106,49
50,51,53
82,83,38
147,148,53
142,143,43
51,52,54
46,47,46
78,79,47
23,24,53
143,144,51
83,84,49
138,139,51
115,116,49
19,20,51
175,176,52
79,80,50
24,25,54
56,57,53
171,172,43
116,117,47
181,182,53
20,21,54
52,53,54
112,113,54
57,58,50
167,168,54
89,90,46
149,150,52
30,31,53
25,26,54
90,91,54
145,146,53
26,27,50
182,183,53
21,22,48
86,87,53
141,142,54
31,32,54
113,114,54
178,179,51
123,124,43
17,18,50
27,28,52
54,55,53
174,175,53
119,120,44
64,65,50
146,147,54
156,157,51
5,6,52
60,61,53
87,88,51
97,98,54
152,153,54
1,2,53
179,180,49
189,190,53
93,94,44
148,149,54
88,89,52
120,121,49
185,186,54
180,181,50
84,85,53
61,62,54
176,177,45
121,122,53
186,187,53
153,154,54
2,3,54
122,123,41
117,118,53
62,63,54
94,95,54
154,155,53
3,4,46
58,59,48
35,36,54
191,192,46
95,96,54
150,151,45
187,188,52
91,92,54
36,37,54
68,69,39
9,29,1
63,64,53
183,184,54
128,129,37
193,194,48
160,161,53
32,33,52
165,166,52
4,5,52
59,60,53
124,125,49
69,70,52
101,102,52
161,162,53
0,1,34
10,11,53
65,66,54
198,199,54
92,93,45
37,38,53
102,103,48
157,158,52
6,7,52
184,185,54
194,195,52
139,140,51
33,34,52
98,99,54
14,127,1
43,44,51
125,126,54
70,71,39
190,191,43
135,136,53
130,131,53
39,40,46
34,35,53
172,173,45
11,12,53
66,67,54
131,132,53
158,159,53
72,73,40
8,9,50
16,77,1
12,13,52
22,23,37
13,14,53
28,29,40
29,30,53
126,127,51
127,128,51
15,170,1
78,169,1
7,8,45
0,78,3
53,54,31
101,130,1
1,169,3
100,131,1
77,170,3
116,125,5
11,64,1
9,135,1
10,65,1
8,136,1
76,77,36
117,124,2
168,169,5
0,121,1
60,80,1
61,79,1
1,120,1
166,190,1
167,189,1
74,169,6
73,170,7
47,68,8
16,71,1
93,178,3
94,177,8
46,69,6
15,72,1
23,196,3
68,112,1
0,197,9
1,15,4
162,170,1
16,172,3
19,108,3
22,173,3
163,169,1
20,107,2
69,111,1
79,117,3
80,124,3
0,124,3
51,143,1
50,144,1
1,123,1
40,77,1
41,76,1
172,192,4
1,196,8
173,191,6
107,119,1
20,118,1
69,129,1
68,130,2
23,170,1
103,169,1
24,102,1
0,181,1
1,180,1
22,69,1
23,46,1
16,93,1
83,178,2
15,84,1
0,192,2
172,197,2
84,93,4
54,170,1
16,83,2
15,178,3
55,169,1
169,181,1
44,180,3
43,74,1
69,83,1
5,89,2
90,169,2
4,170,2
16,46,1
43,181,2
69,191,2
68,192,2
69,139,1
129,140,1
73,128,2
27,74,2
104,129,2
28,127,2
103,130,2
130,169,2
1,9,2
129,170,2
69,143,2
68,144,2
10,123,2
34,194,1
33,195,1
58,124,3
59,123,3
0,16,1
