MST_12,simulated_k33_l25_54,simulated_k33_l25_30,simulated_k33_l25_37,MST_9,SEQ_10,simulated_k33_l25_49,simulated_k33_l25_52,simulated_k33_l25_58,simulated_k33_l25_62,SEQ_11,SEQ_7,MST_20,MST_17,simulated_k33_l25_53,SEQ_5,MST_21,SEQ_1,MST_32,simulated_k33_l25_33,SEQ_25,simulated_k33_l25_48,simulated_k33_l25_29,SEQ_9,SEQ_4,simulated_k33_l25_28,MST_33,SEQ_32,MST_27,SEQ_30,SEQ_15,MST_14,MST_16,simulated_k33_l25_55,SEQ_19,MST_25,MST_26,simulated_k33_l25_60,SEQ_13,simulated_k33_l25_24,SEQ_22,MST_30,SEQ_20,SEQ_23,MST_23,MST_3,simulated_k33_l25_59,SEQ_26,SEQ_6,SEQ_31,simulated_k33_l25_42,simulated_k33_l25_38,simulated_k33_l25_32,SEQ_21,simulated_k33_l25_36,simulated_k33_l25_57,simulated_k33_l25_44,SEQ_24,MST_8,MST_13,SEQ_0,simulated_k33_l25_56,SEQ_28,MST_22,MST_24,SEQ_17,MST_18,simulated_k33_l25_64,MST_5,SEQ_3,simulated_k33_l25_61,MST_31,simulated_k33_l25_16,simulated_k33_l25_45,SEQ_8,MST_11,simulated_k33_l25_40,simulated_k33_l25_50,MST_19,MST_7,MST_29,SEQ_12,SEQ_16,simulated_k33_l25_63,MST_28,simulated_k33_l25_34,SEQ_27,simulated_k33_l25_46,MST_10,SEQ_29,simulated_k33_l25_6,MST_1,MST_4,SEQ_14,MST_6,SEQ_18,MST_15,MST_2,SEQ_2
0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,,0.0
,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,0.0,,,
,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,0.0,,,
,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,0.0
,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
,,,,,0.0,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,0.0,,,
,,,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,0.0
,,,,,0.0,,,,,0.0,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,0.0,,,0.0
,,,,,0.0,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,,0.0,,0.0,,,0.0,,,,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,0.0,,,0.0
