pan,genome id,genome size,path_id,length
simulated,18,25,0,2
simulated,18,25,1,2
simulated,18,25,2,4
simulated,18,25,3,2
simulated,18,25,4,2
simulated,18,25,5,2
simulated,18,25,6,5
simulated,18,25,7,2
simulated,18,25,8,4
simulated,22,25,0,4
simulated,22,25,1,2
simulated,22,25,2,9
simulated,22,25,3,8
simulated,22,25,4,2
simulated,24,25,0,5
simulated,24,25,1,10
simulated,24,25,2,3
simulated,24,25,3,2
simulated,24,25,4,3
simulated,24,25,5,2
simulated,30,25,0,11
simulated,30,25,1,5
simulated,30,25,2,7
simulated,30,25,3,2
simulated,36,25,0,3
simulated,36,25,1,4
simulated,36,25,2,2
simulated,36,25,3,2
simulated,36,25,4,2
simulated,36,25,5,2
simulated,36,25,6,8
simulated,36,25,7,2
simulated,37,25,0,4
simulated,37,25,1,3
simulated,37,25,2,3
simulated,37,25,3,3
simulated,37,25,4,3
simulated,37,25,5,2
simulated,37,25,6,3
simulated,37,25,7,2
simulated,37,25,8,2
simulated,38,25,0,2
simulated,38,25,1,3
simulated,38,25,2,3
simulated,38,25,3,4
simulated,38,25,4,3
simulated,38,25,5,2
simulated,38,25,6,3
simulated,38,25,7,2
simulated,38,25,8,3
simulated,40,25,0,9
simulated,40,25,1,4
simulated,40,25,2,3
simulated,40,25,3,5
simulated,40,25,4,2
simulated,40,25,5,2
simulated,45,25,0,4
simulated,45,25,1,5
simulated,45,25,2,7
simulated,45,25,3,2
simulated,45,25,4,3
simulated,45,25,5,2
simulated,45,25,6,2
simulated,46,25,0,2
simulated,46,25,1,2
simulated,46,25,2,7
simulated,46,25,3,2
simulated,46,25,4,3
simulated,46,25,5,2
simulated,46,25,6,3
simulated,46,25,7,2
simulated,46,25,8,2
simulated,47,25,0,2
simulated,47,25,1,4
simulated,47,25,2,8
simulated,47,25,3,5
simulated,47,25,4,2
simulated,47,25,5,4
simulated,48,25,0,5
simulated,48,25,1,4
simulated,48,25,2,2
simulated,48,25,3,2
simulated,48,25,4,2
simulated,48,25,5,4
simulated,48,25,6,6
simulated,50,25,0,4
simulated,50,25,1,3
simulated,50,25,2,3
simulated,50,25,3,2
simulated,50,25,4,7
simulated,50,25,5,4
simulated,50,25,6,2
simulated,52,25,0,2
simulated,52,25,1,2
simulated,52,25,2,5
simulated,52,25,3,2
simulated,52,25,4,4
simulated,52,25,5,2
simulated,52,25,6,2
simulated,52,25,7,6
simulated,53,25,0,2
simulated,53,25,1,5
simulated,53,25,2,5
simulated,53,25,3,6
simulated,53,25,4,3
simulated,53,25,5,4
simulated,54,25,0,11
simulated,54,25,1,5
simulated,54,25,2,2
simulated,54,25,3,4
simulated,54,25,4,3
simulated,56,25,0,4
simulated,56,25,1,2
simulated,56,25,2,3
simulated,56,25,3,2
simulated,56,25,4,6
simulated,56,25,5,5
simulated,56,25,6,3
simulated,57,25,0,4
simulated,57,25,1,5
simulated,57,25,2,2
simulated,57,25,3,2
simulated,57,25,4,2
simulated,57,25,5,3
simulated,57,25,6,4
simulated,57,25,7,3
simulated,58,25,0,3
simulated,58,25,1,2
simulated,58,25,2,3
simulated,58,25,3,4
simulated,58,25,4,2
simulated,58,25,5,5
simulated,58,25,6,2
simulated,58,25,7,2
simulated,58,25,8,2
simulated,62,25,0,3
simulated,62,25,1,4
simulated,62,25,2,2
simulated,62,25,3,4
simulated,62,25,4,2
simulated,62,25,5,5
simulated,62,25,6,3
simulated,62,25,7,2
simulated,64,25,0,2
simulated,64,25,1,4
simulated,64,25,2,4
simulated,64,25,3,4
simulated,64,25,4,2
simulated,64,25,5,5
simulated,64,25,6,4
simulated,66,25,0,5
simulated,66,25,1,3
simulated,66,25,2,4
simulated,66,25,3,5
simulated,66,25,4,5
simulated,66,25,5,3
simulated,68,25,0,2
simulated,68,25,1,2
simulated,68,25,2,3
simulated,68,25,3,5
simulated,68,25,4,3
simulated,68,25,5,2
simulated,68,25,6,6
simulated,68,25,7,2
simulated,72,25,0,8
simulated,72,25,1,2
simulated,72,25,2,3
simulated,72,25,3,4
simulated,72,25,4,5
simulated,72,25,5,3
simulated,73,25,0,2
simulated,73,25,1,4
simulated,73,25,2,2
simulated,73,25,3,4
simulated,73,25,4,10
simulated,73,25,5,3
simulated,74,25,0,2
simulated,74,25,1,10
simulated,74,25,2,3
simulated,74,25,3,4
simulated,74,25,4,2
simulated,74,25,5,4
simulated,75,25,0,2
simulated,75,25,1,2
simulated,75,25,2,3
simulated,75,25,3,2
simulated,75,25,4,3
simulated,75,25,5,2
simulated,75,25,6,8
simulated,75,25,7,3
simulated,76,25,0,2
simulated,76,25,1,5
simulated,76,25,2,3
simulated,76,25,3,2
simulated,76,25,4,3
simulated,76,25,5,2
simulated,76,25,6,2
simulated,76,25,7,6
simulated,77,25,0,5
simulated,77,25,1,2
simulated,77,25,2,2
simulated,77,25,3,2
simulated,77,25,4,3
simulated,77,25,5,3
simulated,77,25,6,4
simulated,77,25,7,2
simulated,77,25,8,2
simulated,78,25,0,4
simulated,78,25,1,5
simulated,78,25,2,2
simulated,78,25,3,4
simulated,78,25,4,3
simulated,78,25,5,2
simulated,78,25,6,3
simulated,78,25,7,2
simulated,80,25,0,2
simulated,80,25,1,2
simulated,80,25,2,2
simulated,80,25,3,5
simulated,80,25,4,3
simulated,80,25,5,2
simulated,80,25,6,6
simulated,80,25,7,3
simulated,82,25,0,2
simulated,82,25,1,2
simulated,82,25,2,10
simulated,82,25,3,3
simulated,82,25,4,8
simulated,84,25,0,2
simulated,84,25,1,8
simulated,84,25,2,3
simulated,84,25,3,5
simulated,84,25,4,5
simulated,84,25,5,2
simulated,85,25,0,2
simulated,85,25,1,5
simulated,85,25,2,5
simulated,85,25,3,3
simulated,85,25,4,5
simulated,85,25,5,2
simulated,85,25,6,3
simulated,86,25,0,2
simulated,86,25,1,5
simulated,86,25,2,8
simulated,86,25,3,3
simulated,86,25,4,3
simulated,86,25,5,2
simulated,86,25,6,2
simulated,87,25,0,4
simulated,87,25,1,4
simulated,87,25,2,2
simulated,87,25,3,2
simulated,87,25,4,2
simulated,87,25,5,2
simulated,87,25,6,2
simulated,87,25,7,3
simulated,87,25,8,2
simulated,87,25,9,2
simulated,88,25,0,4
simulated,88,25,1,4
simulated,88,25,2,2
simulated,88,25,3,4
simulated,88,25,4,2
simulated,88,25,5,2
simulated,88,25,6,2
simulated,88,25,7,3
simulated,88,25,8,2
simulated,89,25,0,4
simulated,89,25,1,2
simulated,89,25,2,2
simulated,89,25,3,5
simulated,89,25,4,2
simulated,89,25,5,3
simulated,89,25,6,7
simulated,90,25,0,3
simulated,90,25,1,2
simulated,90,25,2,2
simulated,90,25,3,5
simulated,90,25,4,2
simulated,90,25,5,4
simulated,90,25,6,5
simulated,90,25,7,2
simulated,91,25,0,4
simulated,91,25,1,12
simulated,91,25,2,2
simulated,91,25,3,5
simulated,91,25,4,2
simulated,92,25,0,4
simulated,92,25,1,12
simulated,92,25,2,2
simulated,92,25,3,5
simulated,92,25,4,2
simulated,93,25,0,2
simulated,93,25,1,2
simulated,93,25,2,2
simulated,93,25,3,5
simulated,93,25,4,3
simulated,93,25,5,2
simulated,93,25,6,9
simulated,94,25,0,2
simulated,94,25,1,2
simulated,94,25,2,2
simulated,94,25,3,5
simulated,94,25,4,3
simulated,94,25,5,2
simulated,94,25,6,9
simulated,95,25,0,2
simulated,95,25,1,2
simulated,95,25,2,4
simulated,95,25,3,5
simulated,95,25,4,3
simulated,95,25,5,2
simulated,95,25,6,5
simulated,95,25,7,2
simulated,96,25,0,2
simulated,96,25,1,2
simulated,96,25,2,4
simulated,96,25,3,5
simulated,96,25,4,3
simulated,96,25,5,2
