u,v,weight
444,445,24
67,68,24
99,100,24
159,160,24
8,9,24
40,41,24
251,252,24
477,478,24
100,101,24
132,133,24
343,344,24
192,193,24
41,42,24
73,74,24
284,285,24
133,134,24
376,377,24
14,15,24
225,226,24
74,75,24
468,469,24
106,107,24
317,318,24
166,167,24
15,16,24
409,410,24
47,48,24
226,227,24
258,259,24
107,108,24
318,319,24
350,351,24
199,200,24
48,49,24
442,443,24
80,81,24
259,260,24
291,292,24
140,141,24
351,352,24
383,384,24
232,233,24
443,444,24
81,82,24
475,476,24
292,293,24
324,325,24
173,174,24
384,385,24
22,23,24
416,417,24
233,234,24
265,266,24
476,477,24
114,115,24
325,326,24
357,358,24
206,207,24
417,418,24
55,56,24
449,450,24
266,267,24
298,299,24
147,148,24
358,359,24
390,391,24
207,208,24
239,240,24
450,451,24
299,300,24
331,332,24
391,392,24
423,424,24
240,241,24
483,484,24
332,333,24
364,365,24
181,182,24
424,425,24
273,274,24
365,366,24
214,215,24
457,458,24
306,307,24
398,399,24
21,22,24
490,491,24
113,114,24
339,340,24
205,206,24
431,432,24
54,55,24
146,147,24
87,88,24
179,180,24
28,29,24
88,89,24
120,121,24
180,181,24
29,30,24
61,62,24
272,273,24
121,122,24
153,154,24
2,3,24
213,214,24
62,63,24
94,95,24
305,306,24
154,155,24
3,4,24
397,398,24
35,36,24
246,247,24
95,96,24
127,128,24
338,339,24
187,188,24
36,37,24
430,431,24
68,69,24
279,280,24
128,129,24
160,161,24
371,372,24
220,221,24
69,70,24
101,102,24
312,313,24
161,162,24
372,373,24
10,11,24
404,405,24
253,254,24
464,465,24
102,103,24
313,314,24
345,346,24
194,195,24
405,406,24
43,44,24
286,287,24
497,498,24
135,136,24
346,347,24
378,379,24
227,228,24
438,439,24
76,77,24
287,288,24
319,320,24
168,169,24
379,380,24
489,490,24
260,261,24
471,472,24
320,321,24
352,353,24
412,413,24
261,262,24
293,294,24
353,354,24
463,464,24
385,386,24
445,446,24
294,295,24
386,387,24
9,10,24
478,479,24
327,328,24
437,438,24
419,420,24
42,43,24
268,269,24
134,135,24
360,361,24
452,453,24
75,76,24
411,412,24
16,17,24
108,109,24
49,50,24
109,110,24
201,202,24
50,51,24
82,83,24
142,143,24
23,24,24
234,235,24
83,84,24
115,116,24
326,327,24
175,176,24
24,25,24
56,57,24
267,268,24
116,117,24
359,360,24
208,209,24
57,58,24
167,168,24
89,90,24
300,301,24
149,150,24
30,31,24
241,242,24
90,91,24
200,201,24
333,334,24
182,183,24
31,32,24
141,142,24
274,275,24
485,486,24
123,124,24
215,216,24
426,427,24
64,65,24
174,175,24
307,308,24
156,157,24
5,6,24
248,249,24
459,460,24
97,98,24
418,419,24
340,341,24
189,190,24
400,401,24
148,149,24
281,282,24
492,493,24
451,452,24
222,223,24
433,434,24
392,393,24
314,315,24
374,375,24
122,123,24
484,485,24
466,467,24
425,426,24
407,408,24
366,367,24
348,349,24
458,459,24
440,441,24
63,64,24
