u,v,weight
379,380,68
489,490,68
163,164,68
444,445,68
67,68,68
315,316,68
44,45,68
99,100,68
471,472,68
320,321,68
375,376,68
352,353,68
412,413,68
467,468,68
196,197,68
261,262,68
316,317,68
100,101,68
88,264,4
343,344,68
288,289,68
197,198,68
408,409,68
137,138,68
289,290,68
18,19,68
294,295,68
349,350,68
14,15,68
170,171,68
280,281,68
478,479,68
262,263,68
317,318,68
327,328,68
166,167,68
47,48,68
474,475,68
42,43,68
268,269,68
323,324,68
318,319,68
295,296,68
134,135,68
415,416,68
254,255,68
360,361,68
103,104,68
80,81,68
291,292,68
75,76,68
356,357,68
140,141,68
85,86,68
195,196,68
448,449,68
232,233,68
71,72,68
136,137,68
292,293,68
228,229,68
118,119,68
173,174,68
384,385,68
439,440,68
416,417,68
233,234,68
210,211,68
476,477,68
114,115,68
169,170,68
380,381,68
109,110,68
357,358,68
206,207,68
110,111,68
201,202,68
449,450,68
266,267,68
154,453,3
82,83,68
147,148,68
202,203,68
413,414,68
358,359,68
207,208,68
46,47,68
78,79,68
234,235,68
138,139,68
83,84,68
115,116,68
487,488,68
326,327,68
19,20,68
391,392,68
175,176,68
230,231,68
24,25,68
483,484,68
267,268,68
322,323,68
398,443,3
332,333,68
387,388,68
20,21,68
414,415,68
359,360,68
424,425,68
479,480,68
328,329,68
273,274,68
461,462,68
204,205,68
177,285,4
214,215,68
53,54,68
447,448,68
457,458,68
296,297,68
25,26,68
241,242,68
306,307,68
200,201,68
361,362,68
26,27,68
21,22,68
302,303,68
141,142,68
480,481,68
297,298,68
435,436,68
113,114,68
17,18,68
389,390,68
205,206,68
238,239,68
431,432,68
270,271,68
54,55,68
215,216,68
426,427,68
64,65,68
119,120,68
362,363,68
146,147,68
427,428,68
5,6,68
454,455,68
271,272,68
459,460,68
418,419,68
363,364,68
340,341,68
212,213,68
93,94,68
88,89,68
355,442,1
281,282,68
336,337,68
492,493,68
185,186,68
451,452,68
428,429,68
245,246,68
222,223,68
61,62,68
277,278,68
433,434,68
272,273,68
392,393,68
314,315,68
218,219,68
2,3,68
484,485,68
429,430,68
122,123,68
374,375,68
213,214,68
117,118,68
278,279,68
310,311,68
94,95,68
466,467,68
305,306,68
425,426,68
154,155,68
219,220,68
311,312,68
95,96,68
127,128,68
348,349,68
187,188,68
403,404,68
36,37,68
91,92,68
430,431,68
440,441,68
63,64,68
344,345,68
160,161,68
32,33,68
193,194,68
421,446,5
381,382,68
491,492,68
4,5,68
436,437,68
165,166,68
69,70,68
275,276,68
367,368,68
65,66,68
469,470,68
253,254,68
37,38,68
308,309,68
157,158,68
405,443,3
368,369,68
6,7,68
345,346,68
184,185,68
465,466,68
139,140,68
33,34,68
194,195,68
98,99,68
470,471,68
309,310,68
260,442,1
286,287,68
70,71,68
135,136,68
346,347,68
130,131,68
39,40,68
498,499,68
282,283,68
172,173,68
438,439,68
76,77,68
493,494,68
131,132,68
319,320,68
168,169,68
159,160,67
251,252,67
477,478,67
192,193,67
41,42,67
376,377,67
225,226,67
468,469,67
409,410,67
199,200,67
259,260,67
443,444,67
81,82,67
475,476,67
324,325,67
22,23,67
390,391,67
365,483,3
423,424,67
240,241,67
181,182,67
339,340,67
179,180,67
28,29,67
120,121,67
29,30,67
121,122,67
3,4,67
35,36,67
246,247,67
338,339,67
279,280,67
497,498,67
378,379,67
260,261,67
463,464,67
385,386,67
386,387,67
437,438,67
16,17,67
399,442,1
181,237,1
57,58,67
307,308,67
156,157,67
366,367,67
91,400,2
229,230,67
188,189,67
203,204,67
144,145,67
321,322,67
366,482,3
11,109,4
486,487,67
149,474,2
84,85,67
217,218,67
250,251,67
301,302,67
0,355,1
276,277,67
249,250,67
460,461,67
342,343,67
223,224,67
434,435,67
164,165,67
257,258,67
290,291,67
382,383,67
12,13,67
104,105,67
456,457,67
52,53,67
355,356,67
388,389,67
178,179,67
421,422,67
211,212,67
60,61,67
303,304,67
395,396,67
244,245,67
455,456,67
304,305,67
396,397,67
126,127,67
337,338,67
369,370,67
402,403,67
252,253,67
125,126,67
184,221,31
66,67,67
158,159,67
40,41,66
73,74,66
106,107,66
258,259,66
351,352,66
325,326,66
56,249,2
180,181,66
149,314,4
68,69,66
372,373,66
43,44,66
227,228,66
23,24,66
153,399,2
116,117,66
208,209,66
174,175,66
400,401,66
458,459,66
103,420,3
399,400,66
473,474,66
406,407,66
255,256,66
77,78,66
151,152,66
243,244,66
143,144,66
354,355,66
57,248,2
394,395,66
209,210,66
191,192,66
393,394,66
224,225,66
90,401,2
124,125,66
216,217,66
198,199,66
134,300,3
190,191,66
256,257,66
231,232,66
79,80,66
171,172,66
237,238,66
27,28,66
406,442,3
330,331,66
370,371,66
11,145,1
496,497,66
92,93,66
0,266,2
87,265,1
74,75,65
15,16,65
383,384,65
265,266,65
298,299,65
450,451,65
299,300,65
331,332,65
364,365,65
365,366,65
398,399,65
490,491,65
397,398,65
128,129,65
161,162,65
404,405,65
287,288,65
452,453,65
142,143,65
226,236,1
248,249,65
97,98,65
189,190,65
178,284,1
432,433,65
373,374,65
247,248,65
96,97,65
60,183,1
129,130,65
111,112,65
347,348,65
269,270,65
49,91,2
494,495,65
453,454,65
150,151,65
401,402,65
112,113,65
145,146,65
329,330,65
1,2,65
186,187,65
0,154,1
377,378,65
34,35,65
284,285,64
226,227,64
350,351,64
8,237,3
87,88,64
153,154,64
62,63,64
405,406,64
167,168,64
102,447,2
274,275,64
407,408,64
133,150,2
162,163,64
341,342,64
482,483,64
488,489,64
91,183,8
285,286,64
417,418,63
134,335,1
293,294,63
108,109,63
300,301,63
333,334,63
123,124,63
155,156,63
420,421,63
72,73,63
11,336,1
102,103,62
313,314,62
51,150,4
485,486,62
472,473,62
335,336,62
242,243,62
0,52,2
263,264,62
495,496,62
52,149,3
239,240,61
11,237,7
419,420,61
49,50,61
30,31,61
12,236,7
60,90,2
283,284,61
38,39,61
105,106,61
86,87,61
422,423,61
178,411,1
1,10,1
446,447,60
264,265,60
13,14,60
107,133,2
462,463,60
59,60,60
107,108,59
56,443,4
334,335,59
9,31,1
133,178,7
134,411,1
0,1,59
464,465,58
411,412,58
31,32,58
51,52,58
90,91,56
55,56,55
56,57,55
149,150,55
353,354,54
11,134,9
236,237,54
9,236,2
442,443,53
235,236,53
45,46,53
8,9,52
177,178,52
312,313,50
0,50,1
481,482,50
50,183,6
101,102,48
183,222,13
12,133,1
133,134,45
371,372,45
9,442,1
9,10,44
8,11,7
50,51,43
410,411,42
11,12,37
