SEQ_2,SEQ_1,SEQ_4,SEQ_7,simulated_k8_l200_14,MST_1,MST_8,simulated_k8_l200_5,MST_5,simulated_k8_l200_11,simulated_k8_l200_13,SEQ_6,simulated_k8_l200_10,MST_4,SEQ_0,SEQ_3,simulated_k8_l200_12,simulated_k8_l200_4,MST_2,MST_7,MST_3,simulated_k8_l200_6,MST_6,SEQ_5
0.0,,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,0.0
0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,0.0
,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0
,,,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,129.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,129.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,129.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,129.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,129.0,0.0,0.0,,0.0,0.0
,,,0.0,,,,,,,,0.0,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,129.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0
0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,,,0.0
,,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,129.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0
129.0,129.0,129.0,129.0,,,129.0,,129.0,,,129.0,,129.0,129.0,129.0,,,0.0,129.0,129.0,,129.0,129.0
0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0
0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,129.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0
,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0
